url,information,date_time
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-la-granja-bogota/193686405,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 249.900.000 | $ 1.350.000.000 | $ 580.000.000 | $ 3.000.000 | $ 2.600.000.000 | $ 450.000.000 | $ 500.000.000 | $ 210.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-02 18:18:07.942271+00:00
https://www.fincaraiz.com.co//oficina-en-arriendo-en-antiguo-country-bogota/193347003,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 249.900.000 | $ 1.350.000.000 | $ 580.000.000 | $ 3.000.000 | $ 2.600.000.000 | $ 450.000.000 | $ 500.000.000 | $ 210.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-02 18:18:07.949482+00:00
https://www.fincaraiz.com.co//oficina-en-arriendo-en-chico-norte-bogota/10924799,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 249.900.000 | $ 1.350.000.000 | $ 580.000.000 | $ 3.000.000 | $ 2.600.000.000 | $ 450.000.000 | $ 500.000.000 | $ 210.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-02 18:18:08.000318+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-los-rosales-bogota/193443091,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 249.900.000 | $ 1.350.000.000 | $ 580.000.000 | $ 3.000.000 | $ 2.600.000.000 | $ 450.000.000 | $ 500.000.000 | $ 210.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-02 18:18:08.024122+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-santa-ana-bogota/193683957,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 249.900.000 | $ 1.350.000.000 | $ 580.000.000 | $ 3.000.000 | $ 2.600.000.000 | $ 450.000.000 | $ 500.000.000 | $ 210.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-02 18:18:08.090153+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-chapinero-bogota/193063091,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 249.900.000 | $ 1.350.000.000 | $ 580.000.000 | $ 3.000.000 | $ 2.600.000.000 | $ 450.000.000 | $ 500.000.000 | $ 210.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-02 18:18:08.111220+00:00
https://www.fincaraiz.com.co//oficina-en-arriendo-en-morato-bogota/193190693,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 249.900.000 | $ 1.350.000.000 | $ 580.000.000 | $ 3.000.000 | $ 2.600.000.000 | $ 450.000.000 | $ 500.000.000 | $ 210.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-02 18:18:08.644740+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-santa-barbara-bogota/193573400,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 249.900.000 | $ 1.350.000.000 | $ 580.000.000 | $ 3.000.000 | $ 2.600.000.000 | $ 450.000.000 | $ 500.000.000 | $ 210.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-02 18:18:09.167816+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-recodo-del-country-bogota/192058144,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 249.900.000 | $ 1.350.000.000 | $ 580.000.000 | $ 3.000.000 | $ 2.600.000.000 | $ 450.000.000 | $ 500.000.000 | $ 210.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-02 18:18:09.284534+00:00
https://www.fincaraiz.com.co//bodega-en-arriendo-en-puente-aranda-bogota/193615124,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 249.900.000 | $ 1.350.000.000 | $ 580.000.000 | $ 3.000.000 | $ 2.600.000.000 | $ 450.000.000 | $ 500.000.000 | $ 210.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-02 18:18:09.297195+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-modelia-occidental-bogota/193428194,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 249.900.000 | $ 1.350.000.000 | $ 580.000.000 | $ 3.000.000 | $ 2.600.000.000 | $ 450.000.000 | $ 500.000.000 | $ 210.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-02 18:18:09.412871+00:00
