url,information,date_time
https://www.fincaraiz.com.co//oficina-en-arriendo-en-usaquen-bogota/193346968,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 420.000.000 | $ 415.000.000 | $ 115.000.000 | $ 1.700.000 | $ 15.700.000 | $ 470.000.000 | $ 2.100.000 | $ 610.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-02-03 06:18:01.052159+00:00
https://www.fincaraiz.com.co//oficina-en-arriendo-en-morato-bogota/193190693,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 420.000.000 | $ 415.000.000 | $ 115.000.000 | $ 1.700.000 | $ 15.700.000 | $ 470.000.000 | $ 2.100.000 | $ 610.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-02-03 06:18:01.059630+00:00
https://www.fincaraiz.com.co//apartaestudio-en-arriendo-en-lourdes-bogota/192716061,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 420.000.000 | $ 415.000.000 | $ 115.000.000 | $ 1.700.000 | $ 15.700.000 | $ 470.000.000 | $ 2.100.000 | $ 610.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-02-03 06:18:01.260763+00:00
https://www.fincaraiz.com.co//bodega-en-arriendo-en-barrios-unidos-bogota/193108875,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 420.000.000 | $ 415.000.000 | $ 115.000.000 | $ 1.700.000 | $ 15.700.000 | $ 470.000.000 | $ 2.100.000 | $ 610.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-02-03 06:18:01.348536+00:00
https://www.fincaraiz.com.co//oficina-en-arriendo-en-chico-norte-bogota/192594237,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 420.000.000 | $ 415.000.000 | $ 115.000.000 | $ 1.700.000 | $ 15.700.000 | $ 470.000.000 | $ 2.100.000 | $ 610.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-02-03 06:18:02.111030+00:00
https://www.fincaraiz.com.co//casa-en-arriendo-en-castilla-bogota/193086938,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 420.000.000 | $ 415.000.000 | $ 115.000.000 | $ 1.700.000 | $ 15.700.000 | $ 470.000.000 | $ 2.100.000 | $ 610.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-02-03 06:18:02.118741+00:00
https://www.fincaraiz.com.co//apartaestudio-en-arriendo-en-las-nieves-bogota/193344539,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 420.000.000 | $ 415.000.000 | $ 115.000.000 | $ 1.700.000 | $ 15.700.000 | $ 470.000.000 | $ 2.100.000 | $ 610.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-02-03 06:18:02.148125+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-el-contador-bogota/193272761,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 420.000.000 | $ 415.000.000 | $ 115.000.000 | $ 1.700.000 | $ 15.700.000 | $ 470.000.000 | $ 2.100.000 | $ 610.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-02-03 06:18:02.267064+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-usaquen-bogota/192722328,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 420.000.000 | $ 415.000.000 | $ 115.000.000 | $ 1.700.000 | $ 15.700.000 | $ 470.000.000 | $ 2.100.000 | $ 610.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-02-03 06:18:02.278802+00:00
https://www.fincaraiz.com.co//casa-en-arriendo-en-la-castellana-bogota/193249147,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 420.000.000 | $ 415.000.000 | $ 115.000.000 | $ 1.700.000 | $ 15.700.000 | $ 470.000.000 | $ 2.100.000 | $ 610.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-02-03 06:18:02.459816+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-la-carolina-bogota/192829636,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 420.000.000 | $ 415.000.000 | $ 115.000.000 | $ 1.700.000 | $ 15.700.000 | $ 470.000.000 | $ 2.100.000 | $ 610.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-02-03 06:18:02.552089+00:00
