url,information,date_time
https://www.fincaraiz.com.co//local-en-arriendo-en-chapinero-bogota/191102322,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 380.000.000 | $ 1.850.000 | $ 18.000.000 | $ 2.600.000 | $ 2.700.000 | $ 8.000.000 | $ 900.000.000 | $ 1.323.864', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-02-05 12:11:21.804644+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-santa-ines-bogota/193154203,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 380.000.000 | $ 1.850.000 | $ 18.000.000 | $ 2.600.000 | $ 2.700.000 | $ 8.000.000 | $ 900.000.000 | $ 1.323.864', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-02-05 12:11:21.980732+00:00
https://www.fincaraiz.com.co//apartaestudio-en-arriendo-en-modelia-bogota/192989807,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 380.000.000 | $ 1.850.000 | $ 18.000.000 | $ 2.600.000 | $ 2.700.000 | $ 8.000.000 | $ 900.000.000 | $ 1.323.864', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-02-05 12:11:22.054221+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-suba-bogota/193337567,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 380.000.000 | $ 1.850.000 | $ 18.000.000 | $ 2.600.000 | $ 2.700.000 | $ 8.000.000 | $ 900.000.000 | $ 1.323.864', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-02-05 12:11:22.095724+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-toberin-bogota/193146962,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 380.000.000 | $ 1.850.000 | $ 18.000.000 | $ 2.600.000 | $ 2.700.000 | $ 8.000.000 | $ 900.000.000 | $ 1.323.864', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-02-05 12:11:22.554725+00:00
https://www.fincaraiz.com.co//casa-en-arriendo-en-san-luis-bogota/193277986,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 380.000.000 | $ 1.850.000 | $ 18.000.000 | $ 2.600.000 | $ 2.700.000 | $ 8.000.000 | $ 900.000.000 | $ 1.323.864', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-02-05 12:11:22.566875+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-tierra-buena-bogota/193230441,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 380.000.000 | $ 1.850.000 | $ 18.000.000 | $ 2.600.000 | $ 2.700.000 | $ 8.000.000 | $ 900.000.000 | $ 1.323.864', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-02-05 12:11:22.626698+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-el-carmelo-bogota/192749989,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 380.000.000 | $ 1.850.000 | $ 18.000.000 | $ 2.600.000 | $ 2.700.000 | $ 8.000.000 | $ 900.000.000 | $ 1.323.864', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-02-05 12:11:22.637991+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-sotileza-bogota/193259760,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 380.000.000 | $ 1.850.000 | $ 18.000.000 | $ 2.600.000 | $ 2.700.000 | $ 8.000.000 | $ 900.000.000 | $ 1.323.864', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-02-05 12:11:22.645815+00:00
https://www.fincaraiz.com.co//apartaestudio-en-arriendo-en-las-nieves-bogota/192901073,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 380.000.000 | $ 1.850.000 | $ 18.000.000 | $ 2.600.000 | $ 2.700.000 | $ 8.000.000 | $ 900.000.000 | $ 1.323.864', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-02-05 12:11:22.675537+00:00
