url,information,date_time
https://www.fincaraiz.com.co//oficina-en-arriendo-en-antiguo-country-bogota/192750152,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 720.000 | $ 2.368.000 | $ 1.800.000.000 | $ 750.000 | $ 2.400.000 | $ 870.000.000 | $ 450.000.000 | $ 1.150.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-22 00:39:03.012224+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-nuevo-country-bogota/193775987,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 720.000 | $ 2.368.000 | $ 1.800.000.000 | $ 750.000 | $ 2.400.000 | $ 870.000.000 | $ 450.000.000 | $ 1.150.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-22 00:39:03.065245+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-la-carolina-bogota/193502839,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 720.000 | $ 2.368.000 | $ 1.800.000.000 | $ 750.000 | $ 2.400.000 | $ 870.000.000 | $ 450.000.000 | $ 1.150.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-22 00:39:03.130105+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-la-calleja-bogota/193719294,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 720.000 | $ 2.368.000 | $ 1.800.000.000 | $ 750.000 | $ 2.400.000 | $ 870.000.000 | $ 450.000.000 | $ 1.150.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-22 00:39:03.245151+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-la-uribe-bogota/193728935,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 720.000 | $ 2.368.000 | $ 1.800.000.000 | $ 750.000 | $ 2.400.000 | $ 870.000.000 | $ 450.000.000 | $ 1.150.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-22 00:39:03.460879+00:00
https://www.fincaraiz.com.co//casa-en-arriendo-en-sotileza-bogota/193568828,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 720.000 | $ 2.368.000 | $ 1.800.000.000 | $ 750.000 | $ 2.400.000 | $ 870.000.000 | $ 450.000.000 | $ 1.150.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-22 00:39:03.495658+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-nueva-castilla-bogota/193526525,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 720.000 | $ 2.368.000 | $ 1.800.000.000 | $ 750.000 | $ 2.400.000 | $ 870.000.000 | $ 450.000.000 | $ 1.150.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-22 00:39:03.625608+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-la-soledad-bogota/193730788,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 720.000 | $ 2.368.000 | $ 1.800.000.000 | $ 750.000 | $ 2.400.000 | $ 870.000.000 | $ 450.000.000 | $ 1.150.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-22 00:39:03.736895+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-santa-paula-bogota/193442339,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 720.000 | $ 2.368.000 | $ 1.800.000.000 | $ 750.000 | $ 2.400.000 | $ 870.000.000 | $ 450.000.000 | $ 1.150.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-22 00:39:03.743909+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-chico-norte-bogota/193772885,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 720.000 | $ 2.368.000 | $ 1.800.000.000 | $ 750.000 | $ 2.400.000 | $ 870.000.000 | $ 450.000.000 | $ 1.150.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-22 00:39:03.913673+00:00
