url,information,date_time
https://www.fincaraiz.com.co//oficina-en-arriendo-en-chico-navarra-bogota/193486845,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 500.000.000 | $ 580.000.000 | $ 158.000.000 | $ 1.600.000 | $ 2.200.000 | $ 795.000.000 | $ 410.000.000 | $ 1.480.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-04-27 00:29:44.398177+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-santa-barbara-bogota/193573400,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 500.000.000 | $ 580.000.000 | $ 158.000.000 | $ 1.600.000 | $ 2.200.000 | $ 795.000.000 | $ 410.000.000 | $ 1.480.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-04-27 00:29:44.675793+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-chico-norte-bogota/193670348,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 500.000.000 | $ 580.000.000 | $ 158.000.000 | $ 1.600.000 | $ 2.200.000 | $ 795.000.000 | $ 410.000.000 | $ 1.480.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-04-27 00:29:44.720454+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-ciudad-salitre-bogota/193656170,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 500.000.000 | $ 580.000.000 | $ 158.000.000 | $ 1.600.000 | $ 2.200.000 | $ 795.000.000 | $ 410.000.000 | $ 1.480.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-04-27 00:29:44.754571+00:00
https://www.fincaraiz.com.co//oficina-en-arriendo-en-santa-paula-bogota/193282905,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 500.000.000 | $ 580.000.000 | $ 158.000.000 | $ 1.600.000 | $ 2.200.000 | $ 795.000.000 | $ 410.000.000 | $ 1.480.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-04-27 00:29:44.771341+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-san-patricio-bogota/191269207,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 500.000.000 | $ 580.000.000 | $ 158.000.000 | $ 1.600.000 | $ 2.200.000 | $ 795.000.000 | $ 410.000.000 | $ 1.480.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-04-27 00:29:44.783945+00:00
https://www.fincaraiz.com.co//local-en-arriendo-en-la-victoria-bogota/193297384,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 500.000.000 | $ 580.000.000 | $ 158.000.000 | $ 1.600.000 | $ 2.200.000 | $ 795.000.000 | $ 410.000.000 | $ 1.480.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-04-27 00:29:44.800694+00:00
https://www.fincaraiz.com.co//apartaestudio-en-arriendo-en-chapinero-alto-bogota/193353090,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 500.000.000 | $ 580.000.000 | $ 158.000.000 | $ 1.600.000 | $ 2.200.000 | $ 795.000.000 | $ 410.000.000 | $ 1.480.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-04-27 00:29:44.807220+00:00
https://www.fincaraiz.com.co//local-en-arriendo-en-santa-barbara-alta-bogota/192726048,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 500.000.000 | $ 580.000.000 | $ 158.000.000 | $ 1.600.000 | $ 2.200.000 | $ 795.000.000 | $ 410.000.000 | $ 1.480.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-04-27 00:29:45.348094+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-olaya-bogota/193317390,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 500.000.000 | $ 580.000.000 | $ 158.000.000 | $ 1.600.000 | $ 2.200.000 | $ 795.000.000 | $ 410.000.000 | $ 1.480.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-04-27 00:29:45.495659+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-barrancas-norte-bogota/193492401,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 500.000.000 | $ 580.000.000 | $ 158.000.000 | $ 1.600.000 | $ 2.200.000 | $ 795.000.000 | $ 410.000.000 | $ 1.480.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-04-27 00:29:45.521779+00:00
