url,information,date_time
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-san-jose-de-usaquen-bogota/193765426,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 325.000.000 | $ 84.600.000 | $ 810.000.000 | $ 941.800 | $ 599.900.000 | $ 689.900.000 | $ 435.000.000 | $ 349.900.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-06-10 00:44:43.608197+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-la-calleja-bogota/193719294,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 325.000.000 | $ 84.600.000 | $ 810.000.000 | $ 941.800 | $ 599.900.000 | $ 689.900.000 | $ 435.000.000 | $ 349.900.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-06-10 00:44:43.634231+00:00
https://www.fincaraiz.com.co//local-en-arriendo-en-villa-alsacia-2-bogota/193364947,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 325.000.000 | $ 84.600.000 | $ 810.000.000 | $ 941.800 | $ 599.900.000 | $ 689.900.000 | $ 435.000.000 | $ 349.900.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-06-10 00:44:43.642857+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-chico-norte-bogota/193047687,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 325.000.000 | $ 84.600.000 | $ 810.000.000 | $ 941.800 | $ 599.900.000 | $ 689.900.000 | $ 435.000.000 | $ 349.900.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-06-10 00:44:43.649078+00:00
https://www.fincaraiz.com.co//oficina-en-arriendo-en-antiguo-country-bogota/192750152,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 325.000.000 | $ 84.600.000 | $ 810.000.000 | $ 941.800 | $ 599.900.000 | $ 689.900.000 | $ 435.000.000 | $ 349.900.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-06-10 00:44:43.655849+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-bogota/193812195,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 325.000.000 | $ 84.600.000 | $ 810.000.000 | $ 941.800 | $ 599.900.000 | $ 689.900.000 | $ 435.000.000 | $ 349.900.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-06-10 00:44:44.208394+00:00
https://www.fincaraiz.com.co//local-en-arriendo-en-cedritos-bogota/193544349,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 325.000.000 | $ 84.600.000 | $ 810.000.000 | $ 941.800 | $ 599.900.000 | $ 689.900.000 | $ 435.000.000 | $ 349.900.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-06-10 00:44:44.242820+00:00
https://www.fincaraiz.com.co//apartaestudio-en-arriendo-en-alfonso-lopez-bogota/193835005,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 325.000.000 | $ 84.600.000 | $ 810.000.000 | $ 941.800 | $ 599.900.000 | $ 689.900.000 | $ 435.000.000 | $ 349.900.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-06-10 00:44:44.274935+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-antiguo-country-bogota/193828807,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 325.000.000 | $ 84.600.000 | $ 810.000.000 | $ 941.800 | $ 599.900.000 | $ 689.900.000 | $ 435.000.000 | $ 349.900.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-06-10 00:44:44.367527+00:00
https://www.fincaraiz.com.co//oficina-en-arriendo-en-fontibon-bogota/192206859,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 325.000.000 | $ 84.600.000 | $ 810.000.000 | $ 941.800 | $ 599.900.000 | $ 689.900.000 | $ 435.000.000 | $ 349.900.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-06-10 00:44:44.374571+00:00
