url,information,date_time
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-nueva-zelandia-bogota/11001301,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 335.000.000 | $ 3.387.000.000 | $ 360.000.000 | $ 278.000.000 | $ 310.000.000 | $ 430.000 | $ 474.500.000 | $ 2.800.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-02-23 06:25:03.647574+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-los-rosales-bogota/193424628,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 335.000.000 | $ 3.387.000.000 | $ 360.000.000 | $ 278.000.000 | $ 310.000.000 | $ 430.000 | $ 474.500.000 | $ 2.800.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-02-23 06:25:03.661426+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-lagos-de-torca-bogota/193291395,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 335.000.000 | $ 3.387.000.000 | $ 360.000.000 | $ 278.000.000 | $ 310.000.000 | $ 430.000 | $ 474.500.000 | $ 2.800.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-02-23 06:25:03.668616+00:00
https://www.fincaraiz.com.co//oficina-en-arriendo-en-fontibon-bogota/193066062,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 335.000.000 | $ 3.387.000.000 | $ 360.000.000 | $ 278.000.000 | $ 310.000.000 | $ 430.000 | $ 474.500.000 | $ 2.800.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-02-23 06:25:03.795583+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-la-cabrera-bogota/193381807,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 335.000.000 | $ 3.387.000.000 | $ 360.000.000 | $ 278.000.000 | $ 310.000.000 | $ 430.000 | $ 474.500.000 | $ 2.800.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-02-23 06:25:04.339644+00:00
https://www.fincaraiz.com.co//casa-en-arriendo-en-quinta-camacho-bogota/192750262,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 335.000.000 | $ 3.387.000.000 | $ 360.000.000 | $ 278.000.000 | $ 310.000.000 | $ 430.000 | $ 474.500.000 | $ 2.800.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-02-23 06:25:04.348321+00:00
https://www.fincaraiz.com.co//apartaestudio-en-arriendo-en-chico-reservado-bogota/192291972,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 335.000.000 | $ 3.387.000.000 | $ 360.000.000 | $ 278.000.000 | $ 310.000.000 | $ 430.000 | $ 474.500.000 | $ 2.800.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-02-23 06:25:04.362131+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-santa-teresa-bogota/193173849,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 335.000.000 | $ 3.387.000.000 | $ 360.000.000 | $ 278.000.000 | $ 310.000.000 | $ 430.000 | $ 474.500.000 | $ 2.800.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-02-23 06:25:04.460331+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-ciudadela-colsubsidio-bogota/192984181,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 335.000.000 | $ 3.387.000.000 | $ 360.000.000 | $ 278.000.000 | $ 310.000.000 | $ 430.000 | $ 474.500.000 | $ 2.800.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-02-23 06:25:04.482366+00:00
https://www.fincaraiz.com.co//local-en-arriendo-en-olaya-bogota/10510376,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 335.000.000 | $ 3.387.000.000 | $ 360.000.000 | $ 278.000.000 | $ 310.000.000 | $ 430.000 | $ 474.500.000 | $ 2.800.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-02-23 06:25:04.560352+00:00
https://www.fincaraiz.com.co//oficina-en-arriendo-en-chico-norte-bogota/193379926,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 335.000.000 | $ 3.387.000.000 | $ 360.000.000 | $ 278.000.000 | $ 310.000.000 | $ 430.000 | $ 474.500.000 | $ 2.800.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-02-23 06:25:04.597671+00:00
