url,information,date_time
https://www.fincaraiz.com.co//oficina-en-arriendo-en-chico-norte-bogota/191878773,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 590.000.000 | $ 1.100.000.000 | $ 605.000.000 | $ 214.000.000 | $ 188.000.000 | $ 47.500.000 | $ 2.300.000 | $ 4.500.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-04-10 00:24:12.281641+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-chico-norte-bogota/193068433,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 590.000.000 | $ 1.100.000.000 | $ 605.000.000 | $ 214.000.000 | $ 188.000.000 | $ 47.500.000 | $ 2.300.000 | $ 4.500.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-04-10 00:24:12.288959+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-paloquemao-bogota/193299543,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 590.000.000 | $ 1.100.000.000 | $ 605.000.000 | $ 214.000.000 | $ 188.000.000 | $ 47.500.000 | $ 2.300.000 | $ 4.500.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-04-10 00:24:12.306372+00:00
https://www.fincaraiz.com.co//local-en-arriendo-en-olaya-bogota/7092019,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 590.000.000 | $ 1.100.000.000 | $ 605.000.000 | $ 214.000.000 | $ 188.000.000 | $ 47.500.000 | $ 2.300.000 | $ 4.500.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-04-10 00:24:12.313372+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-colina-campestre-bogota/193458013,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 590.000.000 | $ 1.100.000.000 | $ 605.000.000 | $ 214.000.000 | $ 188.000.000 | $ 47.500.000 | $ 2.300.000 | $ 4.500.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-04-10 00:24:12.907913+00:00
https://www.fincaraiz.com.co//oficina-en-arriendo-en-chico-norte-bogota/10308129,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 590.000.000 | $ 1.100.000.000 | $ 605.000.000 | $ 214.000.000 | $ 188.000.000 | $ 47.500.000 | $ 2.300.000 | $ 4.500.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-04-10 00:24:12.962325+00:00
https://www.fincaraiz.com.co//apartaestudio-en-arriendo-en-el-chico-bogota/193378438,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 590.000.000 | $ 1.100.000.000 | $ 605.000.000 | $ 214.000.000 | $ 188.000.000 | $ 47.500.000 | $ 2.300.000 | $ 4.500.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-04-10 00:24:13.009026+00:00
https://www.fincaraiz.com.co//apartaestudio-en-arriendo-en-belalcazar-bogota/193593645,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 590.000.000 | $ 1.100.000.000 | $ 605.000.000 | $ 214.000.000 | $ 188.000.000 | $ 47.500.000 | $ 2.300.000 | $ 4.500.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-04-10 00:24:13.024074+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-chico-norte-bogota/193172388,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 590.000.000 | $ 1.100.000.000 | $ 605.000.000 | $ 214.000.000 | $ 188.000.000 | $ 47.500.000 | $ 2.300.000 | $ 4.500.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-04-10 00:24:13.030843+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-chico-norte-bogota/193463260,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 590.000.000 | $ 1.100.000.000 | $ 605.000.000 | $ 214.000.000 | $ 188.000.000 | $ 47.500.000 | $ 2.300.000 | $ 4.500.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-04-10 00:24:13.185143+00:00
