url,information,date_time
https://www.fincaraiz.com.co//oficina-en-arriendo-en-chico-norte-bogota/192217506,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 360.000.000 | $ 5.500.000 | $ 445.000.000 | $ 1.220.000.000 | $ 835.000.000 | $ 1.250.000.000 | $ 970.000.000 | $ 2.950.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-01-26 12:08:19.953003+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-castilla-bogota/193250505,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 360.000.000 | $ 5.500.000 | $ 445.000.000 | $ 1.220.000.000 | $ 835.000.000 | $ 1.250.000.000 | $ 970.000.000 | $ 2.950.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-01-26 12:08:20.029006+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-santa-barbara-bogota/193092274,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 360.000.000 | $ 5.500.000 | $ 445.000.000 | $ 1.220.000.000 | $ 835.000.000 | $ 1.250.000.000 | $ 970.000.000 | $ 2.950.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-01-26 12:08:20.082720+00:00
https://www.fincaraiz.com.co//apartaestudio-en-arriendo-en-quinta-paredes-bogota/193284604,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 360.000.000 | $ 5.500.000 | $ 445.000.000 | $ 1.220.000.000 | $ 835.000.000 | $ 1.250.000.000 | $ 970.000.000 | $ 2.950.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-01-26 12:08:20.089542+00:00
https://www.fincaraiz.com.co//oficina-en-arriendo-en-chico-norte-bogota/192594237,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 360.000.000 | $ 5.500.000 | $ 445.000.000 | $ 1.220.000.000 | $ 835.000.000 | $ 1.250.000.000 | $ 970.000.000 | $ 2.950.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-01-26 12:08:20.554179+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-fontibon-bogota/192981107,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 360.000.000 | $ 5.500.000 | $ 445.000.000 | $ 1.220.000.000 | $ 835.000.000 | $ 1.250.000.000 | $ 970.000.000 | $ 2.950.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-01-26 12:08:20.566318+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-spring-bogota/193238290,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 360.000.000 | $ 5.500.000 | $ 445.000.000 | $ 1.220.000.000 | $ 835.000.000 | $ 1.250.000.000 | $ 970.000.000 | $ 2.950.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-01-26 12:08:20.573420+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-unicentro-bogota-bogota/193282469,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 360.000.000 | $ 5.500.000 | $ 445.000.000 | $ 1.220.000.000 | $ 835.000.000 | $ 1.250.000.000 | $ 970.000.000 | $ 2.950.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-01-26 12:08:20.592006+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-toberin-bogota/193146962,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 360.000.000 | $ 5.500.000 | $ 445.000.000 | $ 1.220.000.000 | $ 835.000.000 | $ 1.250.000.000 | $ 970.000.000 | $ 2.950.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-01-26 12:08:20.633654+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-cedro-narvaez-bogota/192906336,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 360.000.000 | $ 5.500.000 | $ 445.000.000 | $ 1.220.000.000 | $ 835.000.000 | $ 1.250.000.000 | $ 970.000.000 | $ 2.950.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-01-26 12:08:20.675052+00:00
