url,information,date_time
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-chico-norte-bogota/193397398,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 1.300.000 | $ 889.000.000 | $ 2.600.000 | $ 1.600.000 | $ 926.200 | $ 499.000.000 | $ 499.000.000 | $ 455.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-02-18 06:23:39.011497+00:00
https://www.fincaraiz.com.co//oficina-en-arriendo-en-chico-norte-bogota/192588248,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 1.300.000 | $ 889.000.000 | $ 2.600.000 | $ 1.600.000 | $ 926.200 | $ 499.000.000 | $ 499.000.000 | $ 455.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-02-18 06:23:39.099570+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-cedritos-bogota/193397362,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 1.300.000 | $ 889.000.000 | $ 2.600.000 | $ 1.600.000 | $ 926.200 | $ 499.000.000 | $ 499.000.000 | $ 455.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-02-18 06:23:39.299950+00:00
https://www.fincaraiz.com.co//oficina-en-arriendo-en-usaquen-bogota/10520463,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 1.300.000 | $ 889.000.000 | $ 2.600.000 | $ 1.600.000 | $ 926.200 | $ 499.000.000 | $ 499.000.000 | $ 455.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-02-18 06:23:39.346849+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-los-rosales-bogota/193397410,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 1.300.000 | $ 889.000.000 | $ 2.600.000 | $ 1.600.000 | $ 926.200 | $ 499.000.000 | $ 499.000.000 | $ 455.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-02-18 06:23:39.373164+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-el-redil-bogota/193295907,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 1.300.000 | $ 889.000.000 | $ 2.600.000 | $ 1.600.000 | $ 926.200 | $ 499.000.000 | $ 499.000.000 | $ 455.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-02-18 06:23:39.583931+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-lagos-de-torca-bogota/192813390,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 1.300.000 | $ 889.000.000 | $ 2.600.000 | $ 1.600.000 | $ 926.200 | $ 499.000.000 | $ 499.000.000 | $ 455.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-02-18 06:23:39.595273+00:00
https://www.fincaraiz.com.co//casa-en-arriendo-en-quinta-camacho-bogota/193397381,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 1.300.000 | $ 889.000.000 | $ 2.600.000 | $ 1.600.000 | $ 926.200 | $ 499.000.000 | $ 499.000.000 | $ 455.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-02-18 06:23:39.623215+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-multicentro-bogota/192995644,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 1.300.000 | $ 889.000.000 | $ 2.600.000 | $ 1.600.000 | $ 926.200 | $ 499.000.000 | $ 499.000.000 | $ 455.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-02-18 06:23:39.976998+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-bogota/193336407,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 1.300.000 | $ 889.000.000 | $ 2.600.000 | $ 1.600.000 | $ 926.200 | $ 499.000.000 | $ 499.000.000 | $ 455.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-02-18 06:23:39.996516+00:00
https://www.fincaraiz.com.co//oficina-en-arriendo-en-chico-norte-bogota/192217506,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 1.300.000 | $ 889.000.000 | $ 2.600.000 | $ 1.600.000 | $ 926.200 | $ 499.000.000 | $ 499.000.000 | $ 455.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-02-18 06:23:40.007499+00:00
