url,information,date_time
https://www.fincaraiz.com.co//local-en-arriendo-en-villa-del-rio-bogota/192349121,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 3.600.000 | $ 12.000.000 | $ 3.000.000 | $ 420.000.000 | $ 3.800.000.000 | $ 36.000.000 | $ 1.050.000 | $ 920.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-04-15 12:21:08.575303+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-bogota/193336407,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 3.600.000 | $ 12.000.000 | $ 3.000.000 | $ 420.000.000 | $ 3.800.000.000 | $ 36.000.000 | $ 1.050.000 | $ 920.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-04-15 12:21:08.641102+00:00
https://www.fincaraiz.com.co//casa-en-arriendo-en-chapinero-bogota/192246598,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 3.600.000 | $ 12.000.000 | $ 3.000.000 | $ 420.000.000 | $ 3.800.000.000 | $ 36.000.000 | $ 1.050.000 | $ 920.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-04-15 12:21:08.707394+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-hayuelos-bogota/193572516,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 3.600.000 | $ 12.000.000 | $ 3.000.000 | $ 420.000.000 | $ 3.800.000.000 | $ 36.000.000 | $ 1.050.000 | $ 920.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-04-15 12:21:08.816283+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-britalia-bogota/193452934,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 3.600.000 | $ 12.000.000 | $ 3.000.000 | $ 420.000.000 | $ 3.800.000.000 | $ 36.000.000 | $ 1.050.000 | $ 920.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-04-15 12:21:09.272369+00:00
https://www.fincaraiz.com.co//oficina-en-arriendo-en-la-soledad-bogota/193584080,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 3.600.000 | $ 12.000.000 | $ 3.000.000 | $ 420.000.000 | $ 3.800.000.000 | $ 36.000.000 | $ 1.050.000 | $ 920.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-04-15 12:21:09.285846+00:00
https://www.fincaraiz.com.co//local-en-arriendo-en-puente-aranda-bogota/193519752,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 3.600.000 | $ 12.000.000 | $ 3.000.000 | $ 420.000.000 | $ 3.800.000.000 | $ 36.000.000 | $ 1.050.000 | $ 920.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-04-15 12:21:09.293724+00:00
https://www.fincaraiz.com.co//oficina-en-arriendo-en-chico-norte-bogota/193413670,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 3.600.000 | $ 12.000.000 | $ 3.000.000 | $ 420.000.000 | $ 3.800.000.000 | $ 36.000.000 | $ 1.050.000 | $ 920.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-04-15 12:21:09.333315+00:00
https://www.fincaraiz.com.co//apartaestudio-en-arriendo-en-chico-norte-bogota/193485149,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 3.600.000 | $ 12.000.000 | $ 3.000.000 | $ 420.000.000 | $ 3.800.000.000 | $ 36.000.000 | $ 1.050.000 | $ 920.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-04-15 12:21:09.507642+00:00
https://www.fincaraiz.com.co//local-en-arriendo-en-spring-bogota/193328902,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 3.600.000 | $ 12.000.000 | $ 3.000.000 | $ 420.000.000 | $ 3.800.000.000 | $ 36.000.000 | $ 1.050.000 | $ 920.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-04-15 12:21:09.523688+00:00
https://www.fincaraiz.com.co//apartaestudio-en-arriendo-en-chico-navarra-bogota/193446805,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 3.600.000 | $ 12.000.000 | $ 3.000.000 | $ 420.000.000 | $ 3.800.000.000 | $ 36.000.000 | $ 1.050.000 | $ 920.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-04-15 12:21:09.583775+00:00
https://www.fincaraiz.com.co//oficina-en-arriendo-en-bogota/10880231,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 3.600.000 | $ 12.000.000 | $ 3.000.000 | $ 420.000.000 | $ 3.800.000.000 | $ 36.000.000 | $ 1.050.000 | $ 920.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-04-15 12:21:09.601833+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-la-salle-bogota/193290107,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 3.600.000 | $ 12.000.000 | $ 3.000.000 | $ 420.000.000 | $ 3.800.000.000 | $ 36.000.000 | $ 1.050.000 | $ 920.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-04-15 12:21:10.050891+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-chapinero-bogota/193609739,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 3.600.000 | $ 12.000.000 | $ 3.000.000 | $ 420.000.000 | $ 3.800.000.000 | $ 36.000.000 | $ 1.050.000 | $ 920.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-04-15 12:21:10.068845+00:00
