url,information,date_time
https://www.fincaraiz.com.co//apartaestudio-en-arriendo-en-fontibon-bogota/193577957,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 6.900.000 | $ 780.000.000 | $ 2.111.000.000 | $ 12.000.000 | $ 8.500.000 | $ 1.129.053 | $ 300.000.000 | $ 2.900.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-04-10 12:17:03.819925+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-paloquemao-bogota/193299543,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 6.900.000 | $ 780.000.000 | $ 2.111.000.000 | $ 12.000.000 | $ 8.500.000 | $ 1.129.053 | $ 300.000.000 | $ 2.900.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-04-10 12:17:03.901067+00:00
https://www.fincaraiz.com.co//oficina-en-arriendo-en-chico-norte-bogota/191878773,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 6.900.000 | $ 780.000.000 | $ 2.111.000.000 | $ 12.000.000 | $ 8.500.000 | $ 1.129.053 | $ 300.000.000 | $ 2.900.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-04-10 12:17:03.919184+00:00
https://www.fincaraiz.com.co//casa-en-arriendo-en-milenta-bogota/193001187,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 6.900.000 | $ 780.000.000 | $ 2.111.000.000 | $ 12.000.000 | $ 8.500.000 | $ 1.129.053 | $ 300.000.000 | $ 2.900.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-04-10 12:17:03.968602+00:00
https://www.fincaraiz.com.co//local-en-arriendo-en-olaya-bogota/7092019,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 6.900.000 | $ 780.000.000 | $ 2.111.000.000 | $ 12.000.000 | $ 8.500.000 | $ 1.129.053 | $ 300.000.000 | $ 2.900.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-04-10 12:17:04.388396+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-gran-america-bogota/193579168,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 6.900.000 | $ 780.000.000 | $ 2.111.000.000 | $ 12.000.000 | $ 8.500.000 | $ 1.129.053 | $ 300.000.000 | $ 2.900.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-04-10 12:17:04.441036+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-chico-norte-bogota/193172388,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 6.900.000 | $ 780.000.000 | $ 2.111.000.000 | $ 12.000.000 | $ 8.500.000 | $ 1.129.053 | $ 300.000.000 | $ 2.900.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-04-10 12:17:04.458892+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-chico-norte-bogota/193068433,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 6.900.000 | $ 780.000.000 | $ 2.111.000.000 | $ 12.000.000 | $ 8.500.000 | $ 1.129.053 | $ 300.000.000 | $ 2.900.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-04-10 12:17:04.481370+00:00
https://www.fincaraiz.com.co//apartaestudio-en-arriendo-en-el-chico-bogota/193378438,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 6.900.000 | $ 780.000.000 | $ 2.111.000.000 | $ 12.000.000 | $ 8.500.000 | $ 1.129.053 | $ 300.000.000 | $ 2.900.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-04-10 12:17:04.514197+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-recodo-del-country-bogota/192058144,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 6.900.000 | $ 780.000.000 | $ 2.111.000.000 | $ 12.000.000 | $ 8.500.000 | $ 1.129.053 | $ 300.000.000 | $ 2.900.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-04-10 12:17:04.688505+00:00
