url,information,date_time
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-chico-alto-bogota/193241881,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 6.400.000 | $ 280.000.000 | $ 1.550.000.000 | $ 650.000.000 | $ 650.000.000 | $ 6.700.000 | $ 3.500.000 | $ 670.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-02-09 12:15:55.093580+00:00
https://www.fincaraiz.com.co//apartaestudio-en-arriendo-en-bella-suiza-bogota/193184602,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 6.400.000 | $ 280.000.000 | $ 1.550.000.000 | $ 650.000.000 | $ 650.000.000 | $ 6.700.000 | $ 3.500.000 | $ 670.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-02-09 12:15:55.137733+00:00
https://www.fincaraiz.com.co//edificio-en-arriendo-en-la-castellana-bogota/192890904,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 6.400.000 | $ 280.000.000 | $ 1.550.000.000 | $ 650.000.000 | $ 650.000.000 | $ 6.700.000 | $ 3.500.000 | $ 670.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-02-09 12:15:55.164406+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-autopista-muzu-bogota/193250798,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 6.400.000 | $ 280.000.000 | $ 1.550.000.000 | $ 650.000.000 | $ 650.000.000 | $ 6.700.000 | $ 3.500.000 | $ 670.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-02-09 12:15:55.207977+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-chico-navarra-bogota/193279389,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 6.400.000 | $ 280.000.000 | $ 1.550.000.000 | $ 650.000.000 | $ 650.000.000 | $ 6.700.000 | $ 3.500.000 | $ 670.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-02-09 12:15:55.616228+00:00
https://www.fincaraiz.com.co//casa-en-arriendo-en-el-chico-bogota/193191158,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 6.400.000 | $ 280.000.000 | $ 1.550.000.000 | $ 650.000.000 | $ 650.000.000 | $ 6.700.000 | $ 3.500.000 | $ 670.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-02-09 12:15:55.623353+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-barrancas-norte-bogota/193125963,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 6.400.000 | $ 280.000.000 | $ 1.550.000.000 | $ 650.000.000 | $ 650.000.000 | $ 6.700.000 | $ 3.500.000 | $ 670.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-02-09 12:15:55.660980+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-multicentro-bogota/192995644,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 6.400.000 | $ 280.000.000 | $ 1.550.000.000 | $ 650.000.000 | $ 650.000.000 | $ 6.700.000 | $ 3.500.000 | $ 670.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-02-09 12:15:55.667574+00:00
https://www.fincaraiz.com.co//edificio-en-arriendo-en-chico-norte-bogota/192980978,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 6.400.000 | $ 280.000.000 | $ 1.550.000.000 | $ 650.000.000 | $ 650.000.000 | $ 6.700.000 | $ 3.500.000 | $ 670.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-02-09 12:15:55.734289+00:00
https://www.fincaraiz.com.co//casa-en-arriendo-en-quinta-camacho-bogota/192750262,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 6.400.000 | $ 280.000.000 | $ 1.550.000.000 | $ 650.000.000 | $ 650.000.000 | $ 6.700.000 | $ 3.500.000 | $ 670.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-02-09 12:15:55.777350+00:00
