url,information,date_time
https://www.fincaraiz.com.co//casa-en-arriendo-en-teusaquillo-bogota/192843163,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 2.000.000 | $ 420.000.000 | $ 3.000.000 | $ 3.200.000 | $ 550.000.000 | $ 2.300.000.000 | $ 750.000 | $ 18.500.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-18 00:37:16.518836+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-bogota/193687683,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 2.000.000 | $ 420.000.000 | $ 3.000.000 | $ 3.200.000 | $ 550.000.000 | $ 2.300.000.000 | $ 750.000 | $ 18.500.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-18 00:37:16.741297+00:00
https://www.fincaraiz.com.co//local-en-arriendo-en-chapinero-bogota/191801473,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 2.000.000 | $ 420.000.000 | $ 3.000.000 | $ 3.200.000 | $ 550.000.000 | $ 2.300.000.000 | $ 750.000 | $ 18.500.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-18 00:37:16.779090+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-santa-barbara-central-bogota/192750067,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 2.000.000 | $ 420.000.000 | $ 3.000.000 | $ 3.200.000 | $ 550.000.000 | $ 2.300.000.000 | $ 750.000 | $ 18.500.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-18 00:37:16.807533+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-santa-barbara-bogota/193699189,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 2.000.000 | $ 420.000.000 | $ 3.000.000 | $ 3.200.000 | $ 550.000.000 | $ 2.300.000.000 | $ 750.000 | $ 18.500.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-18 00:37:16.824989+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-villas-de-alcala-bogota/193426007,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 2.000.000 | $ 420.000.000 | $ 3.000.000 | $ 3.200.000 | $ 550.000.000 | $ 2.300.000.000 | $ 750.000 | $ 18.500.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-18 00:37:16.868758+00:00
https://www.fincaraiz.com.co//oficina-en-arriendo-en-santa-paula-bogota/193282905,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 2.000.000 | $ 420.000.000 | $ 3.000.000 | $ 3.200.000 | $ 550.000.000 | $ 2.300.000.000 | $ 750.000 | $ 18.500.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-18 00:37:16.970230+00:00
https://www.fincaraiz.com.co//edificio-en-arriendo-en-santa-ana-oriental-bogota/193555567,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 2.000.000 | $ 420.000.000 | $ 3.000.000 | $ 3.200.000 | $ 550.000.000 | $ 2.300.000.000 | $ 750.000 | $ 18.500.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-18 00:37:17.477586+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-cedritos-bogota/193758821,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 2.000.000 | $ 420.000.000 | $ 3.000.000 | $ 3.200.000 | $ 550.000.000 | $ 2.300.000.000 | $ 750.000 | $ 18.500.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-18 00:37:17.552011+00:00
https://www.fincaraiz.com.co//casa-en-arriendo-en-chapinero-bogota/192246598,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 2.000.000 | $ 420.000.000 | $ 3.000.000 | $ 3.200.000 | $ 550.000.000 | $ 2.300.000.000 | $ 750.000 | $ 18.500.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-18 00:37:17.592053+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-centro-internacional-bogota/193375519,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 2.000.000 | $ 420.000.000 | $ 3.000.000 | $ 3.200.000 | $ 550.000.000 | $ 2.300.000.000 | $ 750.000 | $ 18.500.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-18 00:37:17.644020+00:00
