url,information,date_time
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-barrancas-norte-bogota/193492401,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 1.600.000 | $ 780.000.000 | $ 3.800.000 | $ 1.195.000 | $ 1.800.000 | $ 1.500.000 | $ 1.476.140 | $ 950.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-04-28 06:55:01.039571+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-renania-urapanes-bogota/193631573,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 1.600.000 | $ 780.000.000 | $ 3.800.000 | $ 1.195.000 | $ 1.800.000 | $ 1.500.000 | $ 1.476.140 | $ 950.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-04-28 06:55:01.106642+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-lagos-de-torca-bogota/192813390,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 1.600.000 | $ 780.000.000 | $ 3.800.000 | $ 1.195.000 | $ 1.800.000 | $ 1.500.000 | $ 1.476.140 | $ 950.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-04-28 06:55:01.301800+00:00
https://www.fincaraiz.com.co//local-en-arriendo-en-las-ferias-bogota/193424704,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 1.600.000 | $ 780.000.000 | $ 3.800.000 | $ 1.195.000 | $ 1.800.000 | $ 1.500.000 | $ 1.476.140 | $ 950.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-04-28 06:55:01.321603+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-fontibon-bogota/193662340,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 1.600.000 | $ 780.000.000 | $ 3.800.000 | $ 1.195.000 | $ 1.800.000 | $ 1.500.000 | $ 1.476.140 | $ 950.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-04-28 06:55:01.751585+00:00
https://www.fincaraiz.com.co//local-en-arriendo-en-olaya-bogota/10510376,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 1.600.000 | $ 780.000.000 | $ 3.800.000 | $ 1.195.000 | $ 1.800.000 | $ 1.500.000 | $ 1.476.140 | $ 950.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-04-28 06:55:01.773018+00:00
https://www.fincaraiz.com.co//casa-en-arriendo-en-los-pantanos-bogota/193592439,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 1.600.000 | $ 780.000.000 | $ 3.800.000 | $ 1.195.000 | $ 1.800.000 | $ 1.500.000 | $ 1.476.140 | $ 950.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-04-28 06:55:01.779650+00:00
https://www.fincaraiz.com.co//casa-en-arriendo-en-tintala-bogota/193567163,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 1.600.000 | $ 780.000.000 | $ 3.800.000 | $ 1.195.000 | $ 1.800.000 | $ 1.500.000 | $ 1.476.140 | $ 950.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-04-28 06:55:01.929790+00:00
https://www.fincaraiz.com.co//apartaestudio-en-arriendo-en-chapinero-bogota/192550868,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 1.600.000 | $ 780.000.000 | $ 3.800.000 | $ 1.195.000 | $ 1.800.000 | $ 1.500.000 | $ 1.476.140 | $ 950.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-04-28 06:55:01.957126+00:00
https://www.fincaraiz.com.co//oficina-en-arriendo-en-chico-norte-bogota/193486848,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 1.600.000 | $ 780.000.000 | $ 3.800.000 | $ 1.195.000 | $ 1.800.000 | $ 1.500.000 | $ 1.476.140 | $ 950.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-04-28 06:55:01.983156+00:00
