url,information,date_time
https://www.fincaraiz.com.co//edificio-en-arriendo-en-bella-suiza-bogota/193896797,"{'title': 'El portal inmobiliario #1 de Colombia', 'pricing': '$ 329.000.000 | $ 460.000.000 | $ 1.700.000 | $ 207.000.000 | $ 895.000.000 | $ 250.000.000 | $ 390.000.000 | $ 345.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-07-08 06:50:06.809797+00:00
https://www.fincaraiz.com.co//apartaestudio-en-arriendo-en-polo-club-bogota/193708046,"{'title': 'El portal inmobiliario #1 de Colombia', 'pricing': '$ 329.000.000 | $ 460.000.000 | $ 1.700.000 | $ 207.000.000 | $ 895.000.000 | $ 250.000.000 | $ 390.000.000 | $ 345.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-07-08 06:50:06.827965+00:00
https://www.fincaraiz.com.co//edificio-en-arriendo-en-chico-reservado-bogota/191996023,"{'title': 'El portal inmobiliario #1 de Colombia', 'pricing': '$ 329.000.000 | $ 460.000.000 | $ 1.700.000 | $ 207.000.000 | $ 895.000.000 | $ 250.000.000 | $ 390.000.000 | $ 345.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-07-08 06:50:06.834271+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-cedritos-bogota/193837211,"{'title': 'El portal inmobiliario #1 de Colombia', 'pricing': '$ 329.000.000 | $ 460.000.000 | $ 1.700.000 | $ 207.000.000 | $ 895.000.000 | $ 250.000.000 | $ 390.000.000 | $ 345.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-07-08 06:50:06.849381+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-niza-norte-bogota/193962830,"{'title': 'El portal inmobiliario #1 de Colombia', 'pricing': '$ 329.000.000 | $ 460.000.000 | $ 1.700.000 | $ 207.000.000 | $ 895.000.000 | $ 250.000.000 | $ 390.000.000 | $ 345.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-07-08 06:50:06.895630+00:00
https://www.fincaraiz.com.co//apartaestudio-en-arriendo-en-andes-norte-bogota/193831167,"{'title': 'El portal inmobiliario #1 de Colombia', 'pricing': '$ 329.000.000 | $ 460.000.000 | $ 1.700.000 | $ 207.000.000 | $ 895.000.000 | $ 250.000.000 | $ 390.000.000 | $ 345.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-07-08 06:50:06.917821+00:00
https://www.fincaraiz.com.co//oficina-en-arriendo-en-morato-bogota/193190693,"{'title': 'El portal inmobiliario #1 de Colombia', 'pricing': '$ 329.000.000 | $ 460.000.000 | $ 1.700.000 | $ 207.000.000 | $ 895.000.000 | $ 250.000.000 | $ 390.000.000 | $ 345.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-07-08 06:50:06.971658+00:00
https://www.fincaraiz.com.co//oficina-en-arriendo-en-chico-norte-bogota/193690056,"{'title': 'El portal inmobiliario #1 de Colombia', 'pricing': '$ 329.000.000 | $ 460.000.000 | $ 1.700.000 | $ 207.000.000 | $ 895.000.000 | $ 250.000.000 | $ 390.000.000 | $ 345.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-07-08 06:50:07.051513+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-los-ejidos-bogota/193914141,"{'title': 'El portal inmobiliario #1 de Colombia', 'pricing': '$ 329.000.000 | $ 460.000.000 | $ 1.700.000 | $ 207.000.000 | $ 895.000.000 | $ 250.000.000 | $ 390.000.000 | $ 345.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-07-08 06:50:07.869279+00:00
https://www.fincaraiz.com.co//casa-en-arriendo-en-chapinero-bogota/192246598,"{'title': 'El portal inmobiliario #1 de Colombia', 'pricing': '$ 329.000.000 | $ 460.000.000 | $ 1.700.000 | $ 207.000.000 | $ 895.000.000 | $ 250.000.000 | $ 390.000.000 | $ 345.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-07-08 06:50:07.896637+00:00
https://www.fincaraiz.com.co//casa-en-arriendo-en-barrios-unidos-bogota/193756497,"{'title': 'El portal inmobiliario #1 de Colombia', 'pricing': '$ 329.000.000 | $ 460.000.000 | $ 1.700.000 | $ 207.000.000 | $ 895.000.000 | $ 250.000.000 | $ 390.000.000 | $ 345.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-07-08 06:50:07.909171+00:00
