url,information,date_time
https://www.fincaraiz.com.co//apartaestudio-en-arriendo-en-ciudad-salitre-bogota/193631069,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 9.521.056 | $ 6.500.000.000 | $ 2.100.000 | $ 560.000.000 | $ 1.500.000.000 | $ 950.000.000 | $ 340.000.000 | $ 188.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-25 13:08:35.743671+00:00
https://www.fincaraiz.com.co//oficina-en-arriendo-en-bella-suiza-bogota/193694166,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 9.521.056 | $ 6.500.000.000 | $ 2.100.000 | $ 560.000.000 | $ 1.500.000.000 | $ 950.000.000 | $ 340.000.000 | $ 188.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-25 13:08:35.751084+00:00
https://www.fincaraiz.com.co//casa-en-arriendo-en-bogota/193759425,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 9.521.056 | $ 6.500.000.000 | $ 2.100.000 | $ 560.000.000 | $ 1.500.000.000 | $ 950.000.000 | $ 340.000.000 | $ 188.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-25 13:08:35.893103+00:00
https://www.fincaraiz.com.co//oficina-en-arriendo-en-chico-norte-bogota/193673175,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 9.521.056 | $ 6.500.000.000 | $ 2.100.000 | $ 560.000.000 | $ 1.500.000.000 | $ 950.000.000 | $ 340.000.000 | $ 188.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-25 13:08:35.972389+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-chapinero-bogota/193609739,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 9.521.056 | $ 6.500.000.000 | $ 2.100.000 | $ 560.000.000 | $ 1.500.000.000 | $ 950.000.000 | $ 340.000.000 | $ 188.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-25 13:08:36.411819+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-chapinero-bogota/193609739,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 9.521.056 | $ 6.500.000.000 | $ 2.100.000 | $ 560.000.000 | $ 1.500.000.000 | $ 950.000.000 | $ 340.000.000 | $ 188.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-25 13:08:36.419652+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-colina-campestre-bogota/193697974,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 9.521.056 | $ 6.500.000.000 | $ 2.100.000 | $ 560.000.000 | $ 1.500.000.000 | $ 950.000.000 | $ 340.000.000 | $ 188.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-25 13:08:36.434244+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-colina-campestre-bogota/193697974,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 9.521.056 | $ 6.500.000.000 | $ 2.100.000 | $ 560.000.000 | $ 1.500.000.000 | $ 950.000.000 | $ 340.000.000 | $ 188.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-25 13:08:36.440872+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-chico-navarra-bogota/193606209,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 9.521.056 | $ 6.500.000.000 | $ 2.100.000 | $ 560.000.000 | $ 1.500.000.000 | $ 950.000.000 | $ 340.000.000 | $ 188.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-25 13:08:36.673101+00:00
https://www.fincaraiz.com.co//apartaestudio-en-arriendo-en-bosque-de-pinos-bogota/193659106,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 9.521.056 | $ 6.500.000.000 | $ 2.100.000 | $ 560.000.000 | $ 1.500.000.000 | $ 950.000.000 | $ 340.000.000 | $ 188.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-25 13:08:36.977202+00:00
