url,information,date_time
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-la-candelaria-bogota/193793382,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 2.990.000 | $ 450.000.000 | $ 7.300.000 | $ 518.000.000 | $ 84.600.000 | $ 810.000.000 | $ 941.800 | $ 1.500.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-06-09 18:44:03.985759+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-chapinero-bogota/193847304,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 2.990.000 | $ 450.000.000 | $ 7.300.000 | $ 518.000.000 | $ 84.600.000 | $ 810.000.000 | $ 941.800 | $ 1.500.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-06-09 18:44:04.173538+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-villas-de-alcala-bogota/193426007,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 2.990.000 | $ 450.000.000 | $ 7.300.000 | $ 518.000.000 | $ 84.600.000 | $ 810.000.000 | $ 941.800 | $ 1.500.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-06-09 18:44:04.219276+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-santa-barbara-central-bogota/193762925,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 2.990.000 | $ 450.000.000 | $ 7.300.000 | $ 518.000.000 | $ 84.600.000 | $ 810.000.000 | $ 941.800 | $ 1.500.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-06-09 18:44:04.236526+00:00
https://www.fincaraiz.com.co//oficina-en-arriendo-en-chapinero-bogota/193655701,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 2.990.000 | $ 450.000.000 | $ 7.300.000 | $ 518.000.000 | $ 84.600.000 | $ 810.000.000 | $ 941.800 | $ 1.500.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-06-09 18:44:04.370895+00:00
https://www.fincaraiz.com.co//local-en-arriendo-en-villa-alsacia-2-bogota/193364947,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 2.990.000 | $ 450.000.000 | $ 7.300.000 | $ 518.000.000 | $ 84.600.000 | $ 810.000.000 | $ 941.800 | $ 1.500.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-06-09 18:44:04.438523+00:00
https://www.fincaraiz.com.co//oficina-en-arriendo-en-antiguo-country-bogota/193347003,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 2.990.000 | $ 450.000.000 | $ 7.300.000 | $ 518.000.000 | $ 84.600.000 | $ 810.000.000 | $ 941.800 | $ 1.500.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-06-09 18:44:04.724385+00:00
https://www.fincaraiz.com.co//oficina-en-arriendo-en-chico-norte-bogota/193690056,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 2.990.000 | $ 450.000.000 | $ 7.300.000 | $ 518.000.000 | $ 84.600.000 | $ 810.000.000 | $ 941.800 | $ 1.500.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-06-09 18:44:04.751044+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-fontibon-bogota/193843018,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 2.990.000 | $ 450.000.000 | $ 7.300.000 | $ 518.000.000 | $ 84.600.000 | $ 810.000.000 | $ 941.800 | $ 1.500.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-06-09 18:44:04.972646+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-chico-norte-bogota/193047687,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 2.990.000 | $ 450.000.000 | $ 7.300.000 | $ 518.000.000 | $ 84.600.000 | $ 810.000.000 | $ 941.800 | $ 1.500.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-06-09 18:44:05.083812+00:00
https://www.fincaraiz.com.co//oficina-en-arriendo-en-chico-norte-bogota/193486539,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 2.990.000 | $ 450.000.000 | $ 7.300.000 | $ 518.000.000 | $ 84.600.000 | $ 810.000.000 | $ 941.800 | $ 1.500.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-06-09 18:44:05.181981+00:00
