url,information,date_time
https://www.fincaraiz.com.co//oficina-en-arriendo-en-santa-barbara-bogota/193436237,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 4.999.999 | $ 430.000.000 | $ 36.000.000 | $ 430.000.000 | $ 2.500.000 | $ 3.010.000 | $ 415.000.000 | $ 1.120.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-03-15 12:09:13.087994+00:00
https://www.fincaraiz.com.co//casa-en-arriendo-en-sotileza-bogota/192785814,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 4.999.999 | $ 430.000.000 | $ 36.000.000 | $ 430.000.000 | $ 2.500.000 | $ 3.010.000 | $ 415.000.000 | $ 1.120.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-03-15 12:09:13.106474+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-la-salle-bogota/193290107,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 4.999.999 | $ 430.000.000 | $ 36.000.000 | $ 430.000.000 | $ 2.500.000 | $ 3.010.000 | $ 415.000.000 | $ 1.120.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-03-15 12:09:13.163229+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-chapinero-alto-bogota/193295823,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 4.999.999 | $ 430.000.000 | $ 36.000.000 | $ 430.000.000 | $ 2.500.000 | $ 3.010.000 | $ 415.000.000 | $ 1.120.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-03-15 12:09:13.180890+00:00
https://www.fincaraiz.com.co//local-en-arriendo-en-ciudad-quirigua-bogota/193438198,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 4.999.999 | $ 430.000.000 | $ 36.000.000 | $ 430.000.000 | $ 2.500.000 | $ 3.010.000 | $ 415.000.000 | $ 1.120.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-03-15 12:09:13.634571+00:00
https://www.fincaraiz.com.co//local-en-arriendo-en-chapinero-bogota/191102322,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 4.999.999 | $ 430.000.000 | $ 36.000.000 | $ 430.000.000 | $ 2.500.000 | $ 3.010.000 | $ 415.000.000 | $ 1.120.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-03-15 12:09:13.689450+00:00
https://www.fincaraiz.com.co//casa-en-arriendo-en-iberia-bogota/192563302,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 4.999.999 | $ 430.000.000 | $ 36.000.000 | $ 430.000.000 | $ 2.500.000 | $ 3.010.000 | $ 415.000.000 | $ 1.120.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-03-15 12:09:13.724835+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-villas-de-granada-bogota/193074049,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 4.999.999 | $ 430.000.000 | $ 36.000.000 | $ 430.000.000 | $ 2.500.000 | $ 3.010.000 | $ 415.000.000 | $ 1.120.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-03-15 12:09:13.799731+00:00
https://www.fincaraiz.com.co//apartaestudio-en-arriendo-en-santa-helenita-bogota/193455159,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 4.999.999 | $ 430.000.000 | $ 36.000.000 | $ 430.000.000 | $ 2.500.000 | $ 3.010.000 | $ 415.000.000 | $ 1.120.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-03-15 12:09:13.843247+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-country-club-bogota/193398784,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 4.999.999 | $ 430.000.000 | $ 36.000.000 | $ 430.000.000 | $ 2.500.000 | $ 3.010.000 | $ 415.000.000 | $ 1.120.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-03-15 12:09:13.885495+00:00
