url,information,date_time
https://www.fincaraiz.com.co//casa-en-arriendo-en-la-carolina-bogota/193770373,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 750.000.000 | $ 1.130.000 | $ 460.000.000 | $ 470.000.000 | $ 1.550.000 | $ 540.000.000 | $ 3.400.000 | $ 2.250.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-06-10 18:53:24.861007+00:00
https://www.fincaraiz.com.co//oficina-en-arriendo-en-chico-norte-bogota/191878773,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 750.000.000 | $ 1.130.000 | $ 460.000.000 | $ 470.000.000 | $ 1.550.000 | $ 540.000.000 | $ 3.400.000 | $ 2.250.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-06-10 18:53:25.029180+00:00
https://www.fincaraiz.com.co//casa-en-arriendo-en-chapinero-bogota/192246598,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 750.000.000 | $ 1.130.000 | $ 460.000.000 | $ 470.000.000 | $ 1.550.000 | $ 540.000.000 | $ 3.400.000 | $ 2.250.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-06-10 18:53:25.086466+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-las-brisas-bogota/193671720,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 750.000.000 | $ 1.130.000 | $ 460.000.000 | $ 470.000.000 | $ 1.550.000 | $ 540.000.000 | $ 3.400.000 | $ 2.250.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-06-10 18:53:25.096383+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-la-cabrera-bogota/193428692,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 750.000.000 | $ 1.130.000 | $ 460.000.000 | $ 470.000.000 | $ 1.550.000 | $ 540.000.000 | $ 3.400.000 | $ 2.250.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-06-10 18:53:25.663299+00:00
https://www.fincaraiz.com.co//apartaestudio-en-arriendo-en-cedritos-bogota/193619138,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 750.000.000 | $ 1.130.000 | $ 460.000.000 | $ 470.000.000 | $ 1.550.000 | $ 540.000.000 | $ 3.400.000 | $ 2.250.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-06-10 18:53:25.689078+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-chapinero-bogota/193847304,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 750.000.000 | $ 1.130.000 | $ 460.000.000 | $ 470.000.000 | $ 1.550.000 | $ 540.000.000 | $ 3.400.000 | $ 2.250.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-06-10 18:53:25.760161+00:00
https://www.fincaraiz.com.co//oficina-en-arriendo-en-usaquen-bogota/193682534,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 750.000.000 | $ 1.130.000 | $ 460.000.000 | $ 470.000.000 | $ 1.550.000 | $ 540.000.000 | $ 3.400.000 | $ 2.250.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-06-10 18:53:25.774612+00:00
https://www.fincaraiz.com.co//edificio-en-arriendo-en-santa-ana-oriental-bogota/193555567,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 750.000.000 | $ 1.130.000 | $ 460.000.000 | $ 470.000.000 | $ 1.550.000 | $ 540.000.000 | $ 3.400.000 | $ 2.250.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-06-10 18:53:26.001280+00:00
https://www.fincaraiz.com.co//local-en-arriendo-en-chapinero-central-bogota/193825089,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 750.000.000 | $ 1.130.000 | $ 460.000.000 | $ 470.000.000 | $ 1.550.000 | $ 540.000.000 | $ 3.400.000 | $ 2.250.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-06-10 18:53:26.011467+00:00
