url,information,date_time
https://www.fincaraiz.com.co//oficina-en-arriendo-en-la-rosita-bogota/192206859,"{'title': 'El portal inmobiliario #1 de Colombia', 'pricing': '$ 680.000.000 | $ 980.000.000 | $ 430.000.000 | $ 1.400.000.000 | $ 680.000.000 | $ 1.275.000.000 | $ 3.000.000.000 | $ 2.200.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-07-11 12:18:36.507450+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-rafael-uribe-bogota/193858493,"{'title': 'El portal inmobiliario #1 de Colombia', 'pricing': '$ 680.000.000 | $ 980.000.000 | $ 430.000.000 | $ 1.400.000.000 | $ 680.000.000 | $ 1.275.000.000 | $ 3.000.000.000 | $ 2.200.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-07-11 12:18:36.536314+00:00
https://www.fincaraiz.com.co//oficina-en-arriendo-en-chico-norte-bogota/193486848,"{'title': 'El portal inmobiliario #1 de Colombia', 'pricing': '$ 680.000.000 | $ 980.000.000 | $ 430.000.000 | $ 1.400.000.000 | $ 680.000.000 | $ 1.275.000.000 | $ 3.000.000.000 | $ 2.200.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-07-11 12:18:36.682591+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-el-refugio-bogota/193916657,"{'title': 'El portal inmobiliario #1 de Colombia', 'pricing': '$ 680.000.000 | $ 980.000.000 | $ 430.000.000 | $ 1.400.000.000 | $ 680.000.000 | $ 1.275.000.000 | $ 3.000.000.000 | $ 2.200.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-07-11 12:18:36.689680+00:00
https://www.fincaraiz.com.co//oficina-en-arriendo-en-chico-norte-bogota/193862404,"{'title': 'El portal inmobiliario #1 de Colombia', 'pricing': '$ 680.000.000 | $ 980.000.000 | $ 430.000.000 | $ 1.400.000.000 | $ 680.000.000 | $ 1.275.000.000 | $ 3.000.000.000 | $ 2.200.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-07-11 12:18:36.710916+00:00
https://www.fincaraiz.com.co//local-en-arriendo-en-chapinero-bogota/191801473,"{'title': 'El portal inmobiliario #1 de Colombia', 'pricing': '$ 680.000.000 | $ 980.000.000 | $ 430.000.000 | $ 1.400.000.000 | $ 680.000.000 | $ 1.275.000.000 | $ 3.000.000.000 | $ 2.200.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-07-11 12:18:37.257222+00:00
https://www.fincaraiz.com.co//oficina-en-arriendo-en-quinta-camacho-bogota/193823701,"{'title': 'El portal inmobiliario #1 de Colombia', 'pricing': '$ 680.000.000 | $ 980.000.000 | $ 430.000.000 | $ 1.400.000.000 | $ 680.000.000 | $ 1.275.000.000 | $ 3.000.000.000 | $ 2.200.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-07-11 12:18:37.283621+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-santa-bibiana-bogota/193774705,"{'title': 'El portal inmobiliario #1 de Colombia', 'pricing': '$ 680.000.000 | $ 980.000.000 | $ 430.000.000 | $ 1.400.000.000 | $ 680.000.000 | $ 1.275.000.000 | $ 3.000.000.000 | $ 2.200.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-07-11 12:18:37.292551+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-barrios-unidos-bogota/193632538,"{'title': 'El portal inmobiliario #1 de Colombia', 'pricing': '$ 680.000.000 | $ 980.000.000 | $ 430.000.000 | $ 1.400.000.000 | $ 680.000.000 | $ 1.275.000.000 | $ 3.000.000.000 | $ 2.200.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-07-11 12:18:37.298729+00:00
https://www.fincaraiz.com.co//bodega-en-arriendo-en-morato-bogota/193660450,"{'title': 'El portal inmobiliario #1 de Colombia', 'pricing': '$ 680.000.000 | $ 980.000.000 | $ 430.000.000 | $ 1.400.000.000 | $ 680.000.000 | $ 1.275.000.000 | $ 3.000.000.000 | $ 2.200.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-07-11 12:18:37.305705+00:00
