url,information,date_time
https://www.fincaraiz.com.co//casa-en-arriendo-en-la-laguna-fontibon-bogota/193584000,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 1.650.000 | $ 2.000.000 | $ 4.500.000 | $ 1.300.000 | $ 2.000.000 | $ 2.000.000 | $ 1.350.000 | $ 340.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-18 13:13:19.510513+00:00
https://www.fincaraiz.com.co//oficina-en-arriendo-en-santa-paula-bogota/193282905,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 1.650.000 | $ 2.000.000 | $ 4.500.000 | $ 1.300.000 | $ 2.000.000 | $ 2.000.000 | $ 1.350.000 | $ 340.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-18 13:13:19.547048+00:00
https://www.fincaraiz.com.co//local-en-arriendo-en-chapinero-bogota/191102322,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 1.650.000 | $ 2.000.000 | $ 4.500.000 | $ 1.300.000 | $ 2.000.000 | $ 2.000.000 | $ 1.350.000 | $ 340.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-18 13:13:19.559184+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-cedritos-bogota/193691560,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 1.650.000 | $ 2.000.000 | $ 4.500.000 | $ 1.300.000 | $ 2.000.000 | $ 2.000.000 | $ 1.350.000 | $ 340.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-18 13:13:19.571255+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-pinar-de-suba-bogota/193463557,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 1.650.000 | $ 2.000.000 | $ 4.500.000 | $ 1.300.000 | $ 2.000.000 | $ 2.000.000 | $ 1.350.000 | $ 340.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-18 13:13:20.135684+00:00
https://www.fincaraiz.com.co//oficina-en-arriendo-en-chapinero-bogota/193655701,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 1.650.000 | $ 2.000.000 | $ 4.500.000 | $ 1.300.000 | $ 2.000.000 | $ 2.000.000 | $ 1.350.000 | $ 340.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-18 13:13:20.157448+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-galan-bogota/193664562,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 1.650.000 | $ 2.000.000 | $ 4.500.000 | $ 1.300.000 | $ 2.000.000 | $ 2.000.000 | $ 1.350.000 | $ 340.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-18 13:13:20.167367+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-usaquen-bogota/193743731,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 1.650.000 | $ 2.000.000 | $ 4.500.000 | $ 1.300.000 | $ 2.000.000 | $ 2.000.000 | $ 1.350.000 | $ 340.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-18 13:13:20.391427+00:00
https://www.fincaraiz.com.co//oficina-en-arriendo-en-chapinero-sur-occidental-bogota/191995619,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 1.650.000 | $ 2.000.000 | $ 4.500.000 | $ 1.300.000 | $ 2.000.000 | $ 2.000.000 | $ 1.350.000 | $ 340.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-18 13:13:20.456026+00:00
https://www.fincaraiz.com.co//apartaestudio-en-arriendo-en-chico-norte-bogota/192726026,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 1.650.000 | $ 2.000.000 | $ 4.500.000 | $ 1.300.000 | $ 2.000.000 | $ 2.000.000 | $ 1.350.000 | $ 340.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-18 13:13:20.469702+00:00
