url,information,date_time
https://www.fincaraiz.com.co//apartaestudio-en-arriendo-en-las-aguas-bogota/191974102,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 150.000.000 | $ 3.800.000 | $ 1.900.000 | $ 778.000.000 | $ 1.950.000.000 | $ 640.000.000 | $ 3.100.000 | $ 7.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-04-03 00:24:07.436641+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-colina-campestre-bogota/193519771,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 150.000.000 | $ 3.800.000 | $ 1.900.000 | $ 778.000.000 | $ 1.950.000.000 | $ 640.000.000 | $ 3.100.000 | $ 7.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-04-03 00:24:07.453949+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-bella-suiza-bogota/193388722,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 150.000.000 | $ 3.800.000 | $ 1.900.000 | $ 778.000.000 | $ 1.950.000.000 | $ 640.000.000 | $ 3.100.000 | $ 7.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-04-03 00:24:07.460791+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-chico-norte-bogota/10792307,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 150.000.000 | $ 3.800.000 | $ 1.900.000 | $ 778.000.000 | $ 1.950.000.000 | $ 640.000.000 | $ 3.100.000 | $ 7.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-04-03 00:24:07.505087+00:00
https://www.fincaraiz.com.co//casa-en-arriendo-en-milenta-bogota/193001187,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 150.000.000 | $ 3.800.000 | $ 1.900.000 | $ 778.000.000 | $ 1.950.000.000 | $ 640.000.000 | $ 3.100.000 | $ 7.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-04-03 00:24:07.855441+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-la-cabrera-bogota/193097402,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 150.000.000 | $ 3.800.000 | $ 1.900.000 | $ 778.000.000 | $ 1.950.000.000 | $ 640.000.000 | $ 3.100.000 | $ 7.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-04-03 00:24:07.938075+00:00
https://www.fincaraiz.com.co//oficina-en-arriendo-en-chico-norte-bogota/192588248,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 150.000.000 | $ 3.800.000 | $ 1.900.000 | $ 778.000.000 | $ 1.950.000.000 | $ 640.000.000 | $ 3.100.000 | $ 7.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-04-03 00:24:08.007907+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-chapinero-bogota/193063091,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 150.000.000 | $ 3.800.000 | $ 1.900.000 | $ 778.000.000 | $ 1.950.000.000 | $ 640.000.000 | $ 3.100.000 | $ 7.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-04-03 00:24:08.132376+00:00
https://www.fincaraiz.com.co//local-en-arriendo-en-barrios-unidos-bogota/193486843,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 150.000.000 | $ 3.800.000 | $ 1.900.000 | $ 778.000.000 | $ 1.950.000.000 | $ 640.000.000 | $ 3.100.000 | $ 7.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-04-03 00:24:08.171392+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-pinar-de-suba-bogota/193463557,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 150.000.000 | $ 3.800.000 | $ 1.900.000 | $ 778.000.000 | $ 1.950.000.000 | $ 640.000.000 | $ 3.100.000 | $ 7.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-04-03 00:24:08.195362+00:00
