url,information,date_time
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-los-rosales-bogota/193434859,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 1.200.000 | $ 17.321.000 | $ 2.900.000 | $ 599.000.000 | $ 6.800.000 | $ 1.300.000.000 | $ 2.000.000 | $ 3.800.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-02-25 18:23:28.714069+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-lagos-de-torca-bogota/192813390,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 1.200.000 | $ 17.321.000 | $ 2.900.000 | $ 599.000.000 | $ 6.800.000 | $ 1.300.000.000 | $ 2.000.000 | $ 3.800.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-02-25 18:23:28.731555+00:00
https://www.fincaraiz.com.co//oficina-en-arriendo-en-usaquen-bogota/10520463,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 1.200.000 | $ 17.321.000 | $ 2.900.000 | $ 599.000.000 | $ 6.800.000 | $ 1.300.000.000 | $ 2.000.000 | $ 3.800.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-02-25 18:23:29.025982+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-chico-norte-bogota/193149472,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 1.200.000 | $ 17.321.000 | $ 2.900.000 | $ 599.000.000 | $ 6.800.000 | $ 1.300.000.000 | $ 2.000.000 | $ 3.800.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-02-25 18:23:29.109689+00:00
https://www.fincaraiz.com.co//oficina-en-arriendo-en-antiguo-country-bogota/193397320,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 1.200.000 | $ 17.321.000 | $ 2.900.000 | $ 599.000.000 | $ 6.800.000 | $ 1.300.000.000 | $ 2.000.000 | $ 3.800.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-02-25 18:23:29.117434+00:00
https://www.fincaraiz.com.co//local-en-arriendo-en-la-victoria-bogota/193297384,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 1.200.000 | $ 17.321.000 | $ 2.900.000 | $ 599.000.000 | $ 6.800.000 | $ 1.300.000.000 | $ 2.000.000 | $ 3.800.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-02-25 18:23:29.367249+00:00
https://www.fincaraiz.com.co//oficina-en-arriendo-en-chico-norte-bogota/10924799,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 1.200.000 | $ 17.321.000 | $ 2.900.000 | $ 599.000.000 | $ 6.800.000 | $ 1.300.000.000 | $ 2.000.000 | $ 3.800.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-02-25 18:23:29.727940+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-prado-veraniego-bogota/193418435,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 1.200.000 | $ 17.321.000 | $ 2.900.000 | $ 599.000.000 | $ 6.800.000 | $ 1.300.000.000 | $ 2.000.000 | $ 3.800.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-02-25 18:23:30.323632+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo/193436290,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 1.200.000 | $ 17.321.000 | $ 2.900.000 | $ 599.000.000 | $ 6.800.000 | $ 1.300.000.000 | $ 2.000.000 | $ 3.800.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-02-25 18:23:30.355073+00:00
https://www.fincaraiz.com.co//oficina-en-arriendo-en-el-nogal-bogota/192567194,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 1.200.000 | $ 17.321.000 | $ 2.900.000 | $ 599.000.000 | $ 6.800.000 | $ 1.300.000.000 | $ 2.000.000 | $ 3.800.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-02-25 18:23:30.401291+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-el-chico-bogota/192750131,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 1.200.000 | $ 17.321.000 | $ 2.900.000 | $ 599.000.000 | $ 6.800.000 | $ 1.300.000.000 | $ 2.000.000 | $ 3.800.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-02-25 18:23:30.637172+00:00
