url,information,date_time
https://www.fincaraiz.com.co//bodega-en-arriendo-en-siete-de-agosto-bogota/193837807,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 4.200.000 | $ 1.200.000 | $ 1.500.000 | $ 450.000.000 | $ 1.800.000 | $ 23.000.000 | $ 490.000.000 | $ 420.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-06-13 18:29:40.022206+00:00
https://www.fincaraiz.com.co//oficina-en-arriendo-en-antiguo-country-bogota/193347003,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 4.200.000 | $ 1.200.000 | $ 1.500.000 | $ 450.000.000 | $ 1.800.000 | $ 23.000.000 | $ 490.000.000 | $ 420.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-06-13 18:29:40.066944+00:00
https://www.fincaraiz.com.co//casa-en-arriendo-en-barrios-unidos-bogota/193756497,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 4.200.000 | $ 1.200.000 | $ 1.500.000 | $ 450.000.000 | $ 1.800.000 | $ 23.000.000 | $ 490.000.000 | $ 420.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-06-13 18:29:40.078921+00:00
https://www.fincaraiz.com.co//oficina-en-arriendo-en-pasadena-bogota/193736900,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 4.200.000 | $ 1.200.000 | $ 1.500.000 | $ 450.000.000 | $ 1.800.000 | $ 23.000.000 | $ 490.000.000 | $ 420.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-06-13 18:29:40.219805+00:00
https://www.fincaraiz.com.co//bodega-en-arriendo-en-fontibon-bogota/193815880,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 4.200.000 | $ 1.200.000 | $ 1.500.000 | $ 450.000.000 | $ 1.800.000 | $ 23.000.000 | $ 490.000.000 | $ 420.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-06-13 18:29:40.281114+00:00
https://www.fincaraiz.com.co//apartaestudio-en-arriendo-en-modelia-bogota/193384788,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 4.200.000 | $ 1.200.000 | $ 1.500.000 | $ 450.000.000 | $ 1.800.000 | $ 23.000.000 | $ 490.000.000 | $ 420.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-06-13 18:29:40.329361+00:00
https://www.fincaraiz.com.co//casa-en-arriendo-en-milenta-bogota/193001187,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 4.200.000 | $ 1.200.000 | $ 1.500.000 | $ 450.000.000 | $ 1.800.000 | $ 23.000.000 | $ 490.000.000 | $ 420.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-06-13 18:29:40.355433+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-colina-campestre-bogota/193409625,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 4.200.000 | $ 1.200.000 | $ 1.500.000 | $ 450.000.000 | $ 1.800.000 | $ 23.000.000 | $ 490.000.000 | $ 420.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-06-13 18:29:40.551138+00:00
https://www.fincaraiz.com.co//oficina-en-arriendo-en-antiguo-country-bogota/192750152,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 4.200.000 | $ 1.200.000 | $ 1.500.000 | $ 450.000.000 | $ 1.800.000 | $ 23.000.000 | $ 490.000.000 | $ 420.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-06-13 18:29:40.929609+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-la-cabrera-bogota/193428692,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 4.200.000 | $ 1.200.000 | $ 1.500.000 | $ 450.000.000 | $ 1.800.000 | $ 23.000.000 | $ 490.000.000 | $ 420.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-06-13 18:29:40.953323+00:00
https://www.fincaraiz.com.co//edificio-en-arriendo-en-santa-ana-oriental-bogota/193555567,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 4.200.000 | $ 1.200.000 | $ 1.500.000 | $ 450.000.000 | $ 1.800.000 | $ 23.000.000 | $ 490.000.000 | $ 420.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-06-13 18:29:40.999399+00:00
