url,information,date_time
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-las-nieves-bogota/193595921,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 1.100.000.000 | $ 1.100.000.000 | $ 450.000.000 | $ 520.000.000 | $ 1.750.000 | $ 1.183.600 | $ 1.700.000 | $ 10.512.051', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-11 12:59:28.475281+00:00
https://www.fincaraiz.com.co//casa-en-arriendo-en-sotileza-bogota/193568828,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 1.100.000.000 | $ 1.100.000.000 | $ 450.000.000 | $ 520.000.000 | $ 1.750.000 | $ 1.183.600 | $ 1.700.000 | $ 10.512.051', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-11 12:59:28.597246+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-fontibon-bogota/191955675,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 1.100.000.000 | $ 1.100.000.000 | $ 450.000.000 | $ 520.000.000 | $ 1.750.000 | $ 1.183.600 | $ 1.700.000 | $ 10.512.051', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-11 12:59:28.607972+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-gran-america-bogota/193579168,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 1.100.000.000 | $ 1.100.000.000 | $ 450.000.000 | $ 520.000.000 | $ 1.750.000 | $ 1.183.600 | $ 1.700.000 | $ 10.512.051', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-11 12:59:28.629644+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-chico-norte-bogota/193566489,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 1.100.000.000 | $ 1.100.000.000 | $ 450.000.000 | $ 520.000.000 | $ 1.750.000 | $ 1.183.600 | $ 1.700.000 | $ 10.512.051', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-11 12:59:29.330241+00:00
https://www.fincaraiz.com.co//oficina-en-arriendo-en-antiguo-country-bogota/193347003,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 1.100.000.000 | $ 1.100.000.000 | $ 450.000.000 | $ 520.000.000 | $ 1.750.000 | $ 1.183.600 | $ 1.700.000 | $ 10.512.051', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-11 12:59:29.361350+00:00
https://www.fincaraiz.com.co//apartaestudio-en-arriendo-en-ciudad-salitre-bogota/193631069,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 1.100.000.000 | $ 1.100.000.000 | $ 450.000.000 | $ 520.000.000 | $ 1.750.000 | $ 1.183.600 | $ 1.700.000 | $ 10.512.051', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-11 12:59:29.369844+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-la-cabrera-bogota/193097402,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 1.100.000.000 | $ 1.100.000.000 | $ 450.000.000 | $ 520.000.000 | $ 1.750.000 | $ 1.183.600 | $ 1.700.000 | $ 10.512.051', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-11 12:59:29.554171+00:00
https://www.fincaraiz.com.co//apartaestudio-en-arriendo-en-los-monjes-bogota/193452880,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 1.100.000.000 | $ 1.100.000.000 | $ 450.000.000 | $ 520.000.000 | $ 1.750.000 | $ 1.183.600 | $ 1.700.000 | $ 10.512.051', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-11 12:59:29.616485+00:00
https://www.fincaraiz.com.co//oficina-en-arriendo-en-chico-norte-bogota/10924799,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 1.100.000.000 | $ 1.100.000.000 | $ 450.000.000 | $ 520.000.000 | $ 1.750.000 | $ 1.183.600 | $ 1.700.000 | $ 10.512.051', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-11 12:59:29.634401+00:00
