url,information,date_time
https://www.fincaraiz.com.co//casa-en-arriendo-en-milenta-bogota/193001187,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 4.500.000 | $ 700.000.000 | $ 4.500.000 | $ 180.000.000 | $ 1.500.000.000 | $ 2.600.000 | $ 2.350.000 | $ 447.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-08 18:29:48.852463+00:00
https://www.fincaraiz.com.co//casa-en-arriendo-en-chico-norte-bogota/193390131,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 4.500.000 | $ 700.000.000 | $ 4.500.000 | $ 180.000.000 | $ 1.500.000.000 | $ 2.600.000 | $ 2.350.000 | $ 447.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-08 18:29:48.862355+00:00
https://www.fincaraiz.com.co//local-en-arriendo-en-zona-franca-bogota/193070184,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 4.500.000 | $ 700.000.000 | $ 4.500.000 | $ 180.000.000 | $ 1.500.000.000 | $ 2.600.000 | $ 2.350.000 | $ 447.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-08 18:29:48.869603+00:00
https://www.fincaraiz.com.co//oficina-en-arriendo-en-bogota/5736240,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 4.500.000 | $ 700.000.000 | $ 4.500.000 | $ 180.000.000 | $ 1.500.000.000 | $ 2.600.000 | $ 2.350.000 | $ 447.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-08 18:29:48.922582+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-alameda-bogota/193631624,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 4.500.000 | $ 700.000.000 | $ 4.500.000 | $ 180.000.000 | $ 1.500.000.000 | $ 2.600.000 | $ 2.350.000 | $ 447.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-08 18:29:49.586699+00:00
https://www.fincaraiz.com.co//oficina-en-arriendo-en-la-soledad-bogota/193584080,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 4.500.000 | $ 700.000.000 | $ 4.500.000 | $ 180.000.000 | $ 1.500.000.000 | $ 2.600.000 | $ 2.350.000 | $ 447.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-08 18:29:49.593958+00:00
https://www.fincaraiz.com.co//oficina-en-arriendo-en-fontibon-bogota/193066062,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 4.500.000 | $ 700.000.000 | $ 4.500.000 | $ 180.000.000 | $ 1.500.000.000 | $ 2.600.000 | $ 2.350.000 | $ 447.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-08 18:29:49.638617+00:00
https://www.fincaraiz.com.co//local-en-arriendo-en-olaya-bogota/7092019,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 4.500.000 | $ 700.000.000 | $ 4.500.000 | $ 180.000.000 | $ 1.500.000.000 | $ 2.600.000 | $ 2.350.000 | $ 447.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-08 18:29:49.839196+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-chapinero-bogota/193615204,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 4.500.000 | $ 700.000.000 | $ 4.500.000 | $ 180.000.000 | $ 1.500.000.000 | $ 2.600.000 | $ 2.350.000 | $ 447.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-08 18:29:49.877663+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-barrios-unidos-bogota/193656137,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 4.500.000 | $ 700.000.000 | $ 4.500.000 | $ 180.000.000 | $ 1.500.000.000 | $ 2.600.000 | $ 2.350.000 | $ 447.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-08 18:29:49.895944+00:00
