url,information,date_time
https://www.fincaraiz.com.co//local-en-arriendo-en-barrios-unidos-bogota/193486843,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 253.000.000 | $ 1.000.000 | $ 548.900.000 | $ 5.400.000 | $ 219.000.000 | $ 750.000 | $ 3.100.000.000 | $ 1.064.600', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-03-18 12:16:34.486010+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-chico-alto-bogota/193401861,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 253.000.000 | $ 1.000.000 | $ 548.900.000 | $ 5.400.000 | $ 219.000.000 | $ 750.000 | $ 3.100.000.000 | $ 1.064.600', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-03-18 12:16:34.492916+00:00
https://www.fincaraiz.com.co//apartaestudio-en-arriendo-en-engativa-bogota/192677669,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 253.000.000 | $ 1.000.000 | $ 548.900.000 | $ 5.400.000 | $ 219.000.000 | $ 750.000 | $ 3.100.000.000 | $ 1.064.600', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-03-18 12:16:34.499751+00:00
https://www.fincaraiz.com.co//casa-en-arriendo-en-iberia-bogota/192563302,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 253.000.000 | $ 1.000.000 | $ 548.900.000 | $ 5.400.000 | $ 219.000.000 | $ 750.000 | $ 3.100.000.000 | $ 1.064.600', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-03-18 12:16:34.549058+00:00
https://www.fincaraiz.com.co//oficina-en-arriendo-en-fontibon-bogota/193066062,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 253.000.000 | $ 1.000.000 | $ 548.900.000 | $ 5.400.000 | $ 219.000.000 | $ 750.000 | $ 3.100.000.000 | $ 1.064.600', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-03-18 12:16:35.066586+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-los-rosales-bogota/193406957,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 253.000.000 | $ 1.000.000 | $ 548.900.000 | $ 5.400.000 | $ 219.000.000 | $ 750.000 | $ 3.100.000.000 | $ 1.064.600', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-03-18 12:16:35.079268+00:00
https://www.fincaraiz.com.co//local-en-arriendo-en-chapinero-bogota/191102322,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 253.000.000 | $ 1.000.000 | $ 548.900.000 | $ 5.400.000 | $ 219.000.000 | $ 750.000 | $ 3.100.000.000 | $ 1.064.600', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-03-18 12:16:35.100986+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-bosa-la-amistad-bogota/193324452,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 253.000.000 | $ 1.000.000 | $ 548.900.000 | $ 5.400.000 | $ 219.000.000 | $ 750.000 | $ 3.100.000.000 | $ 1.064.600', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-03-18 12:16:35.108696+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-los-rosales-bogota/192512754,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 253.000.000 | $ 1.000.000 | $ 548.900.000 | $ 5.400.000 | $ 219.000.000 | $ 750.000 | $ 3.100.000.000 | $ 1.064.600', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-03-18 12:16:35.162304+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-bosque-de-pinos-bogota/192750149,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 253.000.000 | $ 1.000.000 | $ 548.900.000 | $ 5.400.000 | $ 219.000.000 | $ 750.000 | $ 3.100.000.000 | $ 1.064.600', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-03-18 12:16:35.199715+00:00
https://www.fincaraiz.com.co//casa-en-arriendo-en-ciudad-salitre-bogota/193016355,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 253.000.000 | $ 1.000.000 | $ 548.900.000 | $ 5.400.000 | $ 219.000.000 | $ 750.000 | $ 3.100.000.000 | $ 1.064.600', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-03-18 12:16:35.333581+00:00
https://www.fincaraiz.com.co//casa-en-arriendo-en-la-castellana-bogota/193249147,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 253.000.000 | $ 1.000.000 | $ 548.900.000 | $ 5.400.000 | $ 219.000.000 | $ 750.000 | $ 3.100.000.000 | $ 1.064.600', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-03-18 12:16:35.473692+00:00
https://www.fincaraiz.com.co//apartaestudio-en-arriendo-en-chico-norte-bogota/193485149,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 253.000.000 | $ 1.000.000 | $ 548.900.000 | $ 5.400.000 | $ 219.000.000 | $ 750.000 | $ 3.100.000.000 | $ 1.064.600', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-03-18 12:16:35.947447+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-la-macarena-bogota/192827261,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 253.000.000 | $ 1.000.000 | $ 548.900.000 | $ 5.400.000 | $ 219.000.000 | $ 750.000 | $ 3.100.000.000 | $ 1.064.600', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-03-18 12:16:35.981743+00:00
