url,information,date_time
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-chico-norte-bogota/193463260,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 1.700.000.000 | $ 325.000.000 | $ 135.000.000 | $ 150.000.000 | $ 5.500.000 | $ 5.500.000 | $ 1.895.000.000 | $ 3.500.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-19 07:12:38.633995+00:00
https://www.fincaraiz.com.co//apartaestudio-en-arriendo-en-lagos-de-torca-bogota/193481965,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 1.700.000.000 | $ 325.000.000 | $ 135.000.000 | $ 150.000.000 | $ 5.500.000 | $ 5.500.000 | $ 1.895.000.000 | $ 3.500.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-19 07:12:38.694734+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-el-chico-bogota/193505322,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 1.700.000.000 | $ 325.000.000 | $ 135.000.000 | $ 150.000.000 | $ 5.500.000 | $ 5.500.000 | $ 1.895.000.000 | $ 3.500.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-19 07:12:38.714209+00:00
https://www.fincaraiz.com.co//bodega-en-arriendo-en-bogota/193660266,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 1.700.000.000 | $ 325.000.000 | $ 135.000.000 | $ 150.000.000 | $ 5.500.000 | $ 5.500.000 | $ 1.895.000.000 | $ 3.500.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-19 07:12:38.745480+00:00
https://www.fincaraiz.com.co//oficina-en-arriendo-en-chico-norte-bogota/193413670,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 1.700.000.000 | $ 325.000.000 | $ 135.000.000 | $ 150.000.000 | $ 5.500.000 | $ 5.500.000 | $ 1.895.000.000 | $ 3.500.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-19 07:12:39.287739+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-la-carolina-bogota/193365302,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 1.700.000.000 | $ 325.000.000 | $ 135.000.000 | $ 150.000.000 | $ 5.500.000 | $ 5.500.000 | $ 1.895.000.000 | $ 3.500.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-19 07:12:39.373360+00:00
https://www.fincaraiz.com.co//oficina-en-arriendo-en-chico-navarra-bogota/193486845,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 1.700.000.000 | $ 325.000.000 | $ 135.000.000 | $ 150.000.000 | $ 5.500.000 | $ 5.500.000 | $ 1.895.000.000 | $ 3.500.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-19 07:12:39.587564+00:00
https://www.fincaraiz.com.co//casa-en-arriendo-en-chico-norte-bogota/193390131,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 1.700.000.000 | $ 325.000.000 | $ 135.000.000 | $ 150.000.000 | $ 5.500.000 | $ 5.500.000 | $ 1.895.000.000 | $ 3.500.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-19 07:12:39.612769+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-el-redil-bogota/193267147,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 1.700.000.000 | $ 325.000.000 | $ 135.000.000 | $ 150.000.000 | $ 5.500.000 | $ 5.500.000 | $ 1.895.000.000 | $ 3.500.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-19 07:12:39.725069+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-santa-barbara-occidental-bogota/192750095,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 1.700.000.000 | $ 325.000.000 | $ 135.000.000 | $ 150.000.000 | $ 5.500.000 | $ 5.500.000 | $ 1.895.000.000 | $ 3.500.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-19 07:12:39.753543+00:00
