url,information,date_time
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-paloquemao-bogota/193299543,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 830.000.000 | $ 2.700.000 | $ 330.000.000 | $ 1.300.000 | $ 310.000.000 | $ 1.090.000 | $ 1.100.000.000 | $ 3.200.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-03-01 18:06:01.292037+00:00
https://www.fincaraiz.com.co//oficina-en-arriendo-en-chico-norte-bogota/191878773,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 830.000.000 | $ 2.700.000 | $ 330.000.000 | $ 1.300.000 | $ 310.000.000 | $ 1.090.000 | $ 1.100.000.000 | $ 3.200.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-03-01 18:06:01.370436+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-marsella-bogota/193041039,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 830.000.000 | $ 2.700.000 | $ 330.000.000 | $ 1.300.000 | $ 310.000.000 | $ 1.090.000 | $ 1.100.000.000 | $ 3.200.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-03-01 18:06:01.379813+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-chapinero-alto-bogota/193295823,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 830.000.000 | $ 2.700.000 | $ 330.000.000 | $ 1.300.000 | $ 310.000.000 | $ 1.090.000 | $ 1.100.000.000 | $ 3.200.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-03-01 18:06:01.533579+00:00
https://www.fincaraiz.com.co//bodega-en-arriendo-en-santa-fe-bogota/192750030,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 830.000.000 | $ 2.700.000 | $ 330.000.000 | $ 1.300.000 | $ 310.000.000 | $ 1.090.000 | $ 1.100.000.000 | $ 3.200.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-03-01 18:06:02.147560+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-marly-bogota/191919864,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 830.000.000 | $ 2.700.000 | $ 330.000.000 | $ 1.300.000 | $ 310.000.000 | $ 1.090.000 | $ 1.100.000.000 | $ 3.200.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-03-01 18:06:02.160219+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-ciudadela-colsubsidio-bogota/192984181,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 830.000.000 | $ 2.700.000 | $ 330.000.000 | $ 1.300.000 | $ 310.000.000 | $ 1.090.000 | $ 1.100.000.000 | $ 3.200.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-03-01 18:06:02.212530+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-chapinero-bogota/193436290,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 830.000.000 | $ 2.700.000 | $ 330.000.000 | $ 1.300.000 | $ 310.000.000 | $ 1.090.000 | $ 1.100.000.000 | $ 3.200.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-03-01 18:06:02.783264+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-chico-norte-bogota/10792307,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 830.000.000 | $ 2.700.000 | $ 330.000.000 | $ 1.300.000 | $ 310.000.000 | $ 1.090.000 | $ 1.100.000.000 | $ 3.200.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-03-01 18:06:02.810376+00:00
https://www.fincaraiz.com.co//oficina-en-arriendo-en-chico-norte-bogota/193379926,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 830.000.000 | $ 2.700.000 | $ 330.000.000 | $ 1.300.000 | $ 310.000.000 | $ 1.090.000 | $ 1.100.000.000 | $ 3.200.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-03-01 18:06:02.873316+00:00
