url,information,date_time
https://www.fincaraiz.com.co//local-en-arriendo-en-barrancas-norte-bogota/193571413,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 740.000.000 | $ 485.000.000 | $ 540.000.000 | $ 3.200.000 | $ 420.000.000 | $ 750.000.000 | $ 1.250.000.000 | $ 515.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-01 00:36:17.849493+00:00
https://www.fincaraiz.com.co//casa-en-arriendo-en-mirandela-bogota/193638834,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 740.000.000 | $ 485.000.000 | $ 540.000.000 | $ 3.200.000 | $ 420.000.000 | $ 750.000.000 | $ 1.250.000.000 | $ 515.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-01 00:36:17.938347+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-el-batan-bogota/193481563,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 740.000.000 | $ 485.000.000 | $ 540.000.000 | $ 3.200.000 | $ 420.000.000 | $ 750.000.000 | $ 1.250.000.000 | $ 515.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-01 00:36:17.960106+00:00
https://www.fincaraiz.com.co//bodega-en-arriendo-en-alcazares-norte-bogota/191248514,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 740.000.000 | $ 485.000.000 | $ 540.000.000 | $ 3.200.000 | $ 420.000.000 | $ 750.000.000 | $ 1.250.000.000 | $ 515.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-01 00:36:17.987222+00:00
https://www.fincaraiz.com.co//bodega-en-arriendo-en-san-fernando-occidental-bogota/193165852,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 740.000.000 | $ 485.000.000 | $ 540.000.000 | $ 3.200.000 | $ 420.000.000 | $ 750.000.000 | $ 1.250.000.000 | $ 515.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-01 00:36:18.082647+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-usaquen-bogota/193685063,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 740.000.000 | $ 485.000.000 | $ 540.000.000 | $ 3.200.000 | $ 420.000.000 | $ 750.000.000 | $ 1.250.000.000 | $ 515.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-01 00:36:18.095811+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-santa-ana-bogota/193683957,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 740.000.000 | $ 485.000.000 | $ 540.000.000 | $ 3.200.000 | $ 420.000.000 | $ 750.000.000 | $ 1.250.000.000 | $ 515.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-01 00:36:18.144066+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-prado-pinzon-bogota/193421262,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 740.000.000 | $ 485.000.000 | $ 540.000.000 | $ 3.200.000 | $ 420.000.000 | $ 750.000.000 | $ 1.250.000.000 | $ 515.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-01 00:36:18.757270+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-el-virrey-bogota/193665816,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 740.000.000 | $ 485.000.000 | $ 540.000.000 | $ 3.200.000 | $ 420.000.000 | $ 750.000.000 | $ 1.250.000.000 | $ 515.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-01 00:36:18.994894+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-ingemar-bogota/193615204,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 740.000.000 | $ 485.000.000 | $ 540.000.000 | $ 3.200.000 | $ 420.000.000 | $ 750.000.000 | $ 1.250.000.000 | $ 515.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-01 00:36:19.045464+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-engativa-bogota/193663847,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 740.000.000 | $ 485.000.000 | $ 540.000.000 | $ 3.200.000 | $ 420.000.000 | $ 750.000.000 | $ 1.250.000.000 | $ 515.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-01 00:36:19.050637+00:00
https://www.fincaraiz.com.co//apartaestudio-en-arriendo-en-santa-viviana-bogota/193505524,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 740.000.000 | $ 485.000.000 | $ 540.000.000 | $ 3.200.000 | $ 420.000.000 | $ 750.000.000 | $ 1.250.000.000 | $ 515.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-01 00:36:19.055839+00:00
