url,information,date_time
https://www.fincaraiz.com.co//local-en-arriendo-en-prado-veraniego-bogota/193573486,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 5.500.000 | $ 9.500.000 | $ 11.500.000 | $ 260.000.000 | $ 165.000.000 | $ 7.500.000 | $ 530.000.000 | $ 5.600.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-04-09 00:20:50.939424+00:00
https://www.fincaraiz.com.co//oficina-en-arriendo-en-chico-norte-bogota/193200063,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 5.500.000 | $ 9.500.000 | $ 11.500.000 | $ 260.000.000 | $ 165.000.000 | $ 7.500.000 | $ 530.000.000 | $ 5.600.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-04-09 00:20:50.954797+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-cedritos-bogota/193445985,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 5.500.000 | $ 9.500.000 | $ 11.500.000 | $ 260.000.000 | $ 165.000.000 | $ 7.500.000 | $ 530.000.000 | $ 5.600.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-04-09 00:20:50.963942+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-chapinero-bogota/193526824,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 5.500.000 | $ 9.500.000 | $ 11.500.000 | $ 260.000.000 | $ 165.000.000 | $ 7.500.000 | $ 530.000.000 | $ 5.600.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-04-09 00:20:51.012412+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-bella-suiza-bogota/193388722,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 5.500.000 | $ 9.500.000 | $ 11.500.000 | $ 260.000.000 | $ 165.000.000 | $ 7.500.000 | $ 530.000.000 | $ 5.600.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-04-09 00:20:51.177589+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-nuevo-country-bogota/193460027,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 5.500.000 | $ 9.500.000 | $ 11.500.000 | $ 260.000.000 | $ 165.000.000 | $ 7.500.000 | $ 530.000.000 | $ 5.600.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-04-09 00:20:51.191433+00:00
https://www.fincaraiz.com.co//oficina-en-arriendo-en-chico-norte-bogota/192588248,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 5.500.000 | $ 9.500.000 | $ 11.500.000 | $ 260.000.000 | $ 165.000.000 | $ 7.500.000 | $ 530.000.000 | $ 5.600.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-04-09 00:20:51.221580+00:00
https://www.fincaraiz.com.co//oficina-en-arriendo-en-chico-navarra-bogota/193486845,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 5.500.000 | $ 9.500.000 | $ 11.500.000 | $ 260.000.000 | $ 165.000.000 | $ 7.500.000 | $ 530.000.000 | $ 5.600.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-04-09 00:20:51.370462+00:00
https://www.fincaraiz.com.co//casa-en-arriendo-en-quinta-paredes-bogota/193291243,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 5.500.000 | $ 9.500.000 | $ 11.500.000 | $ 260.000.000 | $ 165.000.000 | $ 7.500.000 | $ 530.000.000 | $ 5.600.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-04-09 00:20:51.731317+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-los-rosales-bogota/193443091,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 5.500.000 | $ 9.500.000 | $ 11.500.000 | $ 260.000.000 | $ 165.000.000 | $ 7.500.000 | $ 530.000.000 | $ 5.600.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-04-09 00:20:51.817166+00:00
https://www.fincaraiz.com.co//apartaestudio-en-arriendo-en-el-chico-bogota/193378438,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 5.500.000 | $ 9.500.000 | $ 11.500.000 | $ 260.000.000 | $ 165.000.000 | $ 7.500.000 | $ 530.000.000 | $ 5.600.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-04-09 00:20:51.940890+00:00
