url,information,date_time
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-ciudad-salitre-bogota/193444698,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 2.500.000 | $ 12.000.000 | $ 2.980.000 | $ 12.500.000 | $ 80.000.000 | $ 1.800.000 | $ 900.000.000 | $ 310.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-03-17 18:20:24.314319+00:00
https://www.fincaraiz.com.co//oficina-en-arriendo-en-usaquen-bogota/10520463,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 2.500.000 | $ 12.000.000 | $ 2.980.000 | $ 12.500.000 | $ 80.000.000 | $ 1.800.000 | $ 900.000.000 | $ 310.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-03-17 18:20:24.321424+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-nuevo-country-bogota/193460052,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 2.500.000 | $ 12.000.000 | $ 2.980.000 | $ 12.500.000 | $ 80.000.000 | $ 1.800.000 | $ 900.000.000 | $ 310.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-03-17 18:20:24.329419+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-chapinero-bogota/193457006,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 2.500.000 | $ 12.000.000 | $ 2.980.000 | $ 12.500.000 | $ 80.000.000 | $ 1.800.000 | $ 900.000.000 | $ 310.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-03-17 18:20:24.337294+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-la-cabrera-bogota/193475320,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 2.500.000 | $ 12.000.000 | $ 2.980.000 | $ 12.500.000 | $ 80.000.000 | $ 1.800.000 | $ 900.000.000 | $ 310.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-03-17 18:20:24.345055+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-lagos-de-torca-bogota/192813390,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 2.500.000 | $ 12.000.000 | $ 2.980.000 | $ 12.500.000 | $ 80.000.000 | $ 1.800.000 | $ 900.000.000 | $ 310.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-03-17 18:20:24.367079+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-fontibon-bogota/193447024,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 2.500.000 | $ 12.000.000 | $ 2.980.000 | $ 12.500.000 | $ 80.000.000 | $ 1.800.000 | $ 900.000.000 | $ 310.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-03-17 18:20:24.376907+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-santa-barbara-bogota/193496789,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 2.500.000 | $ 12.000.000 | $ 2.980.000 | $ 12.500.000 | $ 80.000.000 | $ 1.800.000 | $ 900.000.000 | $ 310.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-03-17 18:20:24.716069+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-usaquen-bogota/193520618,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 2.500.000 | $ 12.000.000 | $ 2.980.000 | $ 12.500.000 | $ 80.000.000 | $ 1.800.000 | $ 900.000.000 | $ 310.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-03-17 18:20:25.379911+00:00
https://www.fincaraiz.com.co//casa-en-arriendo-en-chapinero-bogota/193351990,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 2.500.000 | $ 12.000.000 | $ 2.980.000 | $ 12.500.000 | $ 80.000.000 | $ 1.800.000 | $ 900.000.000 | $ 310.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-03-17 18:20:25.609177+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-chico-reservado-bogota/193397415,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 2.500.000 | $ 12.000.000 | $ 2.980.000 | $ 12.500.000 | $ 80.000.000 | $ 1.800.000 | $ 900.000.000 | $ 310.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-03-17 18:20:25.621536+00:00
