url,information,date_time
https://www.fincaraiz.com.co//bodega-en-arriendo-en-fontibon-bogota/193815880,"{'title': 'El portal inmobiliario #1 de Colombia', 'pricing': '$ 535.000.000 | $ 3.000.000 | $ 2.600.000 | $ 5.537.000.000 | $ 1.200.000 | $ 850.000.000 | $ 995.000.000 | $ 540.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-07-02 00:40:50.911560+00:00
https://www.fincaraiz.com.co//bodega-en-arriendo-en-polo-club-bogota/193801301,"{'title': 'El portal inmobiliario #1 de Colombia', 'pricing': '$ 535.000.000 | $ 3.000.000 | $ 2.600.000 | $ 5.537.000.000 | $ 1.200.000 | $ 850.000.000 | $ 995.000.000 | $ 540.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-07-02 00:40:51.407355+00:00
https://www.fincaraiz.com.co//oficina-en-arriendo-en-la-esmeralda-bogota/193826909,"{'title': 'El portal inmobiliario #1 de Colombia', 'pricing': '$ 535.000.000 | $ 3.000.000 | $ 2.600.000 | $ 5.537.000.000 | $ 1.200.000 | $ 850.000.000 | $ 995.000.000 | $ 540.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-07-02 00:40:51.521102+00:00
https://www.fincaraiz.com.co//casa-en-arriendo-en-teusaquillo-bogota/193148336,"{'title': 'El portal inmobiliario #1 de Colombia', 'pricing': '$ 535.000.000 | $ 3.000.000 | $ 2.600.000 | $ 5.537.000.000 | $ 1.200.000 | $ 850.000.000 | $ 995.000.000 | $ 540.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-07-02 00:40:51.565383+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-colina-campestre-bogota/193923335,"{'title': 'El portal inmobiliario #1 de Colombia', 'pricing': '$ 535.000.000 | $ 3.000.000 | $ 2.600.000 | $ 5.537.000.000 | $ 1.200.000 | $ 850.000.000 | $ 995.000.000 | $ 540.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-07-02 00:40:51.638012+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-la-carolina-bogota/193365302,"{'title': 'El portal inmobiliario #1 de Colombia', 'pricing': '$ 535.000.000 | $ 3.000.000 | $ 2.600.000 | $ 5.537.000.000 | $ 1.200.000 | $ 850.000.000 | $ 995.000.000 | $ 540.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-07-02 00:40:51.714675+00:00
https://www.fincaraiz.com.co//oficina-en-arriendo-en-antiguo-country-bogota/192750152,"{'title': 'El portal inmobiliario #1 de Colombia', 'pricing': '$ 535.000.000 | $ 3.000.000 | $ 2.600.000 | $ 5.537.000.000 | $ 1.200.000 | $ 850.000.000 | $ 995.000.000 | $ 540.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-07-02 00:40:51.937485+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-bella-suiza-bogota/193755019,"{'title': 'El portal inmobiliario #1 de Colombia', 'pricing': '$ 535.000.000 | $ 3.000.000 | $ 2.600.000 | $ 5.537.000.000 | $ 1.200.000 | $ 850.000.000 | $ 995.000.000 | $ 540.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-07-02 00:40:52.019070+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-la-salle-bogota/193834851,"{'title': 'El portal inmobiliario #1 de Colombia', 'pricing': '$ 535.000.000 | $ 3.000.000 | $ 2.600.000 | $ 5.537.000.000 | $ 1.200.000 | $ 850.000.000 | $ 995.000.000 | $ 540.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-07-02 00:40:52.026741+00:00
https://www.fincaraiz.com.co//local-en-arriendo-en-las-ferias-bogota/193424704,"{'title': 'El portal inmobiliario #1 de Colombia', 'pricing': '$ 535.000.000 | $ 3.000.000 | $ 2.600.000 | $ 5.537.000.000 | $ 1.200.000 | $ 850.000.000 | $ 995.000.000 | $ 540.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-07-02 00:40:52.117265+00:00
