url,information,date_time
https://www.fincaraiz.com.co//oficina-en-arriendo-en-el-nogal-bogota/192567194,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 2.350.000 | $ 220.000.000 | $ 185.000.000 | $ 5.700.000 | $ 1.400.000 | $ 450.000.000 | $ 2.500.000.000 | $ 890.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-02-28 00:17:48.613521+00:00
https://www.fincaraiz.com.co//casa-en-arriendo-en-sucre-bogota/192750211,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 2.350.000 | $ 220.000.000 | $ 185.000.000 | $ 5.700.000 | $ 1.400.000 | $ 450.000.000 | $ 2.500.000.000 | $ 890.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-02-28 00:17:49.217743+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-chapinero-central-bogota/193239675,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 2.350.000 | $ 220.000.000 | $ 185.000.000 | $ 5.700.000 | $ 1.400.000 | $ 450.000.000 | $ 2.500.000.000 | $ 890.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-02-28 00:17:49.228871+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-olaya-bogota/193317390,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 2.350.000 | $ 220.000.000 | $ 185.000.000 | $ 5.700.000 | $ 1.400.000 | $ 450.000.000 | $ 2.500.000.000 | $ 890.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-02-28 00:17:49.327792+00:00
https://www.fincaraiz.com.co//casa-en-arriendo-en-la-castellana-bogota/193249147,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 2.350.000 | $ 220.000.000 | $ 185.000.000 | $ 5.700.000 | $ 1.400.000 | $ 450.000.000 | $ 2.500.000.000 | $ 890.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-02-28 00:17:49.496290+00:00
https://www.fincaraiz.com.co//local-en-arriendo-en-verbenal-san-antonio-bogota/193042986,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 2.350.000 | $ 220.000.000 | $ 185.000.000 | $ 5.700.000 | $ 1.400.000 | $ 450.000.000 | $ 2.500.000.000 | $ 890.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-02-28 00:17:49.503430+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-britalia-bogota/193425107,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 2.350.000 | $ 220.000.000 | $ 185.000.000 | $ 5.700.000 | $ 1.400.000 | $ 450.000.000 | $ 2.500.000.000 | $ 890.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-02-28 00:17:49.555135+00:00
https://www.fincaraiz.com.co//local-en-arriendo-en-niza-norte-bogota/193390878,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 2.350.000 | $ 220.000.000 | $ 185.000.000 | $ 5.700.000 | $ 1.400.000 | $ 450.000.000 | $ 2.500.000.000 | $ 890.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-02-28 00:17:49.585528+00:00
https://www.fincaraiz.com.co//oficina-en-arriendo-en-el-retiro-bogota/193288590,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 2.350.000 | $ 220.000.000 | $ 185.000.000 | $ 5.700.000 | $ 1.400.000 | $ 450.000.000 | $ 2.500.000.000 | $ 890.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-02-28 00:17:50.354453+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-lagos-de-torca-bogota/193442204,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 2.350.000 | $ 220.000.000 | $ 185.000.000 | $ 5.700.000 | $ 1.400.000 | $ 450.000.000 | $ 2.500.000.000 | $ 890.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-02-28 00:17:50.408884+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-acacias-bogota/193207802,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 2.350.000 | $ 220.000.000 | $ 185.000.000 | $ 5.700.000 | $ 1.400.000 | $ 450.000.000 | $ 2.500.000.000 | $ 890.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-02-28 00:17:50.419585+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-colina-campestre-bogota/193409625,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 2.350.000 | $ 220.000.000 | $ 185.000.000 | $ 5.700.000 | $ 1.400.000 | $ 450.000.000 | $ 2.500.000.000 | $ 890.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-02-28 00:17:50.443121+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-santa-ines-bogota/193154203,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 2.350.000 | $ 220.000.000 | $ 185.000.000 | $ 5.700.000 | $ 1.400.000 | $ 450.000.000 | $ 2.500.000.000 | $ 890.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-02-28 00:17:50.502875+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-chico-norte-bogota/193068433,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 2.350.000 | $ 220.000.000 | $ 185.000.000 | $ 5.700.000 | $ 1.400.000 | $ 450.000.000 | $ 2.500.000.000 | $ 890.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-02-28 00:17:50.728397+00:00
