url,information,date_time
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-bella-suiza-bogota/193620251,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 1.500.000 | $ 345.000.000 | $ 950.000.000 | $ 740.000.000 | $ 2.000.000 | $ 249.000.000 | $ 4.600.000 | $ 588.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-04-13 18:26:14.151146+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-el-chico-bogota/193363100,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 1.500.000 | $ 345.000.000 | $ 950.000.000 | $ 740.000.000 | $ 2.000.000 | $ 249.000.000 | $ 4.600.000 | $ 588.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-04-13 18:26:14.174121+00:00
https://www.fincaraiz.com.co//oficina-en-arriendo-en-santa-barbara-bogota/193436237,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 1.500.000 | $ 345.000.000 | $ 950.000.000 | $ 740.000.000 | $ 2.000.000 | $ 249.000.000 | $ 4.600.000 | $ 588.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-04-13 18:26:14.358999+00:00
https://www.fincaraiz.com.co//local-en-arriendo-en-chapinero-bogota/193470079,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 1.500.000 | $ 345.000.000 | $ 950.000.000 | $ 740.000.000 | $ 2.000.000 | $ 249.000.000 | $ 4.600.000 | $ 588.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-04-13 18:26:14.376772+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-el-redil-bogota/193267147,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 1.500.000 | $ 345.000.000 | $ 950.000.000 | $ 740.000.000 | $ 2.000.000 | $ 249.000.000 | $ 4.600.000 | $ 588.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-04-13 18:26:14.432617+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-los-rosales-bogota/193406957,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 1.500.000 | $ 345.000.000 | $ 950.000.000 | $ 740.000.000 | $ 2.000.000 | $ 249.000.000 | $ 4.600.000 | $ 588.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-04-13 18:26:14.459409+00:00
https://www.fincaraiz.com.co//apartaestudio-en-arriendo-en-centro-internacional-bogota/193420316,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 1.500.000 | $ 345.000.000 | $ 950.000.000 | $ 740.000.000 | $ 2.000.000 | $ 249.000.000 | $ 4.600.000 | $ 588.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-04-13 18:26:14.544420+00:00
https://www.fincaraiz.com.co//casa-en-arriendo-en-el-batan-bogota/193547442,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 1.500.000 | $ 345.000.000 | $ 950.000.000 | $ 740.000.000 | $ 2.000.000 | $ 249.000.000 | $ 4.600.000 | $ 588.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-04-13 18:26:14.554221+00:00
https://www.fincaraiz.com.co//bodega-en-arriendo-en-montevideo-bogota/193592330,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 1.500.000 | $ 345.000.000 | $ 950.000.000 | $ 740.000.000 | $ 2.000.000 | $ 249.000.000 | $ 4.600.000 | $ 588.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-04-13 18:26:15.118564+00:00
https://www.fincaraiz.com.co//local-en-arriendo-en-chapinero-bogota/191102322,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 1.500.000 | $ 345.000.000 | $ 950.000.000 | $ 740.000.000 | $ 2.000.000 | $ 249.000.000 | $ 4.600.000 | $ 588.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-04-13 18:26:15.125206+00:00
https://www.fincaraiz.com.co//oficina-en-arriendo-en-chico-norte-bogota/193413670,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 1.500.000 | $ 345.000.000 | $ 950.000.000 | $ 740.000.000 | $ 2.000.000 | $ 249.000.000 | $ 4.600.000 | $ 588.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-04-13 18:26:15.235597+00:00
