url,information,date_time
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-los-rosales-bogota/193455498,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 1.100.000 | $ 1.420.000 | $ 1.000.000.000 | $ 6.400.000 | $ 906.000.000 | $ 1.700.000 | $ 250.000.000 | $ 220.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-04-01 06:35:02.380627+00:00
https://www.fincaraiz.com.co//apartaestudio-en-arriendo-en-modelia-bogota/193281252,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 1.100.000 | $ 1.420.000 | $ 1.000.000.000 | $ 6.400.000 | $ 906.000.000 | $ 1.700.000 | $ 250.000.000 | $ 220.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-04-01 06:35:02.395378+00:00
https://www.fincaraiz.com.co//bodega-en-arriendo-en-barrios-unidos-bogota/193580761,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 1.100.000 | $ 1.420.000 | $ 1.000.000.000 | $ 6.400.000 | $ 906.000.000 | $ 1.700.000 | $ 250.000.000 | $ 220.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-04-01 06:35:02.479976+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-colina-campestre-bogota/193409625,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 1.100.000 | $ 1.420.000 | $ 1.000.000.000 | $ 6.400.000 | $ 906.000.000 | $ 1.700.000 | $ 250.000.000 | $ 220.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-04-01 06:35:02.494325+00:00
https://www.fincaraiz.com.co//oficina-en-arriendo-en-fontibon-bogota/193406127,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 1.100.000 | $ 1.420.000 | $ 1.000.000.000 | $ 6.400.000 | $ 906.000.000 | $ 1.700.000 | $ 250.000.000 | $ 220.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-04-01 06:35:03.113290+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-el-chico-bogota/192212430,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 1.100.000 | $ 1.420.000 | $ 1.000.000.000 | $ 6.400.000 | $ 906.000.000 | $ 1.700.000 | $ 250.000.000 | $ 220.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-04-01 06:35:03.120357+00:00
https://www.fincaraiz.com.co//bodega-en-arriendo-en-fontibon-bogota/193150679,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 1.100.000 | $ 1.420.000 | $ 1.000.000.000 | $ 6.400.000 | $ 906.000.000 | $ 1.700.000 | $ 250.000.000 | $ 220.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-04-01 06:35:03.138971+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-la-salle-bogota/193290107,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 1.100.000 | $ 1.420.000 | $ 1.000.000.000 | $ 6.400.000 | $ 906.000.000 | $ 1.700.000 | $ 250.000.000 | $ 220.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-04-01 06:35:03.287291+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-el-redil-bogota/193267147,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 1.100.000 | $ 1.420.000 | $ 1.000.000.000 | $ 6.400.000 | $ 906.000.000 | $ 1.700.000 | $ 250.000.000 | $ 220.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-04-01 06:35:03.364463+00:00
https://www.fincaraiz.com.co//casa-en-arriendo-en-sucre-bogota/192750211,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 1.100.000 | $ 1.420.000 | $ 1.000.000.000 | $ 6.400.000 | $ 906.000.000 | $ 1.700.000 | $ 250.000.000 | $ 220.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-04-01 06:35:03.382827+00:00
