url,information,date_time
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-lagos-de-torca-bogota/192813390,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 1.500.000 | $ 265.000.000 | $ 3.200.000 | $ 1.090.000.000 | $ 410.000.000 | $ 840.000.000 | $ 565.000.000 | $ 1.100.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-03-13 00:20:12.639771+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-prado-pinzon-bogota/193482008,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 1.500.000 | $ 265.000.000 | $ 3.200.000 | $ 1.090.000.000 | $ 410.000.000 | $ 840.000.000 | $ 565.000.000 | $ 1.100.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-03-13 00:20:12.739214+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-la-cabrera-bogota/193475320,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 1.500.000 | $ 265.000.000 | $ 3.200.000 | $ 1.090.000.000 | $ 410.000.000 | $ 840.000.000 | $ 565.000.000 | $ 1.100.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-03-13 00:20:12.777910+00:00
https://www.fincaraiz.com.co//oficina-en-arriendo-en-usaquen-bogota/10520463,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 1.500.000 | $ 265.000.000 | $ 3.200.000 | $ 1.090.000.000 | $ 410.000.000 | $ 840.000.000 | $ 565.000.000 | $ 1.100.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-03-13 00:20:12.822040+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-chapinero-central-bogota/193457006,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 1.500.000 | $ 265.000.000 | $ 3.200.000 | $ 1.090.000.000 | $ 410.000.000 | $ 840.000.000 | $ 565.000.000 | $ 1.100.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-03-13 00:20:12.901032+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-santa-barbara-bogota/193496789,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 1.500.000 | $ 265.000.000 | $ 3.200.000 | $ 1.090.000.000 | $ 410.000.000 | $ 840.000.000 | $ 565.000.000 | $ 1.100.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-03-13 00:20:12.936995+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-nuevo-country-bogota/193460052,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 1.500.000 | $ 265.000.000 | $ 3.200.000 | $ 1.090.000.000 | $ 410.000.000 | $ 840.000.000 | $ 565.000.000 | $ 1.100.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-03-13 00:20:13.017334+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-fontibon-bogota/193447024,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 1.500.000 | $ 265.000.000 | $ 3.200.000 | $ 1.090.000.000 | $ 410.000.000 | $ 840.000.000 | $ 565.000.000 | $ 1.100.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-03-13 00:20:13.072604+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-veramonte-macana-bogota/191663849,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 1.500.000 | $ 265.000.000 | $ 3.200.000 | $ 1.090.000.000 | $ 410.000.000 | $ 840.000.000 | $ 565.000.000 | $ 1.100.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-03-13 00:20:13.564987+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-bella-suiza-bogota/193485980,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 1.500.000 | $ 265.000.000 | $ 3.200.000 | $ 1.090.000.000 | $ 410.000.000 | $ 840.000.000 | $ 565.000.000 | $ 1.100.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-03-13 00:20:13.575498+00:00
https://www.fincaraiz.com.co//apartaestudio-en-arriendo-en-las-nieves-bogota/193112027,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 1.500.000 | $ 265.000.000 | $ 3.200.000 | $ 1.090.000.000 | $ 410.000.000 | $ 840.000.000 | $ 565.000.000 | $ 1.100.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-03-13 00:20:13.582021+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-toberin-bogota/193451004,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 1.500.000 | $ 265.000.000 | $ 3.200.000 | $ 1.090.000.000 | $ 410.000.000 | $ 840.000.000 | $ 565.000.000 | $ 1.100.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-03-13 00:20:13.651287+00:00
