url,information,date_time
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-la-carolina-bogota/193502839,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 1.400.000 | $ 312.000.000 | $ 1.390.000.000 | $ 2.900.000 | $ 1.500.000 | $ 7.000.000 | $ 1.800.000 | $ 1.550.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-04-29 12:32:49.766786+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-renania-urapanes-bogota/193631573,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 1.400.000 | $ 312.000.000 | $ 1.390.000.000 | $ 2.900.000 | $ 1.500.000 | $ 7.000.000 | $ 1.800.000 | $ 1.550.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-04-29 12:32:49.902581+00:00
https://www.fincaraiz.com.co//casa-en-arriendo-en-chapinero-bogota/193638884,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 1.400.000 | $ 312.000.000 | $ 1.390.000.000 | $ 2.900.000 | $ 1.500.000 | $ 7.000.000 | $ 1.800.000 | $ 1.550.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-04-29 12:32:50.065905+00:00
https://www.fincaraiz.com.co//casa-en-arriendo-en-iberia-bogota/192563302,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 1.400.000 | $ 312.000.000 | $ 1.390.000.000 | $ 2.900.000 | $ 1.500.000 | $ 7.000.000 | $ 1.800.000 | $ 1.550.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-04-29 12:32:50.151046+00:00
https://www.fincaraiz.com.co//apartaestudio-en-arriendo-en-usatama-bogota/193380265,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 1.400.000 | $ 312.000.000 | $ 1.390.000.000 | $ 2.900.000 | $ 1.500.000 | $ 7.000.000 | $ 1.800.000 | $ 1.550.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-04-29 12:32:50.365153+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-primavera-engativa-bogota/193622811,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 1.400.000 | $ 312.000.000 | $ 1.390.000.000 | $ 2.900.000 | $ 1.500.000 | $ 7.000.000 | $ 1.800.000 | $ 1.550.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-04-29 12:32:50.386886+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-el-redil-bogota/193267147,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 1.400.000 | $ 312.000.000 | $ 1.390.000.000 | $ 2.900.000 | $ 1.500.000 | $ 7.000.000 | $ 1.800.000 | $ 1.550.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-04-29 12:32:50.431269+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-puente-aranda-bogota/193506520,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 1.400.000 | $ 312.000.000 | $ 1.390.000.000 | $ 2.900.000 | $ 1.500.000 | $ 7.000.000 | $ 1.800.000 | $ 1.550.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-04-29 12:32:50.635590+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-chapinero-alto-bogota/193595536,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 1.400.000 | $ 312.000.000 | $ 1.390.000.000 | $ 2.900.000 | $ 1.500.000 | $ 7.000.000 | $ 1.800.000 | $ 1.550.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-04-29 12:32:50.647893+00:00
https://www.fincaraiz.com.co//casa-en-arriendo-en-quinta-camacho-bogota/192750262,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 1.400.000 | $ 312.000.000 | $ 1.390.000.000 | $ 2.900.000 | $ 1.500.000 | $ 7.000.000 | $ 1.800.000 | $ 1.550.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-04-29 12:32:50.656419+00:00
