url,information,date_time
https://www.fincaraiz.com.co//apartaestudio-en-arriendo-en-las-nieves-bogota/193112027,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 885.214 | $ 2.585.150 | $ 5.700.000 | $ 620.000.000 | $ 1.300.000.000 | $ 1.476.925 | $ 350.000.000 | $ 1.200.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-04-07 12:19:16.647003+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-la-cabrera-bogota/193097402,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 885.214 | $ 2.585.150 | $ 5.700.000 | $ 620.000.000 | $ 1.300.000.000 | $ 1.476.925 | $ 350.000.000 | $ 1.200.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-04-07 12:19:16.676412+00:00
https://www.fincaraiz.com.co//apartaestudio-en-arriendo-en-usatama-bogota/193380265,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 885.214 | $ 2.585.150 | $ 5.700.000 | $ 620.000.000 | $ 1.300.000.000 | $ 1.476.925 | $ 350.000.000 | $ 1.200.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-04-07 12:19:16.713302+00:00
https://www.fincaraiz.com.co//bodega-en-arriendo-en-fontibon-bogota/193150679,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 885.214 | $ 2.585.150 | $ 5.700.000 | $ 620.000.000 | $ 1.300.000.000 | $ 1.476.925 | $ 350.000.000 | $ 1.200.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-04-07 12:19:16.719897+00:00
https://www.fincaraiz.com.co//oficina-en-arriendo-en-chapinero-bogota/193486847,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 885.214 | $ 2.585.150 | $ 5.700.000 | $ 620.000.000 | $ 1.300.000.000 | $ 1.476.925 | $ 350.000.000 | $ 1.200.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-04-07 12:19:16.855168+00:00
https://www.fincaraiz.com.co//oficina-en-arriendo-en-morato-bogota/193190693,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 885.214 | $ 2.585.150 | $ 5.700.000 | $ 620.000.000 | $ 1.300.000.000 | $ 1.476.925 | $ 350.000.000 | $ 1.200.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-04-07 12:19:16.952576+00:00
https://www.fincaraiz.com.co//local-en-arriendo-en-puente-aranda-bogota/193519752,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 885.214 | $ 2.585.150 | $ 5.700.000 | $ 620.000.000 | $ 1.300.000.000 | $ 1.476.925 | $ 350.000.000 | $ 1.200.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-04-07 12:19:16.998643+00:00
https://www.fincaraiz.com.co//oficina-en-arriendo-en-fontibon-bogota/193542241,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 885.214 | $ 2.585.150 | $ 5.700.000 | $ 620.000.000 | $ 1.300.000.000 | $ 1.476.925 | $ 350.000.000 | $ 1.200.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-04-07 12:19:17.005156+00:00
https://www.fincaraiz.com.co//local-en-arriendo-en-la-veracruz-bogota/192803397,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 885.214 | $ 2.585.150 | $ 5.700.000 | $ 620.000.000 | $ 1.300.000.000 | $ 1.476.925 | $ 350.000.000 | $ 1.200.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-04-07 12:19:17.473138+00:00
https://www.fincaraiz.com.co//apartaestudio-en-arriendo-en-morato-bogota/191732929,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 885.214 | $ 2.585.150 | $ 5.700.000 | $ 620.000.000 | $ 1.300.000.000 | $ 1.476.925 | $ 350.000.000 | $ 1.200.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-04-07 12:19:17.481471+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-los-rosales-bogota/193406957,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 885.214 | $ 2.585.150 | $ 5.700.000 | $ 620.000.000 | $ 1.300.000.000 | $ 1.476.925 | $ 350.000.000 | $ 1.200.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-04-07 12:19:17.539440+00:00
