url,information,date_time
https://www.fincaraiz.com.co//casa-en-arriendo-en-portales-del-norte-bogota/193690697,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 404.933.190 | $ 2.000.000 | $ 1.650.000 | $ 1.100.000.000 | $ 590.000.000 | $ 700.000.000 | $ 350.000.000 | $ 485.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-06 00:32:29.736607+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-chico-norte-bogota/193566489,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 404.933.190 | $ 2.000.000 | $ 1.650.000 | $ 1.100.000.000 | $ 590.000.000 | $ 700.000.000 | $ 350.000.000 | $ 485.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-06 00:32:29.754288+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-britalia-bogota/193452934,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 404.933.190 | $ 2.000.000 | $ 1.650.000 | $ 1.100.000.000 | $ 590.000.000 | $ 700.000.000 | $ 350.000.000 | $ 485.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-06 00:32:30.013277+00:00
https://www.fincaraiz.com.co//oficina-en-arriendo-en-usaquen-bogota/10520463,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 404.933.190 | $ 2.000.000 | $ 1.650.000 | $ 1.100.000.000 | $ 590.000.000 | $ 700.000.000 | $ 350.000.000 | $ 485.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-06 00:32:30.178070+00:00
https://www.fincaraiz.com.co//apartaestudio-en-arriendo-en-los-monjes-bogota/193452880,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 404.933.190 | $ 2.000.000 | $ 1.650.000 | $ 1.100.000.000 | $ 590.000.000 | $ 700.000.000 | $ 350.000.000 | $ 485.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-06 00:32:30.940002+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-la-carolina-bogota/193502839,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 404.933.190 | $ 2.000.000 | $ 1.650.000 | $ 1.100.000.000 | $ 590.000.000 | $ 700.000.000 | $ 350.000.000 | $ 485.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-06 00:32:30.950038+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-santa-barbara-occidental-bogota/192750095,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 404.933.190 | $ 2.000.000 | $ 1.650.000 | $ 1.100.000.000 | $ 590.000.000 | $ 700.000.000 | $ 350.000.000 | $ 485.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-06 00:32:30.985002+00:00
https://www.fincaraiz.com.co//local-en-arriendo-en-barrancas-norte-bogota/193571413,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 404.933.190 | $ 2.000.000 | $ 1.650.000 | $ 1.100.000.000 | $ 590.000.000 | $ 700.000.000 | $ 350.000.000 | $ 485.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-06 00:32:31.343827+00:00
https://www.fincaraiz.com.co//oficina-en-arriendo-en-antiguo-country-bogota/193347003,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 404.933.190 | $ 2.000.000 | $ 1.650.000 | $ 1.100.000.000 | $ 590.000.000 | $ 700.000.000 | $ 350.000.000 | $ 485.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-06 00:32:31.419958+00:00
https://www.fincaraiz.com.co//casa-en-arriendo-en-la-soledad-norte-bogota/193662943,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 404.933.190 | $ 2.000.000 | $ 1.650.000 | $ 1.100.000.000 | $ 590.000.000 | $ 700.000.000 | $ 350.000.000 | $ 485.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-06 00:32:31.500857+00:00
