url,information,date_time
https://www.fincaraiz.com.co//apartaestudio-en-arriendo-en-lourdes-bogota/192716061,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 2.900.000 | $ 371.000.000 | $ 295.000 | $ 649.000 | $ 649.000 | $ 3.259.000 | $ 9.828.000 | $ 1.259.500', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-02-02 12:11:12.858547+00:00
https://www.fincaraiz.com.co//apartaestudio-en-arriendo-en-las-aguas-bogota/191974102,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 2.900.000 | $ 371.000.000 | $ 295.000 | $ 649.000 | $ 649.000 | $ 3.259.000 | $ 9.828.000 | $ 1.259.500', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-02-02 12:11:12.996955+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-lagos-de-torca-bogota/192813390,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 2.900.000 | $ 371.000.000 | $ 295.000 | $ 649.000 | $ 649.000 | $ 3.259.000 | $ 9.828.000 | $ 1.259.500', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-02-02 12:11:13.049587+00:00
https://www.fincaraiz.com.co//bodega-en-arriendo-en-barrios-unidos-bogota/193108875,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 2.900.000 | $ 371.000.000 | $ 295.000 | $ 649.000 | $ 649.000 | $ 3.259.000 | $ 9.828.000 | $ 1.259.500', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-02-02 12:11:13.083227+00:00
https://www.fincaraiz.com.co//oficina-en-arriendo-en-chico-norte-bogota/10308129,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 2.900.000 | $ 371.000.000 | $ 295.000 | $ 649.000 | $ 649.000 | $ 3.259.000 | $ 9.828.000 | $ 1.259.500', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-02-02 12:11:13.089715+00:00
https://www.fincaraiz.com.co//oficina-en-arriendo-en-chico-norte-bogota/193057392,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 2.900.000 | $ 371.000.000 | $ 295.000 | $ 649.000 | $ 649.000 | $ 3.259.000 | $ 9.828.000 | $ 1.259.500', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-02-02 12:11:13.108083+00:00
https://www.fincaraiz.com.co//local-en-arriendo-en-boyaca-real-bogota/193333855,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 2.900.000 | $ 371.000.000 | $ 295.000 | $ 649.000 | $ 649.000 | $ 3.259.000 | $ 9.828.000 | $ 1.259.500', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-02-02 12:11:13.143236+00:00
https://www.fincaraiz.com.co//oficina-en-arriendo-en-usaquen-bogota/10520463,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 2.900.000 | $ 371.000.000 | $ 295.000 | $ 649.000 | $ 649.000 | $ 3.259.000 | $ 9.828.000 | $ 1.259.500', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-02-02 12:11:13.160423+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-spring-bogota/193238290,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 2.900.000 | $ 371.000.000 | $ 295.000 | $ 649.000 | $ 649.000 | $ 3.259.000 | $ 9.828.000 | $ 1.259.500', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-02-02 12:11:13.695070+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-pasadena-bogota/193074288,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 2.900.000 | $ 371.000.000 | $ 295.000 | $ 649.000 | $ 649.000 | $ 3.259.000 | $ 9.828.000 | $ 1.259.500', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-02-02 12:11:13.739601+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-chapinero-central-bogota/193239675,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 2.900.000 | $ 371.000.000 | $ 295.000 | $ 649.000 | $ 649.000 | $ 3.259.000 | $ 9.828.000 | $ 1.259.500', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-02-02 12:11:13.827095+00:00
