url,information,date_time
https://www.fincaraiz.com.co//casa-en-arriendo-en-chapinero-bogota/192246598,"{'title': 'El portal inmobiliario #1 de Colombia', 'pricing': '$ 215.000.000 | $ 1.700.000.000 | $ 2.300.000 | $ 1.550.000 | $ 1.500.000 | $ 1.100.000 | $ 380.000.000 | $ 1.900.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-06-22 00:46:00.092229+00:00
https://www.fincaraiz.com.co//apartaestudio-en-arriendo-en-lisboa-usaquen-bogota/193783140,"{'title': 'El portal inmobiliario #1 de Colombia', 'pricing': '$ 215.000.000 | $ 1.700.000.000 | $ 2.300.000 | $ 1.550.000 | $ 1.500.000 | $ 1.100.000 | $ 380.000.000 | $ 1.900.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-06-22 00:46:00.098374+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-el-nogal-bogota/193861268,"{'title': 'El portal inmobiliario #1 de Colombia', 'pricing': '$ 215.000.000 | $ 1.700.000.000 | $ 2.300.000 | $ 1.550.000 | $ 1.500.000 | $ 1.100.000 | $ 380.000.000 | $ 1.900.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-06-22 00:46:00.353397+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-guaymaral-bogota/193442546,"{'title': 'El portal inmobiliario #1 de Colombia', 'pricing': '$ 215.000.000 | $ 1.700.000.000 | $ 2.300.000 | $ 1.550.000 | $ 1.500.000 | $ 1.100.000 | $ 380.000.000 | $ 1.900.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-06-22 00:46:00.868437+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-ciudad-salitre-bogota/193839918,"{'title': 'El portal inmobiliario #1 de Colombia', 'pricing': '$ 215.000.000 | $ 1.700.000.000 | $ 2.300.000 | $ 1.550.000 | $ 1.500.000 | $ 1.100.000 | $ 380.000.000 | $ 1.900.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-06-22 00:46:00.872981+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-carvajal-bogota/193884546,"{'title': 'El portal inmobiliario #1 de Colombia', 'pricing': '$ 215.000.000 | $ 1.700.000.000 | $ 2.300.000 | $ 1.550.000 | $ 1.500.000 | $ 1.100.000 | $ 380.000.000 | $ 1.900.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-06-22 00:46:00.989177+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-chico-norte-bogota/193463260,"{'title': 'El portal inmobiliario #1 de Colombia', 'pricing': '$ 215.000.000 | $ 1.700.000.000 | $ 2.300.000 | $ 1.550.000 | $ 1.500.000 | $ 1.100.000 | $ 380.000.000 | $ 1.900.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-06-22 00:46:01.086711+00:00
https://www.fincaraiz.com.co//local-en-arriendo-en-las-ferias-bogota/193424704,"{'title': 'El portal inmobiliario #1 de Colombia', 'pricing': '$ 215.000.000 | $ 1.700.000.000 | $ 2.300.000 | $ 1.550.000 | $ 1.500.000 | $ 1.100.000 | $ 380.000.000 | $ 1.900.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-06-22 00:46:01.193397+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-valladolid-bogota/193814341,"{'title': 'El portal inmobiliario #1 de Colombia', 'pricing': '$ 215.000.000 | $ 1.700.000.000 | $ 2.300.000 | $ 1.550.000 | $ 1.500.000 | $ 1.100.000 | $ 380.000.000 | $ 1.900.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-06-22 00:46:01.203005+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-marsella-bogota/10069845,"{'title': 'El portal inmobiliario #1 de Colombia', 'pricing': '$ 215.000.000 | $ 1.700.000.000 | $ 2.300.000 | $ 1.550.000 | $ 1.500.000 | $ 1.100.000 | $ 380.000.000 | $ 1.900.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-06-22 00:46:01.218077+00:00
https://www.fincaraiz.com.co//apartaestudio-en-arriendo-en-chapinero-alto-bogota/193319672,"{'title': 'El portal inmobiliario #1 de Colombia', 'pricing': '$ 215.000.000 | $ 1.700.000.000 | $ 2.300.000 | $ 1.550.000 | $ 1.500.000 | $ 1.100.000 | $ 380.000.000 | $ 1.900.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-06-22 00:46:01.283095+00:00
https://www.fincaraiz.com.co//edificio-en-arriendo-en-santa-ana-oriental-bogota/193555567,"{'title': 'El portal inmobiliario #1 de Colombia', 'pricing': '$ 215.000.000 | $ 1.700.000.000 | $ 2.300.000 | $ 1.550.000 | $ 1.500.000 | $ 1.100.000 | $ 380.000.000 | $ 1.900.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-06-22 00:46:01.288809+00:00
https://www.fincaraiz.com.co//apartaestudio-en-arriendo-en-santa-barbara-bogota/193124921,"{'title': 'El portal inmobiliario #1 de Colombia', 'pricing': '$ 215.000.000 | $ 1.700.000.000 | $ 2.300.000 | $ 1.550.000 | $ 1.500.000 | $ 1.100.000 | $ 380.000.000 | $ 1.900.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-06-22 00:46:01.818309+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-santa-barbara-bogota/193632149,"{'title': 'El portal inmobiliario #1 de Colombia', 'pricing': '$ 215.000.000 | $ 1.700.000.000 | $ 2.300.000 | $ 1.550.000 | $ 1.500.000 | $ 1.100.000 | $ 380.000.000 | $ 1.900.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-06-22 00:46:02.084871+00:00
https://www.fincaraiz.com.co//oficina-en-arriendo-en-chapinero-bogota/193655701,"{'title': 'El portal inmobiliario #1 de Colombia', 'pricing': '$ 215.000.000 | $ 1.700.000.000 | $ 2.300.000 | $ 1.550.000 | $ 1.500.000 | $ 1.100.000 | $ 380.000.000 | $ 1.900.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-06-22 00:46:02.193584+00:00
