url,information,date_time
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-santa-barbara-bogota/193334582,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 48.892.000 | $ 9.300.000 | $ 950.000.000 | $ 1.900.000 | $ 1.700.000.000 | $ 505.000.000 | $ 3.800.000 | $ 506.150.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-02-01 00:22:21.346981+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-lagos-de-torca-bogota/192813390,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 48.892.000 | $ 9.300.000 | $ 950.000.000 | $ 1.900.000 | $ 1.700.000.000 | $ 505.000.000 | $ 3.800.000 | $ 506.150.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-02-01 00:22:21.354471+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-fontibon-bogota/192955369,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 48.892.000 | $ 9.300.000 | $ 950.000.000 | $ 1.900.000 | $ 1.700.000.000 | $ 505.000.000 | $ 3.800.000 | $ 506.150.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-02-01 00:22:21.588929+00:00
https://www.fincaraiz.com.co//bodega-en-arriendo-en-barrios-unidos-bogota/193108875,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 48.892.000 | $ 9.300.000 | $ 950.000.000 | $ 1.900.000 | $ 1.700.000.000 | $ 505.000.000 | $ 3.800.000 | $ 506.150.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-02-01 00:22:21.607819+00:00
https://www.fincaraiz.com.co//bodega-en-arriendo-en-montevideo-bogota/193324607,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 48.892.000 | $ 9.300.000 | $ 950.000.000 | $ 1.900.000 | $ 1.700.000.000 | $ 505.000.000 | $ 3.800.000 | $ 506.150.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-02-01 00:22:21.661465+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-castilla-bogota/193026600,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 48.892.000 | $ 9.300.000 | $ 950.000.000 | $ 1.900.000 | $ 1.700.000.000 | $ 505.000.000 | $ 3.800.000 | $ 506.150.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-02-01 00:22:21.675036+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-veraguas-bogota/193120441,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 48.892.000 | $ 9.300.000 | $ 950.000.000 | $ 1.900.000 | $ 1.700.000.000 | $ 505.000.000 | $ 3.800.000 | $ 506.150.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-02-01 00:22:21.726805+00:00
https://www.fincaraiz.com.co//oficina-en-arriendo-en-usaquen-bogota/10520463,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 48.892.000 | $ 9.300.000 | $ 950.000.000 | $ 1.900.000 | $ 1.700.000.000 | $ 505.000.000 | $ 3.800.000 | $ 506.150.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-02-01 00:22:21.753721+00:00
https://www.fincaraiz.com.co//local-en-arriendo-en-san-cristobal-norte-bogota/193136663,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 48.892.000 | $ 9.300.000 | $ 950.000.000 | $ 1.900.000 | $ 1.700.000.000 | $ 505.000.000 | $ 3.800.000 | $ 506.150.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-02-01 00:22:22.201631+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-chico-alto-bogota/193241881,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 48.892.000 | $ 9.300.000 | $ 950.000.000 | $ 1.900.000 | $ 1.700.000.000 | $ 505.000.000 | $ 3.800.000 | $ 506.150.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-02-01 00:22:22.213425+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-unicentro-bogota-bogota/193282469,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 48.892.000 | $ 9.300.000 | $ 950.000.000 | $ 1.900.000 | $ 1.700.000.000 | $ 505.000.000 | $ 3.800.000 | $ 506.150.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-02-01 00:22:22.220094+00:00
