url,information,date_time
https://www.fincaraiz.com.co//apartaestudio-en-arriendo-en-las-aguas-bogota/191974102,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 1.200.000 | $ 5.400.000.000 | $ 2.600.000 | $ 315.000.000 | $ 1.550.000 | $ 3.650.000 | $ 3.500.000 | $ 19.500.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-04-16 12:23:17.453216+00:00
https://www.fincaraiz.com.co//casa-en-arriendo-en-chapinero-bogota/192246598,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 1.200.000 | $ 5.400.000.000 | $ 2.600.000 | $ 315.000.000 | $ 1.550.000 | $ 3.650.000 | $ 3.500.000 | $ 19.500.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-04-16 12:23:17.594974+00:00
https://www.fincaraiz.com.co//apartaestudio-en-arriendo-en-san-patricio-bogota/193633296,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 1.200.000 | $ 5.400.000.000 | $ 2.600.000 | $ 315.000.000 | $ 1.550.000 | $ 3.650.000 | $ 3.500.000 | $ 19.500.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-04-16 12:23:17.705099+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-san-jose-de-bavaria-bogota/193616554,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 1.200.000 | $ 5.400.000.000 | $ 2.600.000 | $ 315.000.000 | $ 1.550.000 | $ 3.650.000 | $ 3.500.000 | $ 19.500.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-04-16 12:23:17.712272+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-bogota/193350926,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 1.200.000 | $ 5.400.000.000 | $ 2.600.000 | $ 315.000.000 | $ 1.550.000 | $ 3.650.000 | $ 3.500.000 | $ 19.500.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-04-16 12:23:18.266028+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-bella-suiza-bogota/193620251,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 1.200.000 | $ 5.400.000.000 | $ 2.600.000 | $ 315.000.000 | $ 1.550.000 | $ 3.650.000 | $ 3.500.000 | $ 19.500.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-04-16 12:23:18.295448+00:00
https://www.fincaraiz.com.co//local-en-arriendo-en-puente-aranda-bogota/193519752,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 1.200.000 | $ 5.400.000.000 | $ 2.600.000 | $ 315.000.000 | $ 1.550.000 | $ 3.650.000 | $ 3.500.000 | $ 19.500.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-04-16 12:23:18.319370+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-puente-aranda-bogota/193506520,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 1.200.000 | $ 5.400.000.000 | $ 2.600.000 | $ 315.000.000 | $ 1.550.000 | $ 3.650.000 | $ 3.500.000 | $ 19.500.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-04-16 12:23:18.326666+00:00
https://www.fincaraiz.com.co//apartaestudio-en-arriendo-en-chico-norte-bogota/193485149,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 1.200.000 | $ 5.400.000.000 | $ 2.600.000 | $ 315.000.000 | $ 1.550.000 | $ 3.650.000 | $ 3.500.000 | $ 19.500.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-04-16 12:23:18.490489+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-cerros-de-suba-bogota/192648174,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 1.200.000 | $ 5.400.000.000 | $ 2.600.000 | $ 315.000.000 | $ 1.550.000 | $ 3.650.000 | $ 3.500.000 | $ 19.500.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-04-16 12:23:18.546845+00:00
https://www.fincaraiz.com.co//oficina-en-arriendo-en-bosque-de-pinos-bogota/192750243,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 1.200.000 | $ 5.400.000.000 | $ 2.600.000 | $ 315.000.000 | $ 1.550.000 | $ 3.650.000 | $ 3.500.000 | $ 19.500.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-04-16 12:23:18.764504+00:00
https://www.fincaraiz.com.co//oficina-en-arriendo-en-morato-bogota/193190693,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 1.200.000 | $ 5.400.000.000 | $ 2.600.000 | $ 315.000.000 | $ 1.550.000 | $ 3.650.000 | $ 3.500.000 | $ 19.500.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-04-16 12:23:18.881804+00:00
https://www.fincaraiz.com.co//oficina-en-arriendo-en-bosque-de-pinos-bogota/10769713,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 1.200.000 | $ 5.400.000.000 | $ 2.600.000 | $ 315.000.000 | $ 1.550.000 | $ 3.650.000 | $ 3.500.000 | $ 19.500.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-04-16 12:23:19.159932+00:00
