url,information,date_time
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-bogota/193611918,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 14.000.000 | $ 3.500.000 | $ 3.200.000 | $ 430.000.000 | $ 530.000.000 | $ 790.000.000 | $ 2.000.000 | $ 895.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-26 18:48:29.258648+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-cedritos-bogota/193771633,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 14.000.000 | $ 3.500.000 | $ 3.200.000 | $ 430.000.000 | $ 530.000.000 | $ 790.000.000 | $ 2.000.000 | $ 895.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-26 18:48:29.414607+00:00
https://www.fincaraiz.com.co//local-en-arriendo-en-puente-largo-bogota/193760905,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 14.000.000 | $ 3.500.000 | $ 3.200.000 | $ 430.000.000 | $ 530.000.000 | $ 790.000.000 | $ 2.000.000 | $ 895.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-26 18:48:29.475186+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-santa-barbara-bogota/193622041,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 14.000.000 | $ 3.500.000 | $ 3.200.000 | $ 430.000.000 | $ 530.000.000 | $ 790.000.000 | $ 2.000.000 | $ 895.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-26 18:48:29.930784+00:00
https://www.fincaraiz.com.co//apartaestudio-en-arriendo-en-ciudad-salitre-bogota/193631069,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 14.000.000 | $ 3.500.000 | $ 3.200.000 | $ 430.000.000 | $ 530.000.000 | $ 790.000.000 | $ 2.000.000 | $ 895.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-26 18:48:30.146894+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-pinar-de-suba-bogota/193463557,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 14.000.000 | $ 3.500.000 | $ 3.200.000 | $ 430.000.000 | $ 530.000.000 | $ 790.000.000 | $ 2.000.000 | $ 895.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-26 18:48:30.161879+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-eduardo-santos-bogota/193774787,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 14.000.000 | $ 3.500.000 | $ 3.200.000 | $ 430.000.000 | $ 530.000.000 | $ 790.000.000 | $ 2.000.000 | $ 895.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-26 18:48:30.202496+00:00
https://www.fincaraiz.com.co//bodega-en-arriendo-en-niza-bogota/193277613,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 14.000.000 | $ 3.500.000 | $ 3.200.000 | $ 430.000.000 | $ 530.000.000 | $ 790.000.000 | $ 2.000.000 | $ 895.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-26 18:48:30.218571+00:00
https://www.fincaraiz.com.co//local-en-arriendo-en-niza-bogota/193693715,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 14.000.000 | $ 3.500.000 | $ 3.200.000 | $ 430.000.000 | $ 530.000.000 | $ 790.000.000 | $ 2.000.000 | $ 895.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-26 18:48:30.272754+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-el-batan-bogota/193735084,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 14.000.000 | $ 3.500.000 | $ 3.200.000 | $ 430.000.000 | $ 530.000.000 | $ 790.000.000 | $ 2.000.000 | $ 895.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-26 18:48:30.328884+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-chico-norte-bogota/193576476,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 14.000.000 | $ 3.500.000 | $ 3.200.000 | $ 430.000.000 | $ 530.000.000 | $ 790.000.000 | $ 2.000.000 | $ 895.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-26 18:48:30.384278+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-ciudad-salitre-bogota/193647529,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 14.000.000 | $ 3.500.000 | $ 3.200.000 | $ 430.000.000 | $ 530.000.000 | $ 790.000.000 | $ 2.000.000 | $ 895.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-26 18:48:30.893328+00:00
https://www.fincaraiz.com.co//oficina-en-arriendo-en-morato-bogota/193190693,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 14.000.000 | $ 3.500.000 | $ 3.200.000 | $ 430.000.000 | $ 530.000.000 | $ 790.000.000 | $ 2.000.000 | $ 895.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-26 18:48:31.073376+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-la-cabrera-bogota/193097402,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 14.000.000 | $ 3.500.000 | $ 3.200.000 | $ 430.000.000 | $ 530.000.000 | $ 790.000.000 | $ 2.000.000 | $ 895.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-26 18:48:31.105684+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-el-redil-bogota/193267147,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 14.000.000 | $ 3.500.000 | $ 3.200.000 | $ 430.000.000 | $ 530.000.000 | $ 790.000.000 | $ 2.000.000 | $ 895.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-26 18:48:31.130765+00:00
https://www.fincaraiz.com.co//oficina-en-arriendo-en-chico-navarra-bogota/193486845,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 14.000.000 | $ 3.500.000 | $ 3.200.000 | $ 430.000.000 | $ 530.000.000 | $ 790.000.000 | $ 2.000.000 | $ 895.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-26 18:48:31.187478+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-la-macarena-bogota/192827261,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 14.000.000 | $ 3.500.000 | $ 3.200.000 | $ 430.000.000 | $ 530.000.000 | $ 790.000.000 | $ 2.000.000 | $ 895.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-26 18:48:31.218801+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-zona-centro-bogota/191054340,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 14.000.000 | $ 3.500.000 | $ 3.200.000 | $ 430.000.000 | $ 530.000.000 | $ 790.000.000 | $ 2.000.000 | $ 895.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-26 18:48:31.297612+00:00
https://www.fincaraiz.com.co//local-en-arriendo-en-chapinero-bogota/191801473,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 14.000.000 | $ 3.500.000 | $ 3.200.000 | $ 430.000.000 | $ 530.000.000 | $ 790.000.000 | $ 2.000.000 | $ 895.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-26 18:48:31.363339+00:00
https://www.fincaraiz.com.co//oficina-en-arriendo-en-chapinero-bogota/193736856,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 14.000.000 | $ 3.500.000 | $ 3.200.000 | $ 430.000.000 | $ 530.000.000 | $ 790.000.000 | $ 2.000.000 | $ 895.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-26 18:48:31.505291+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-nuevo-country-bogota/193775987,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 14.000.000 | $ 3.500.000 | $ 3.200.000 | $ 430.000.000 | $ 530.000.000 | $ 790.000.000 | $ 2.000.000 | $ 895.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-26 18:48:32.000074+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-bosques-del-marques-bogota/193617043,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 14.000.000 | $ 3.500.000 | $ 3.200.000 | $ 430.000.000 | $ 530.000.000 | $ 790.000.000 | $ 2.000.000 | $ 895.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-26 18:48:32.087026+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-chico-norte-bogota/193712231,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 14.000.000 | $ 3.500.000 | $ 3.200.000 | $ 430.000.000 | $ 530.000.000 | $ 790.000.000 | $ 2.000.000 | $ 895.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-26 18:48:32.094661+00:00
https://www.fincaraiz.com.co//casa-en-arriendo-en-milenta-bogota/193001187,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 14.000.000 | $ 3.500.000 | $ 3.200.000 | $ 430.000.000 | $ 530.000.000 | $ 790.000.000 | $ 2.000.000 | $ 895.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-26 18:48:32.100917+00:00
https://www.fincaraiz.com.co//apartaestudio-en-arriendo-en-chapinero-alto-bogota/193704568,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 14.000.000 | $ 3.500.000 | $ 3.200.000 | $ 430.000.000 | $ 530.000.000 | $ 790.000.000 | $ 2.000.000 | $ 895.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-26 18:48:32.272764+00:00
https://www.fincaraiz.com.co//casa-en-arriendo-en-chico-norte-bogota/193390131,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 14.000.000 | $ 3.500.000 | $ 3.200.000 | $ 430.000.000 | $ 530.000.000 | $ 790.000.000 | $ 2.000.000 | $ 895.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-26 18:48:32.330348+00:00
https://www.fincaraiz.com.co//casa-en-arriendo-en-teusaquillo-bogota/192843163,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 14.000.000 | $ 3.500.000 | $ 3.200.000 | $ 430.000.000 | $ 530.000.000 | $ 790.000.000 | $ 2.000.000 | $ 895.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-26 18:48:32.336961+00:00
