url,information,date_time
https://www.fincaraiz.com.co//apartaestudio-en-arriendo-en-bosque-de-pinos-bogota/193592294,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 1.400.000.000 | $ 1.800.000 | $ 4.200.000 | $ 140.000.000 | $ 2.000.000.000 | $ 1.350.000 | $ 1.890.000 | $ 3.700.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-07 12:38:03.325093+00:00
https://www.fincaraiz.com.co//oficina-en-arriendo-en-bogota/7242367,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 1.400.000.000 | $ 1.800.000 | $ 4.200.000 | $ 140.000.000 | $ 2.000.000.000 | $ 1.350.000 | $ 1.890.000 | $ 3.700.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-07 12:38:03.413562+00:00
https://www.fincaraiz.com.co//bodega-en-arriendo-en-san-fernando-occidental-bogota/193165852,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 1.400.000.000 | $ 1.800.000 | $ 4.200.000 | $ 140.000.000 | $ 2.000.000.000 | $ 1.350.000 | $ 1.890.000 | $ 3.700.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-07 12:38:03.926128+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-chico-norte-bogota/193576476,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 1.400.000.000 | $ 1.800.000 | $ 4.200.000 | $ 140.000.000 | $ 2.000.000.000 | $ 1.350.000 | $ 1.890.000 | $ 3.700.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-07 12:38:03.933397+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-bosque-de-pinos-bogota/192750149,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 1.400.000.000 | $ 1.800.000 | $ 4.200.000 | $ 140.000.000 | $ 2.000.000.000 | $ 1.350.000 | $ 1.890.000 | $ 3.700.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-07 12:38:03.944596+00:00
https://www.fincaraiz.com.co//oficina-en-arriendo-en-cantalejo-bogota/193700185,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 1.400.000.000 | $ 1.800.000 | $ 4.200.000 | $ 140.000.000 | $ 2.000.000.000 | $ 1.350.000 | $ 1.890.000 | $ 3.700.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-07 12:38:03.998304+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-colon-bogota/193592800,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 1.400.000.000 | $ 1.800.000 | $ 4.200.000 | $ 140.000.000 | $ 2.000.000.000 | $ 1.350.000 | $ 1.890.000 | $ 3.700.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-07 12:38:04.085032+00:00
https://www.fincaraiz.com.co//casa-en-arriendo-en-la-soledad-norte-bogota/193662943,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 1.400.000.000 | $ 1.800.000 | $ 4.200.000 | $ 140.000.000 | $ 2.000.000.000 | $ 1.350.000 | $ 1.890.000 | $ 3.700.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-07 12:38:04.173597+00:00
https://www.fincaraiz.com.co//apartaestudio-en-arriendo-en-santa-viviana-bogota/193505524,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 1.400.000.000 | $ 1.800.000 | $ 4.200.000 | $ 140.000.000 | $ 2.000.000.000 | $ 1.350.000 | $ 1.890.000 | $ 3.700.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-07 12:38:04.246784+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-chico-norte-bogota/193717113,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 1.400.000.000 | $ 1.800.000 | $ 4.200.000 | $ 140.000.000 | $ 2.000.000.000 | $ 1.350.000 | $ 1.890.000 | $ 3.700.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-07 12:38:04.372696+00:00
