url,information,date_time
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-usaquen-bogota/193306450,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 315.000.000 | $ 4.500.000 | $ 179.900.000 | $ 729.000.000 | $ 1.000.000 | $ 1.250.000.000 | $ 2.250.000 | $ 860.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-02-04 18:16:48.573773+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-lagos-de-torca-bogota/192813390,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 315.000.000 | $ 4.500.000 | $ 179.900.000 | $ 729.000.000 | $ 1.000.000 | $ 1.250.000.000 | $ 2.250.000 | $ 860.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-02-04 18:16:49.115469+00:00
https://www.fincaraiz.com.co//apartaestudio-en-arriendo-en-modelia-bogota/192989807,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 315.000.000 | $ 4.500.000 | $ 179.900.000 | $ 729.000.000 | $ 1.000.000 | $ 1.250.000.000 | $ 2.250.000 | $ 860.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-02-04 18:16:49.242921+00:00
https://www.fincaraiz.com.co//local-en-arriendo-en-galerias-bogota/193256970,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 315.000.000 | $ 4.500.000 | $ 179.900.000 | $ 729.000.000 | $ 1.000.000 | $ 1.250.000.000 | $ 2.250.000 | $ 860.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-02-04 18:16:49.272462+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-la-carolina-bogota/192829636,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 315.000.000 | $ 4.500.000 | $ 179.900.000 | $ 729.000.000 | $ 1.000.000 | $ 1.250.000.000 | $ 2.250.000 | $ 860.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-02-04 18:16:49.501852+00:00
https://www.fincaraiz.com.co//apartaestudio-en-arriendo-en-virrey-bogota/193299764,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 315.000.000 | $ 4.500.000 | $ 179.900.000 | $ 729.000.000 | $ 1.000.000 | $ 1.250.000.000 | $ 2.250.000 | $ 860.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-02-04 18:16:49.632898+00:00
https://www.fincaraiz.com.co//casa-en-arriendo-en-teusaquillo-bogota/193030542,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 315.000.000 | $ 4.500.000 | $ 179.900.000 | $ 729.000.000 | $ 1.000.000 | $ 1.250.000.000 | $ 2.250.000 | $ 860.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-02-04 18:16:49.669344+00:00
https://www.fincaraiz.com.co//oficina-en-arriendo-en-chico-norte-bogota/192588248,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 315.000.000 | $ 4.500.000 | $ 179.900.000 | $ 729.000.000 | $ 1.000.000 | $ 1.250.000.000 | $ 2.250.000 | $ 860.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-02-04 18:16:49.750955+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-multicentro-bogota/192995644,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 315.000.000 | $ 4.500.000 | $ 179.900.000 | $ 729.000.000 | $ 1.000.000 | $ 1.250.000.000 | $ 2.250.000 | $ 860.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-02-04 18:16:50.383160+00:00
https://www.fincaraiz.com.co//apartaestudio-en-arriendo-en-rionegro-bogota/193115062,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 315.000.000 | $ 4.500.000 | $ 179.900.000 | $ 729.000.000 | $ 1.000.000 | $ 1.250.000.000 | $ 2.250.000 | $ 860.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-02-04 18:16:50.998429+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-el-consuelo-bogota/193129766,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 315.000.000 | $ 4.500.000 | $ 179.900.000 | $ 729.000.000 | $ 1.000.000 | $ 1.250.000.000 | $ 2.250.000 | $ 860.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-02-04 18:16:51.214710+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-castilla-bogota/193026600,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 315.000.000 | $ 4.500.000 | $ 179.900.000 | $ 729.000.000 | $ 1.000.000 | $ 1.250.000.000 | $ 2.250.000 | $ 860.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-02-04 18:16:51.222953+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-el-retiro-bogota/193156656,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 315.000.000 | $ 4.500.000 | $ 179.900.000 | $ 729.000.000 | $ 1.000.000 | $ 1.250.000.000 | $ 2.250.000 | $ 860.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-02-04 18:16:51.249365+00:00
https://www.fincaraiz.com.co//oficina-en-arriendo-en-morato-bogota/193190693,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 315.000.000 | $ 4.500.000 | $ 179.900.000 | $ 729.000.000 | $ 1.000.000 | $ 1.250.000.000 | $ 2.250.000 | $ 860.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-02-04 18:16:51.406173+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-la-uribe-bogota/192294739,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 315.000.000 | $ 4.500.000 | $ 179.900.000 | $ 729.000.000 | $ 1.000.000 | $ 1.250.000.000 | $ 2.250.000 | $ 860.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-02-04 18:16:51.612627+00:00
https://www.fincaraiz.com.co//local-en-arriendo-en-chapinero-bogota/191102322,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 315.000.000 | $ 4.500.000 | $ 179.900.000 | $ 729.000.000 | $ 1.000.000 | $ 1.250.000.000 | $ 2.250.000 | $ 860.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-02-04 18:16:51.771617+00:00
https://www.fincaraiz.com.co//local-en-arriendo-en-cedritos-bogota/192772526,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 315.000.000 | $ 4.500.000 | $ 179.900.000 | $ 729.000.000 | $ 1.000.000 | $ 1.250.000.000 | $ 2.250.000 | $ 860.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-02-04 18:16:51.785298+00:00
https://www.fincaraiz.com.co//casa-en-arriendo-en-quinta-camacho-bogota/192749962,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 315.000.000 | $ 4.500.000 | $ 179.900.000 | $ 729.000.000 | $ 1.000.000 | $ 1.250.000.000 | $ 2.250.000 | $ 860.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-02-04 18:16:52.124073+00:00
https://www.fincaraiz.com.co//oficina-en-arriendo-en-el-espartillal-bogota/192034819,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 315.000.000 | $ 4.500.000 | $ 179.900.000 | $ 729.000.000 | $ 1.000.000 | $ 1.250.000.000 | $ 2.250.000 | $ 860.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-02-04 18:16:52.562740+00:00
https://www.fincaraiz.com.co//local-en-arriendo-en-olaya-bogota/10510376,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 315.000.000 | $ 4.500.000 | $ 179.900.000 | $ 729.000.000 | $ 1.000.000 | $ 1.250.000.000 | $ 2.250.000 | $ 860.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-02-04 18:16:52.569977+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-los-rosales-bogota/193244127,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 315.000.000 | $ 4.500.000 | $ 179.900.000 | $ 729.000.000 | $ 1.000.000 | $ 1.250.000.000 | $ 2.250.000 | $ 860.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-02-04 18:16:52.729526+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-la-macarena-bogota/192827261,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 315.000.000 | $ 4.500.000 | $ 179.900.000 | $ 729.000.000 | $ 1.000.000 | $ 1.250.000.000 | $ 2.250.000 | $ 860.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-02-04 18:16:52.809587+00:00
https://www.fincaraiz.com.co//casa-en-arriendo-en-alhambra-bogota/192905447,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 315.000.000 | $ 4.500.000 | $ 179.900.000 | $ 729.000.000 | $ 1.000.000 | $ 1.250.000.000 | $ 2.250.000 | $ 860.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-02-04 18:16:53.147336+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-paloquemao-bogota/192625708,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 315.000.000 | $ 4.500.000 | $ 179.900.000 | $ 729.000.000 | $ 1.000.000 | $ 1.250.000.000 | $ 2.250.000 | $ 860.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-02-04 18:16:53.259414+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-cerros-de-suba-bogota/192648174,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 315.000.000 | $ 4.500.000 | $ 179.900.000 | $ 729.000.000 | $ 1.000.000 | $ 1.250.000.000 | $ 2.250.000 | $ 860.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-02-04 18:16:53.291470+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-santa-paula-bogota/193350523,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 315.000.000 | $ 4.500.000 | $ 179.900.000 | $ 729.000.000 | $ 1.000.000 | $ 1.250.000.000 | $ 2.250.000 | $ 860.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-02-04 18:16:53.681659+00:00
https://www.fincaraiz.com.co//edificio-en-arriendo-en-la-castellana-bogota/193098470,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 315.000.000 | $ 4.500.000 | $ 179.900.000 | $ 729.000.000 | $ 1.000.000 | $ 1.250.000.000 | $ 2.250.000 | $ 860.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-02-04 18:16:54.248620+00:00
https://www.fincaraiz.com.co//bodega-en-arriendo-en-niza-bogota/193277613,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 315.000.000 | $ 4.500.000 | $ 179.900.000 | $ 729.000.000 | $ 1.000.000 | $ 1.250.000.000 | $ 2.250.000 | $ 860.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-02-04 18:16:54.297629+00:00
https://www.fincaraiz.com.co//casa-en-arriendo-en-primero-de-mayo-bogota/193165581,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 315.000.000 | $ 4.500.000 | $ 179.900.000 | $ 729.000.000 | $ 1.000.000 | $ 1.250.000.000 | $ 2.250.000 | $ 860.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-02-04 18:16:54.494773+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-cedro-narvaez-bogota/192906336,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 315.000.000 | $ 4.500.000 | $ 179.900.000 | $ 729.000.000 | $ 1.000.000 | $ 1.250.000.000 | $ 2.250.000 | $ 860.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-02-04 18:16:55.038975+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-chapinero-central-bogota/193239675,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 315.000.000 | $ 4.500.000 | $ 179.900.000 | $ 729.000.000 | $ 1.000.000 | $ 1.250.000.000 | $ 2.250.000 | $ 860.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-02-04 18:16:55.298393+00:00
