url,information,date_time
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-lagos-de-torca-bogota/192813390,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 5.500.000 | $ 3.600.000 | $ 320.000.000 | $ 600.000.000 | $ 1.100.000.000 | $ 2.200.000.000 | $ 1.400.000.000 | $ 12.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-03-12 06:18:12.149561+00:00
https://www.fincaraiz.com.co//oficina-en-arriendo-en-santa-barbara-central-bogota/193397407,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 5.500.000 | $ 3.600.000 | $ 320.000.000 | $ 600.000.000 | $ 1.100.000.000 | $ 2.200.000.000 | $ 1.400.000.000 | $ 12.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-03-12 06:18:12.320160+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-fontibon-bogota/193447024,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 5.500.000 | $ 3.600.000 | $ 320.000.000 | $ 600.000.000 | $ 1.100.000.000 | $ 2.200.000.000 | $ 1.400.000.000 | $ 12.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-03-12 06:18:12.345432+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-chapinero-central-bogota/193457006,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 5.500.000 | $ 3.600.000 | $ 320.000.000 | $ 600.000.000 | $ 1.100.000.000 | $ 2.200.000.000 | $ 1.400.000.000 | $ 12.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-03-12 06:18:12.392975+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-la-cabrera-bogota/193475320,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 5.500.000 | $ 3.600.000 | $ 320.000.000 | $ 600.000.000 | $ 1.100.000.000 | $ 2.200.000.000 | $ 1.400.000.000 | $ 12.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-03-12 06:18:12.431299+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-nuevo-country-bogota/193460052,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 5.500.000 | $ 3.600.000 | $ 320.000.000 | $ 600.000.000 | $ 1.100.000.000 | $ 2.200.000.000 | $ 1.400.000.000 | $ 12.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-03-12 06:18:12.455461+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-prado-pinzon-bogota/193482008,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 5.500.000 | $ 3.600.000 | $ 320.000.000 | $ 600.000.000 | $ 1.100.000.000 | $ 2.200.000.000 | $ 1.400.000.000 | $ 12.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-03-12 06:18:12.462196+00:00
https://www.fincaraiz.com.co//oficina-en-arriendo-en-usaquen-bogota/10520463,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 5.500.000 | $ 3.600.000 | $ 320.000.000 | $ 600.000.000 | $ 1.100.000.000 | $ 2.200.000.000 | $ 1.400.000.000 | $ 12.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-03-12 06:18:12.706064+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-santa-barbara-bogota/193488235,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 5.500.000 | $ 3.600.000 | $ 320.000.000 | $ 600.000.000 | $ 1.100.000.000 | $ 2.200.000.000 | $ 1.400.000.000 | $ 12.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-03-12 06:18:13.098691+00:00
https://www.fincaraiz.com.co//casa-en-arriendo-en-chico-norte-bogota/193390131,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 5.500.000 | $ 3.600.000 | $ 320.000.000 | $ 600.000.000 | $ 1.100.000.000 | $ 2.200.000.000 | $ 1.400.000.000 | $ 12.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-03-12 06:18:13.127795+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-toberin-bogota/193146962,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 5.500.000 | $ 3.600.000 | $ 320.000.000 | $ 600.000.000 | $ 1.100.000.000 | $ 2.200.000.000 | $ 1.400.000.000 | $ 12.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-03-12 06:18:13.159546+00:00
