url,information,date_time
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-rafael-uribe-bogota/193858493,"{'title': 'El portal inmobiliario #1 de Colombia', 'pricing': '$ 3.600.000 | $ 5.500.000 | $ 150.000.000 | $ 320.000.000 | $ 615.000.000 | $ 480.000.000 | $ 3.000.000.000 | $ 3.500.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-07-18 07:40:21.025468+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-santa-ana-bogota/193683957,"{'title': 'El portal inmobiliario #1 de Colombia', 'pricing': '$ 3.600.000 | $ 5.500.000 | $ 150.000.000 | $ 320.000.000 | $ 615.000.000 | $ 480.000.000 | $ 3.000.000.000 | $ 3.500.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-07-18 07:40:21.049075+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-fontibon-bogota/193899371,"{'title': 'El portal inmobiliario #1 de Colombia', 'pricing': '$ 3.600.000 | $ 5.500.000 | $ 150.000.000 | $ 320.000.000 | $ 615.000.000 | $ 480.000.000 | $ 3.000.000.000 | $ 3.500.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-07-18 07:40:21.059493+00:00
https://www.fincaraiz.com.co//oficina-en-arriendo-en-chapinero-bogota/193986740,"{'title': 'El portal inmobiliario #1 de Colombia', 'pricing': '$ 3.600.000 | $ 5.500.000 | $ 150.000.000 | $ 320.000.000 | $ 615.000.000 | $ 480.000.000 | $ 3.000.000.000 | $ 3.500.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-07-18 07:40:21.113147+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-los-rosales-bogota/193443091,"{'title': 'El portal inmobiliario #1 de Colombia', 'pricing': '$ 3.600.000 | $ 5.500.000 | $ 150.000.000 | $ 320.000.000 | $ 615.000.000 | $ 480.000.000 | $ 3.000.000.000 | $ 3.500.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-07-18 07:40:21.133649+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-granada-norte-bogota/193998323,"{'title': 'El portal inmobiliario #1 de Colombia', 'pricing': '$ 3.600.000 | $ 5.500.000 | $ 150.000.000 | $ 320.000.000 | $ 615.000.000 | $ 480.000.000 | $ 3.000.000.000 | $ 3.500.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-07-18 07:40:21.175178+00:00
https://www.fincaraiz.com.co//apartaestudio-en-arriendo-en-las-aguas-bogota/191974102,"{'title': 'El portal inmobiliario #1 de Colombia', 'pricing': '$ 3.600.000 | $ 5.500.000 | $ 150.000.000 | $ 320.000.000 | $ 615.000.000 | $ 480.000.000 | $ 3.000.000.000 | $ 3.500.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-07-18 07:40:21.454026+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-la-salle-bogota/193834851,"{'title': 'El portal inmobiliario #1 de Colombia', 'pricing': '$ 3.600.000 | $ 5.500.000 | $ 150.000.000 | $ 320.000.000 | $ 615.000.000 | $ 480.000.000 | $ 3.000.000.000 | $ 3.500.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-07-18 07:40:21.621511+00:00
https://www.fincaraiz.com.co//casa-en-arriendo-en-la-calera/193990120,"{'title': 'El portal inmobiliario #1 de Colombia', 'pricing': '$ 3.600.000 | $ 5.500.000 | $ 150.000.000 | $ 320.000.000 | $ 615.000.000 | $ 480.000.000 | $ 3.000.000.000 | $ 3.500.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-07-18 07:40:22.040609+00:00
https://www.fincaraiz.com.co//local-en-arriendo-en-chapinero-bogota/191801473,"{'title': 'El portal inmobiliario #1 de Colombia', 'pricing': '$ 3.600.000 | $ 5.500.000 | $ 150.000.000 | $ 320.000.000 | $ 615.000.000 | $ 480.000.000 | $ 3.000.000.000 | $ 3.500.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-07-18 07:40:22.083807+00:00
https://www.fincaraiz.com.co//local-en-arriendo-en-chapinero-bogota/193470079,"{'title': 'El portal inmobiliario #1 de Colombia', 'pricing': '$ 3.600.000 | $ 5.500.000 | $ 150.000.000 | $ 320.000.000 | $ 615.000.000 | $ 480.000.000 | $ 3.000.000.000 | $ 3.500.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-07-18 07:40:22.090658+00:00
