url,information,date_time
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-chapinero-bogota/193706411,"{'title': 'El portal inmobiliario #1 de Colombia', 'pricing': '$ 498.000.000 | $ 900.000.000 | $ 1.800.000 | $ 7.500.000 | $ 175.000.000 | $ 2.050.000.000 | $ 17.000.000 | $ 1.900.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-06-25 18:45:05.981203+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-verbenal-san-antonio-bogota/193896697,"{'title': 'El portal inmobiliario #1 de Colombia', 'pricing': '$ 498.000.000 | $ 900.000.000 | $ 1.800.000 | $ 7.500.000 | $ 175.000.000 | $ 2.050.000.000 | $ 17.000.000 | $ 1.900.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-06-25 18:45:06.004926+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-santa-paula-bogota/193782052,"{'title': 'El portal inmobiliario #1 de Colombia', 'pricing': '$ 498.000.000 | $ 900.000.000 | $ 1.800.000 | $ 7.500.000 | $ 175.000.000 | $ 2.050.000.000 | $ 17.000.000 | $ 1.900.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-06-25 18:45:06.034719+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-mazuren-bogota/193876400,"{'title': 'El portal inmobiliario #1 de Colombia', 'pricing': '$ 498.000.000 | $ 900.000.000 | $ 1.800.000 | $ 7.500.000 | $ 175.000.000 | $ 2.050.000.000 | $ 17.000.000 | $ 1.900.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-06-25 18:45:06.045614+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-las-brisas-bogota/193671720,"{'title': 'El portal inmobiliario #1 de Colombia', 'pricing': '$ 498.000.000 | $ 900.000.000 | $ 1.800.000 | $ 7.500.000 | $ 175.000.000 | $ 2.050.000.000 | $ 17.000.000 | $ 1.900.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-06-25 18:45:06.572636+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-montevideo-bogota/193457805,"{'title': 'El portal inmobiliario #1 de Colombia', 'pricing': '$ 498.000.000 | $ 900.000.000 | $ 1.800.000 | $ 7.500.000 | $ 175.000.000 | $ 2.050.000.000 | $ 17.000.000 | $ 1.900.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-06-25 18:45:06.580121+00:00
https://www.fincaraiz.com.co//oficina-en-arriendo-en-chico-norte-bogota/193486539,"{'title': 'El portal inmobiliario #1 de Colombia', 'pricing': '$ 498.000.000 | $ 900.000.000 | $ 1.800.000 | $ 7.500.000 | $ 175.000.000 | $ 2.050.000.000 | $ 17.000.000 | $ 1.900.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-06-25 18:45:06.615357+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-la-candelaria-bogota/193793382,"{'title': 'El portal inmobiliario #1 de Colombia', 'pricing': '$ 498.000.000 | $ 900.000.000 | $ 1.800.000 | $ 7.500.000 | $ 175.000.000 | $ 2.050.000.000 | $ 17.000.000 | $ 1.900.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-06-25 18:45:06.649895+00:00
https://www.fincaraiz.com.co//apartaestudio-en-arriendo-en-normandia-bogota/193543817,"{'title': 'El portal inmobiliario #1 de Colombia', 'pricing': '$ 498.000.000 | $ 900.000.000 | $ 1.800.000 | $ 7.500.000 | $ 175.000.000 | $ 2.050.000.000 | $ 17.000.000 | $ 1.900.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-06-25 18:45:06.668142+00:00
https://www.fincaraiz.com.co//oficina-en-arriendo-en-la-castellana-bogota/193774764,"{'title': 'El portal inmobiliario #1 de Colombia', 'pricing': '$ 498.000.000 | $ 900.000.000 | $ 1.800.000 | $ 7.500.000 | $ 175.000.000 | $ 2.050.000.000 | $ 17.000.000 | $ 1.900.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-06-25 18:45:06.867536+00:00
