url,information,date_time
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-chico-norte-bogota/193881519,"{'title': 'El portal inmobiliario #1 de Colombia', 'pricing': '$ 420.000.000 | $ 790.000.000 | $ 1.050.000.000 | $ 598.000.000 | $ 1.200.000.000 | $ 750.000.000 | $ 1.550.000 | $ 700.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-07-01 07:30:05.044047+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-cedro-golf-bogota/193812073,"{'title': 'El portal inmobiliario #1 de Colombia', 'pricing': '$ 420.000.000 | $ 790.000.000 | $ 1.050.000.000 | $ 598.000.000 | $ 1.200.000.000 | $ 750.000.000 | $ 1.550.000 | $ 700.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-07-01 07:30:05.158418+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-bella-suiza-bogota/193755019,"{'title': 'El portal inmobiliario #1 de Colombia', 'pricing': '$ 420.000.000 | $ 790.000.000 | $ 1.050.000.000 | $ 598.000.000 | $ 1.200.000.000 | $ 750.000.000 | $ 1.550.000 | $ 700.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-07-01 07:30:05.202880+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-la-carolina-bogota/193365302,"{'title': 'El portal inmobiliario #1 de Colombia', 'pricing': '$ 420.000.000 | $ 790.000.000 | $ 1.050.000.000 | $ 598.000.000 | $ 1.200.000.000 | $ 750.000.000 | $ 1.550.000 | $ 700.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-07-01 07:30:05.280356+00:00
https://www.fincaraiz.com.co//casa-en-arriendo-en-teusaquillo-bogota/193148336,"{'title': 'El portal inmobiliario #1 de Colombia', 'pricing': '$ 420.000.000 | $ 790.000.000 | $ 1.050.000.000 | $ 598.000.000 | $ 1.200.000.000 | $ 750.000.000 | $ 1.550.000 | $ 700.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-07-01 07:30:05.328632+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-la-campi%C3%B1a-bogota/193896529,"{'title': 'El portal inmobiliario #1 de Colombia', 'pricing': '$ 420.000.000 | $ 790.000.000 | $ 1.050.000.000 | $ 598.000.000 | $ 1.200.000.000 | $ 750.000.000 | $ 1.550.000 | $ 700.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-07-01 07:30:05.374350+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-chico-norte-bogota/193876569,"{'title': 'El portal inmobiliario #1 de Colombia', 'pricing': '$ 420.000.000 | $ 790.000.000 | $ 1.050.000.000 | $ 598.000.000 | $ 1.200.000.000 | $ 750.000.000 | $ 1.550.000 | $ 700.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-07-01 07:30:05.805984+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-barrancas-norte-bogota/193747685,"{'title': 'El portal inmobiliario #1 de Colombia', 'pricing': '$ 420.000.000 | $ 790.000.000 | $ 1.050.000.000 | $ 598.000.000 | $ 1.200.000.000 | $ 750.000.000 | $ 1.550.000 | $ 700.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-07-01 07:30:05.886196+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-ciudad-salitre-bogota/193336697,"{'title': 'El portal inmobiliario #1 de Colombia', 'pricing': '$ 420.000.000 | $ 790.000.000 | $ 1.050.000.000 | $ 598.000.000 | $ 1.200.000.000 | $ 750.000.000 | $ 1.550.000 | $ 700.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-07-01 07:30:05.979130+00:00
https://www.fincaraiz.com.co//apartaestudio-en-arriendo-en-bella-suiza-bogota/193870890,"{'title': 'El portal inmobiliario #1 de Colombia', 'pricing': '$ 420.000.000 | $ 790.000.000 | $ 1.050.000.000 | $ 598.000.000 | $ 1.200.000.000 | $ 750.000.000 | $ 1.550.000 | $ 700.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-07-01 07:30:06.171150+00:00
