url,information,date_time
https://www.fincaraiz.com.co//local-en-arriendo-en-chapinero-bogota/193470079,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 345.000.000 | $ 3.200.000 | $ 1.200.000 | $ 1.100.000 | $ 250.000.000 | $ 285.000.000 | $ 10.032.000 | $ 300.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-04-06 18:19:04.227240+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-lagos-de-torca-bogota/193590174,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 345.000.000 | $ 3.200.000 | $ 1.200.000 | $ 1.100.000 | $ 250.000.000 | $ 285.000.000 | $ 10.032.000 | $ 300.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-04-06 18:19:04.282404+00:00
https://www.fincaraiz.com.co//bodega-en-arriendo-en-alcazares-norte-bogota/191248514,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 345.000.000 | $ 3.200.000 | $ 1.200.000 | $ 1.100.000 | $ 250.000.000 | $ 285.000.000 | $ 10.032.000 | $ 300.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-04-06 18:19:04.338326+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-maranta-iii-sector-bogota/193373064,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 345.000.000 | $ 3.200.000 | $ 1.200.000 | $ 1.100.000 | $ 250.000.000 | $ 285.000.000 | $ 10.032.000 | $ 300.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-04-06 18:19:04.360445+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-modelia-occidental-bogota/193428194,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 345.000.000 | $ 3.200.000 | $ 1.200.000 | $ 1.100.000 | $ 250.000.000 | $ 285.000.000 | $ 10.032.000 | $ 300.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-04-06 18:19:04.429981+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-bogota-dc-bogota/193568586,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 345.000.000 | $ 3.200.000 | $ 1.200.000 | $ 1.100.000 | $ 250.000.000 | $ 285.000.000 | $ 10.032.000 | $ 300.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-04-06 18:19:04.517622+00:00
https://www.fincaraiz.com.co//casa-en-arriendo-en-quinta-paredes-bogota/193291243,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 345.000.000 | $ 3.200.000 | $ 1.200.000 | $ 1.100.000 | $ 250.000.000 | $ 285.000.000 | $ 10.032.000 | $ 300.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-04-06 18:19:04.543593+00:00
https://www.fincaraiz.com.co//oficina-en-arriendo-en-el-chico-bogota/193486851,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 345.000.000 | $ 3.200.000 | $ 1.200.000 | $ 1.100.000 | $ 250.000.000 | $ 285.000.000 | $ 10.032.000 | $ 300.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-04-06 18:19:05.187522+00:00
https://www.fincaraiz.com.co//apartaestudio-en-arriendo-en-cedritos-bogota/193584867,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 345.000.000 | $ 3.200.000 | $ 1.200.000 | $ 1.100.000 | $ 250.000.000 | $ 285.000.000 | $ 10.032.000 | $ 300.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-04-06 18:19:05.213636+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-chico-norte-bogota/193068433,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 345.000.000 | $ 3.200.000 | $ 1.200.000 | $ 1.100.000 | $ 250.000.000 | $ 285.000.000 | $ 10.032.000 | $ 300.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-04-06 18:19:05.388425+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-cerros-de-suba-bogota/192648174,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 345.000.000 | $ 3.200.000 | $ 1.200.000 | $ 1.100.000 | $ 250.000.000 | $ 285.000.000 | $ 10.032.000 | $ 300.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-04-06 18:19:05.424051+00:00
