url,information,date_time
https://www.fincaraiz.com.co//oficina-en-arriendo-en-fontibon-bogota/193355456,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 2.000.000.000 | $ 8.000.000 | $ 2.800.000 | $ 5.350.000.000 | $ 1.750.000.000 | $ 2.300.000 | $ 2.500.000 | $ 1.350.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-02-13 06:21:58.024726+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-santa-barbara-central-bogota/192745092,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 2.000.000.000 | $ 8.000.000 | $ 2.800.000 | $ 5.350.000.000 | $ 1.750.000.000 | $ 2.300.000 | $ 2.500.000 | $ 1.350.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-02-13 06:21:58.070739+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-gratamira-bogota/192586792,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 2.000.000.000 | $ 8.000.000 | $ 2.800.000 | $ 5.350.000.000 | $ 1.750.000.000 | $ 2.300.000 | $ 2.500.000 | $ 1.350.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-02-13 06:21:58.120992+00:00
https://www.fincaraiz.com.co//apartaestudio-en-arriendo-en-las-nieves-bogota/193112027,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 2.000.000.000 | $ 8.000.000 | $ 2.800.000 | $ 5.350.000.000 | $ 1.750.000.000 | $ 2.300.000 | $ 2.500.000 | $ 1.350.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-02-13 06:21:58.160803+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-maranta-iii-sector-bogota/193373064,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 2.000.000.000 | $ 8.000.000 | $ 2.800.000 | $ 5.350.000.000 | $ 1.750.000.000 | $ 2.300.000 | $ 2.500.000 | $ 1.350.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-02-13 06:21:58.171347+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-toberin-bogota/193146962,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 2.000.000.000 | $ 8.000.000 | $ 2.800.000 | $ 5.350.000.000 | $ 1.750.000.000 | $ 2.300.000 | $ 2.500.000 | $ 1.350.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-02-13 06:21:58.650038+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-victoria-norte-bogota/193375951,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 2.000.000.000 | $ 8.000.000 | $ 2.800.000 | $ 5.350.000.000 | $ 1.750.000.000 | $ 2.300.000 | $ 2.500.000 | $ 1.350.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-02-13 06:21:58.660149+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-san-antonio-bogota/193363320,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 2.000.000.000 | $ 8.000.000 | $ 2.800.000 | $ 5.350.000.000 | $ 1.750.000.000 | $ 2.300.000 | $ 2.500.000 | $ 1.350.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-02-13 06:21:58.694618+00:00
https://www.fincaraiz.com.co//oficina-en-arriendo-en-antiguo-country-bogota/193347003,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 2.000.000.000 | $ 8.000.000 | $ 2.800.000 | $ 5.350.000.000 | $ 1.750.000.000 | $ 2.300.000 | $ 2.500.000 | $ 1.350.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-02-13 06:21:58.720713+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-paloquemao-bogota/192625708,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 2.000.000.000 | $ 8.000.000 | $ 2.800.000 | $ 5.350.000.000 | $ 1.750.000.000 | $ 2.300.000 | $ 2.500.000 | $ 1.350.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-02-13 06:21:58.746761+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-fontibon-bogota/191874116,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 2.000.000.000 | $ 8.000.000 | $ 2.800.000 | $ 5.350.000.000 | $ 1.750.000.000 | $ 2.300.000 | $ 2.500.000 | $ 1.350.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-02-13 06:21:58.952764+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-ciudadela-colsubsidio-bogota/192984181,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 2.000.000.000 | $ 8.000.000 | $ 2.800.000 | $ 5.350.000.000 | $ 1.750.000.000 | $ 2.300.000 | $ 2.500.000 | $ 1.350.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-02-13 06:21:59.068684+00:00
https://www.fincaraiz.com.co//casa-en-arriendo-en-milenta-bogota/193001187,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 2.000.000.000 | $ 8.000.000 | $ 2.800.000 | $ 5.350.000.000 | $ 1.750.000.000 | $ 2.300.000 | $ 2.500.000 | $ 1.350.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-02-13 06:21:59.179127+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-suba-bogota/193337567,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 2.000.000.000 | $ 8.000.000 | $ 2.800.000 | $ 5.350.000.000 | $ 1.750.000.000 | $ 2.300.000 | $ 2.500.000 | $ 1.350.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-02-13 06:21:59.478149+00:00
https://www.fincaraiz.com.co//casa-en-arriendo-en-teusaquillo-bogota/192800999,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 2.000.000.000 | $ 8.000.000 | $ 2.800.000 | $ 5.350.000.000 | $ 1.750.000.000 | $ 2.300.000 | $ 2.500.000 | $ 1.350.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-02-13 06:21:59.507161+00:00
https://www.fincaraiz.com.co//apartaestudio-en-arriendo-en-el-chico-bogota/193378438,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 2.000.000.000 | $ 8.000.000 | $ 2.800.000 | $ 5.350.000.000 | $ 1.750.000.000 | $ 2.300.000 | $ 2.500.000 | $ 1.350.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-02-13 06:21:59.515786+00:00
https://www.fincaraiz.com.co//oficina-en-arriendo-en-el-espartillal-bogota/192034819,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 2.000.000.000 | $ 8.000.000 | $ 2.800.000 | $ 5.350.000.000 | $ 1.750.000.000 | $ 2.300.000 | $ 2.500.000 | $ 1.350.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-02-13 06:21:59.522404+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-marly-bogota/191919864,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 2.000.000.000 | $ 8.000.000 | $ 2.800.000 | $ 5.350.000.000 | $ 1.750.000.000 | $ 2.300.000 | $ 2.500.000 | $ 1.350.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-02-13 06:21:59.543500+00:00
https://www.fincaraiz.com.co//apartaestudio-en-arriendo-en-quinta-paredes-bogota/193284604,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 2.000.000.000 | $ 8.000.000 | $ 2.800.000 | $ 5.350.000.000 | $ 1.750.000.000 | $ 2.300.000 | $ 2.500.000 | $ 1.350.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-02-13 06:21:59.550122+00:00
https://www.fincaraiz.com.co//casa-en-arriendo-en-iberia-bogota/192563302,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 2.000.000.000 | $ 8.000.000 | $ 2.800.000 | $ 5.350.000.000 | $ 1.750.000.000 | $ 2.300.000 | $ 2.500.000 | $ 1.350.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-02-13 06:21:59.588205+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-villas-de-granada-bogota/193074049,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 2.000.000.000 | $ 8.000.000 | $ 2.800.000 | $ 5.350.000.000 | $ 1.750.000.000 | $ 2.300.000 | $ 2.500.000 | $ 1.350.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-02-13 06:21:59.924192+00:00
https://www.fincaraiz.com.co//oficina-en-arriendo-en-chico-norte-bogota/10308129,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 2.000.000.000 | $ 8.000.000 | $ 2.800.000 | $ 5.350.000.000 | $ 1.750.000.000 | $ 2.300.000 | $ 2.500.000 | $ 1.350.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-02-13 06:22:00.333834+00:00
https://www.fincaraiz.com.co//casa-en-arriendo-en-teusaquillo-bogota/192857773,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 2.000.000.000 | $ 8.000.000 | $ 2.800.000 | $ 5.350.000.000 | $ 1.750.000.000 | $ 2.300.000 | $ 2.500.000 | $ 1.350.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-02-13 06:22:00.340763+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-chico-navarra-bogota/193385630,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 2.000.000.000 | $ 8.000.000 | $ 2.800.000 | $ 5.350.000.000 | $ 1.750.000.000 | $ 2.300.000 | $ 2.500.000 | $ 1.350.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-02-13 06:22:00.348203+00:00
https://www.fincaraiz.com.co//apartaestudio-en-arriendo-en-las-nieves-bogota/192901073,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 2.000.000.000 | $ 8.000.000 | $ 2.800.000 | $ 5.350.000.000 | $ 1.750.000.000 | $ 2.300.000 | $ 2.500.000 | $ 1.350.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-02-13 06:22:00.355193+00:00
https://www.fincaraiz.com.co//bodega-en-arriendo-en-niza-bogota/193277613,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 2.000.000.000 | $ 8.000.000 | $ 2.800.000 | $ 5.350.000.000 | $ 1.750.000.000 | $ 2.300.000 | $ 2.500.000 | $ 1.350.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-02-13 06:22:00.374005+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-el-chico-bogota/192949168,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 2.000.000.000 | $ 8.000.000 | $ 2.800.000 | $ 5.350.000.000 | $ 1.750.000.000 | $ 2.300.000 | $ 2.500.000 | $ 1.350.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-02-13 06:22:00.629912+00:00
https://www.fincaraiz.com.co//casa-en-arriendo-en-el-chico-bogota/193191158,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 2.000.000.000 | $ 8.000.000 | $ 2.800.000 | $ 5.350.000.000 | $ 1.750.000.000 | $ 2.300.000 | $ 2.500.000 | $ 1.350.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-02-13 06:22:00.636987+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-tibana-bogota/193380494,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 2.000.000.000 | $ 8.000.000 | $ 2.800.000 | $ 5.350.000.000 | $ 1.750.000.000 | $ 2.300.000 | $ 2.500.000 | $ 1.350.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-02-13 06:22:00.644396+00:00
