url,information,date_time
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-santa-barbara-central-bogota/193466991,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 236.826.000 | $ 2.950.000.000 | $ 250.000.000 | $ 215.000.000 | $ 247.431.140 | $ 219.000.000 | $ 530.000.000 | $ 675.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-04-05 06:27:12.548771+00:00
https://www.fincaraiz.com.co//oficina-en-arriendo-en-el-retiro-bogota/193288590,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 236.826.000 | $ 2.950.000.000 | $ 250.000.000 | $ 215.000.000 | $ 247.431.140 | $ 219.000.000 | $ 530.000.000 | $ 675.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-04-05 06:27:12.803125+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-americas-central-bogota/193478079,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 236.826.000 | $ 2.950.000.000 | $ 250.000.000 | $ 215.000.000 | $ 247.431.140 | $ 219.000.000 | $ 530.000.000 | $ 675.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-04-05 06:27:12.810411+00:00
https://www.fincaraiz.com.co//oficina-en-arriendo-en-usaquen-bogota/10520463,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 236.826.000 | $ 2.950.000.000 | $ 250.000.000 | $ 215.000.000 | $ 247.431.140 | $ 219.000.000 | $ 530.000.000 | $ 675.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-04-05 06:27:12.817530+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-colina-campestre-bogota/193568989,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 236.826.000 | $ 2.950.000.000 | $ 250.000.000 | $ 215.000.000 | $ 247.431.140 | $ 219.000.000 | $ 530.000.000 | $ 675.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-04-05 06:27:12.885384+00:00
https://www.fincaraiz.com.co//local-en-arriendo-en-zona-franca-bogota/193070184,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 236.826.000 | $ 2.950.000.000 | $ 250.000.000 | $ 215.000.000 | $ 247.431.140 | $ 219.000.000 | $ 530.000.000 | $ 675.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-04-05 06:27:12.893963+00:00
https://www.fincaraiz.com.co//bodega-en-arriendo-en-fontibon-bogota/193017021,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 236.826.000 | $ 2.950.000.000 | $ 250.000.000 | $ 215.000.000 | $ 247.431.140 | $ 219.000.000 | $ 530.000.000 | $ 675.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-04-05 06:27:12.902324+00:00
https://www.fincaraiz.com.co//bodega-en-arriendo-en-rionegro/193464949,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 236.826.000 | $ 2.950.000.000 | $ 250.000.000 | $ 215.000.000 | $ 247.431.140 | $ 219.000.000 | $ 530.000.000 | $ 675.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-04-05 06:27:13.481006+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-castilla-bogota/193508298,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 236.826.000 | $ 2.950.000.000 | $ 250.000.000 | $ 215.000.000 | $ 247.431.140 | $ 219.000.000 | $ 530.000.000 | $ 675.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-04-05 06:27:13.490653+00:00
https://www.fincaraiz.com.co//apartaestudio-en-arriendo-en-la-calleja-bogota/193346705,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 236.826.000 | $ 2.950.000.000 | $ 250.000.000 | $ 215.000.000 | $ 247.431.140 | $ 219.000.000 | $ 530.000.000 | $ 675.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-04-05 06:27:13.775772+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-chico-norte-bogota/193068433,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 236.826.000 | $ 2.950.000.000 | $ 250.000.000 | $ 215.000.000 | $ 247.431.140 | $ 219.000.000 | $ 530.000.000 | $ 675.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-04-05 06:27:13.790623+00:00
