url,information,date_time
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-santa-barbara-occidental-bogota/193838238,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 1.300.000 | $ 950.000 | $ 8.100.000 | $ 850.000.000 | $ 1.188.000 | $ 7.600.000 | $ 210.000.000 | $ 1.059.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-06-04 13:03:41.115765+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-las-brisas-bogota/193671720,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 1.300.000 | $ 950.000 | $ 8.100.000 | $ 850.000.000 | $ 1.188.000 | $ 7.600.000 | $ 210.000.000 | $ 1.059.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-06-04 13:03:41.233927+00:00
https://www.fincaraiz.com.co//apartaestudio-en-arriendo-en-chapinero-bogota/192927100,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 1.300.000 | $ 950.000 | $ 8.100.000 | $ 850.000.000 | $ 1.188.000 | $ 7.600.000 | $ 210.000.000 | $ 1.059.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-06-04 13:03:41.295752+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-santa-ana-oriental-bogota/192275705,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 1.300.000 | $ 950.000 | $ 8.100.000 | $ 850.000.000 | $ 1.188.000 | $ 7.600.000 | $ 210.000.000 | $ 1.059.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-06-04 13:03:41.306791+00:00
https://www.fincaraiz.com.co//oficina-en-arriendo-en-la-esmeralda-bogota/193826909,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 1.300.000 | $ 950.000 | $ 8.100.000 | $ 850.000.000 | $ 1.188.000 | $ 7.600.000 | $ 210.000.000 | $ 1.059.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-06-04 13:03:42.099246+00:00
https://www.fincaraiz.com.co//oficina-en-arriendo-en-el-nogal-bogota/193771328,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 1.300.000 | $ 950.000 | $ 8.100.000 | $ 850.000.000 | $ 1.188.000 | $ 7.600.000 | $ 210.000.000 | $ 1.059.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-06-04 13:03:42.182829+00:00
https://www.fincaraiz.com.co//local-en-arriendo-en-toberin-bogota/193614980,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 1.300.000 | $ 950.000 | $ 8.100.000 | $ 850.000.000 | $ 1.188.000 | $ 7.600.000 | $ 210.000.000 | $ 1.059.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-06-04 13:03:42.192349+00:00
https://www.fincaraiz.com.co//oficina-en-arriendo-en-el-nogal-bogota/193771328,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 1.300.000 | $ 950.000 | $ 8.100.000 | $ 850.000.000 | $ 1.188.000 | $ 7.600.000 | $ 210.000.000 | $ 1.059.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-06-04 13:03:42.198615+00:00
https://www.fincaraiz.com.co//apartaestudio-en-arriendo-en-palermo-bogota/193776331,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 1.300.000 | $ 950.000 | $ 8.100.000 | $ 850.000.000 | $ 1.188.000 | $ 7.600.000 | $ 210.000.000 | $ 1.059.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-06-04 13:03:42.331825+00:00
https://www.fincaraiz.com.co//oficina-en-arriendo-en-cantalejo-bogota/193700185,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 1.300.000 | $ 950.000 | $ 8.100.000 | $ 850.000.000 | $ 1.188.000 | $ 7.600.000 | $ 210.000.000 | $ 1.059.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-06-04 13:03:42.349814+00:00
