url,information,date_time
https://www.fincaraiz.com.co//local-en-arriendo-en-la-victoria-bogota/193297384,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 1.600.000 | $ 520.000.000 | $ 220.000.000 | $ 1.491.000 | $ 1.100.000 | $ 9.500.000 | $ 3.100.000 | $ 2.700.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-03-24 06:24:00.249478+00:00
https://www.fincaraiz.com.co//oficina-en-arriendo-en-chico-norte-bogota/192588248,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 1.600.000 | $ 520.000.000 | $ 220.000.000 | $ 1.491.000 | $ 1.100.000 | $ 9.500.000 | $ 3.100.000 | $ 2.700.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-03-24 06:24:00.257355+00:00
https://www.fincaraiz.com.co//casa-en-arriendo-en-villas-de-granada-bogota/193542387,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 1.600.000 | $ 520.000.000 | $ 220.000.000 | $ 1.491.000 | $ 1.100.000 | $ 9.500.000 | $ 3.100.000 | $ 2.700.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-03-24 06:24:00.284891+00:00
https://www.fincaraiz.com.co//casa-en-arriendo-en-iberia-bogota/192563302,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 1.600.000 | $ 520.000.000 | $ 220.000.000 | $ 1.491.000 | $ 1.100.000 | $ 9.500.000 | $ 3.100.000 | $ 2.700.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-03-24 06:24:00.294512+00:00
https://www.fincaraiz.com.co//oficina-en-arriendo-en-fontibon-bogota/192206859,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 1.600.000 | $ 520.000.000 | $ 220.000.000 | $ 1.491.000 | $ 1.100.000 | $ 9.500.000 | $ 3.100.000 | $ 2.700.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-03-24 06:24:01.002365+00:00
https://www.fincaraiz.com.co//apartaestudio-en-arriendo-en-bogota/193470251,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 1.600.000 | $ 520.000.000 | $ 220.000.000 | $ 1.491.000 | $ 1.100.000 | $ 9.500.000 | $ 3.100.000 | $ 2.700.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-03-24 06:24:01.048026+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-chico-navarra-bogota/193551488,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 1.600.000 | $ 520.000.000 | $ 220.000.000 | $ 1.491.000 | $ 1.100.000 | $ 9.500.000 | $ 3.100.000 | $ 2.700.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-03-24 06:24:01.099511+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-chapinero-alto-bogota/193295823,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 1.600.000 | $ 520.000.000 | $ 220.000.000 | $ 1.491.000 | $ 1.100.000 | $ 9.500.000 | $ 3.100.000 | $ 2.700.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-03-24 06:24:01.114684+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-bella-suiza-bogota/193509567,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 1.600.000 | $ 520.000.000 | $ 220.000.000 | $ 1.491.000 | $ 1.100.000 | $ 9.500.000 | $ 3.100.000 | $ 2.700.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-03-24 06:24:01.135509+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-la-estanzuela-bogota/193455591,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 1.600.000 | $ 520.000.000 | $ 220.000.000 | $ 1.491.000 | $ 1.100.000 | $ 9.500.000 | $ 3.100.000 | $ 2.700.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-03-24 06:24:01.329759+00:00
