url,information,date_time
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-capri-bogota/193510979,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 1.850.000 | $ 83.000.000 | $ 370.000.000 | $ 3.200.000 | $ 360.000.000 | $ 650.000.000 | $ 435.000.000 | $ 35.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-04-07 18:19:48.846083+00:00
https://www.fincaraiz.com.co//casa-en-arriendo-en-chapinero-bogota/192246598,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 1.850.000 | $ 83.000.000 | $ 370.000.000 | $ 3.200.000 | $ 360.000.000 | $ 650.000.000 | $ 435.000.000 | $ 35.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-04-07 18:19:48.966334+00:00
https://www.fincaraiz.com.co//apartaestudio-en-arriendo-en-morato-bogota/191732929,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 1.850.000 | $ 83.000.000 | $ 370.000.000 | $ 3.200.000 | $ 360.000.000 | $ 650.000.000 | $ 435.000.000 | $ 35.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-04-07 18:19:48.974977+00:00
https://www.fincaraiz.com.co//oficina-en-arriendo-en-morato-bogota/193190693,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 1.850.000 | $ 83.000.000 | $ 370.000.000 | $ 3.200.000 | $ 360.000.000 | $ 650.000.000 | $ 435.000.000 | $ 35.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-04-07 18:19:49.137752+00:00
https://www.fincaraiz.com.co//casa-en-arriendo-en-milenta-bogota/193001187,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 1.850.000 | $ 83.000.000 | $ 370.000.000 | $ 3.200.000 | $ 360.000.000 | $ 650.000.000 | $ 435.000.000 | $ 35.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-04-07 18:19:49.782881+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-el-chico-bogota/193363100,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 1.850.000 | $ 83.000.000 | $ 370.000.000 | $ 3.200.000 | $ 360.000.000 | $ 650.000.000 | $ 435.000.000 | $ 35.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-04-07 18:19:49.799430+00:00
https://www.fincaraiz.com.co//bodega-en-arriendo-en-alcazares-norte-bogota/191248514,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 1.850.000 | $ 83.000.000 | $ 370.000.000 | $ 3.200.000 | $ 360.000.000 | $ 650.000.000 | $ 435.000.000 | $ 35.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-04-07 18:19:49.838235+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-americas-central-bogota/193478079,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 1.850.000 | $ 83.000.000 | $ 370.000.000 | $ 3.200.000 | $ 360.000.000 | $ 650.000.000 | $ 435.000.000 | $ 35.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-04-07 18:19:49.891248+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-cerros-de-suba-bogota/192648174,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 1.850.000 | $ 83.000.000 | $ 370.000.000 | $ 3.200.000 | $ 360.000.000 | $ 650.000.000 | $ 435.000.000 | $ 35.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-04-07 18:19:49.918219+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-santa-barbara-central-bogota/193466991,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 1.850.000 | $ 83.000.000 | $ 370.000.000 | $ 3.200.000 | $ 360.000.000 | $ 650.000.000 | $ 435.000.000 | $ 35.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-04-07 18:19:49.953220+00:00
