url,information,date_time
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-bellavista-occidental-bogota/193550933,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 230.000.000 | $ 1.500.000 | $ 230.000.000 | $ 310.000.000 | $ 235.000.000 | $ 1.350.000.000 | $ 14.000.000.000 | $ 450.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-03-28 18:08:31.931576+00:00
https://www.fincaraiz.com.co//casa-en-arriendo-en-chapinero-bogota/192246598,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 230.000.000 | $ 1.500.000 | $ 230.000.000 | $ 310.000.000 | $ 235.000.000 | $ 1.350.000.000 | $ 14.000.000.000 | $ 450.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-03-28 18:08:31.938529+00:00
https://www.fincaraiz.com.co//oficina-en-arriendo-en-bosque-de-pinos-bogota/10769713,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 230.000.000 | $ 1.500.000 | $ 230.000.000 | $ 310.000.000 | $ 235.000.000 | $ 1.350.000.000 | $ 14.000.000.000 | $ 450.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-03-28 18:08:32.004553+00:00
https://www.fincaraiz.com.co//bodega-en-arriendo-en-montevideo-bogota/193405707,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 230.000.000 | $ 1.500.000 | $ 230.000.000 | $ 310.000.000 | $ 235.000.000 | $ 1.350.000.000 | $ 14.000.000.000 | $ 450.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-03-28 18:08:32.476103+00:00
https://www.fincaraiz.com.co//oficina-en-arriendo-en-chico-norte-bogota/10924799,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 230.000.000 | $ 1.500.000 | $ 230.000.000 | $ 310.000.000 | $ 235.000.000 | $ 1.350.000.000 | $ 14.000.000.000 | $ 450.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-03-28 18:08:32.576701+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-chico-norte-bogota/10792307,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 230.000.000 | $ 1.500.000 | $ 230.000.000 | $ 310.000.000 | $ 235.000.000 | $ 1.350.000.000 | $ 14.000.000.000 | $ 450.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-03-28 18:08:32.586359+00:00
https://www.fincaraiz.com.co//apartaestudio-en-arriendo-en-chapinero-central-bogota/193485893,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 230.000.000 | $ 1.500.000 | $ 230.000.000 | $ 310.000.000 | $ 235.000.000 | $ 1.350.000.000 | $ 14.000.000.000 | $ 450.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-03-28 18:08:32.638211+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-santa-barbara-central-bogota/193466991,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 230.000.000 | $ 1.500.000 | $ 230.000.000 | $ 310.000.000 | $ 235.000.000 | $ 1.350.000.000 | $ 14.000.000.000 | $ 450.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-03-28 18:08:32.698287+00:00
https://www.fincaraiz.com.co//edificio-en-arriendo-en-la-castellana-bogota/193098470,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 230.000.000 | $ 1.500.000 | $ 230.000.000 | $ 310.000.000 | $ 235.000.000 | $ 1.350.000.000 | $ 14.000.000.000 | $ 450.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-03-28 18:08:32.708109+00:00
https://www.fincaraiz.com.co//apartaestudio-en-arriendo-en-los-monjes-bogota/193452880,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 230.000.000 | $ 1.500.000 | $ 230.000.000 | $ 310.000.000 | $ 235.000.000 | $ 1.350.000.000 | $ 14.000.000.000 | $ 450.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-03-28 18:08:32.749707+00:00
