url,information,date_time
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-bella-suiza-bogota/193620251,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 2.088.000.000 | $ 2.000.000 | $ 1.103.700 | $ 740.000.000 | $ 472.500 | $ 990.000.000 | $ 2.150.000 | $ 911.900', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-04-17 18:18:42.774650+00:00
https://www.fincaraiz.com.co//casa-en-arriendo-en-quinta-camacho-bogota/192750262,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 2.088.000.000 | $ 2.000.000 | $ 1.103.700 | $ 740.000.000 | $ 472.500 | $ 990.000.000 | $ 2.150.000 | $ 911.900', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-04-17 18:18:42.833203+00:00
https://www.fincaraiz.com.co//apartaestudio-en-arriendo-en-bogota/193470251,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 2.088.000.000 | $ 2.000.000 | $ 1.103.700 | $ 740.000.000 | $ 472.500 | $ 990.000.000 | $ 2.150.000 | $ 911.900', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-04-17 18:18:42.893657+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-mazuren-bogota/193609786,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 2.088.000.000 | $ 2.000.000 | $ 1.103.700 | $ 740.000.000 | $ 472.500 | $ 990.000.000 | $ 2.150.000 | $ 911.900', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-04-17 18:18:43.073323+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-maranta-iii-sector-bogota/193373064,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 2.088.000.000 | $ 2.000.000 | $ 1.103.700 | $ 740.000.000 | $ 472.500 | $ 990.000.000 | $ 2.150.000 | $ 911.900', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-04-17 18:18:43.088760+00:00
https://www.fincaraiz.com.co//oficina-en-arriendo-en-santa-barbara-bogota/193436237,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 2.088.000.000 | $ 2.000.000 | $ 1.103.700 | $ 740.000.000 | $ 472.500 | $ 990.000.000 | $ 2.150.000 | $ 911.900', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-04-17 18:18:43.106977+00:00
https://www.fincaraiz.com.co//local-en-arriendo-en-barrancas-norte-bogota/193571413,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 2.088.000.000 | $ 2.000.000 | $ 1.103.700 | $ 740.000.000 | $ 472.500 | $ 990.000.000 | $ 2.150.000 | $ 911.900', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-04-17 18:18:43.114049+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-venecia-bogota/193449006,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 2.088.000.000 | $ 2.000.000 | $ 1.103.700 | $ 740.000.000 | $ 472.500 | $ 990.000.000 | $ 2.150.000 | $ 911.900', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-04-17 18:18:43.123689+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-chico-norte-bogota/193172388,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 2.088.000.000 | $ 2.000.000 | $ 1.103.700 | $ 740.000.000 | $ 472.500 | $ 990.000.000 | $ 2.150.000 | $ 911.900', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-04-17 18:18:43.793527+00:00
https://www.fincaraiz.com.co//bodega-en-arriendo-en-niza-bogota/193277613,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 2.088.000.000 | $ 2.000.000 | $ 1.103.700 | $ 740.000.000 | $ 472.500 | $ 990.000.000 | $ 2.150.000 | $ 911.900', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-04-17 18:18:43.809199+00:00
https://www.fincaraiz.com.co//casa-en-arriendo-en-el-batan-bogota/193547442,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 2.088.000.000 | $ 2.000.000 | $ 1.103.700 | $ 740.000.000 | $ 472.500 | $ 990.000.000 | $ 2.150.000 | $ 911.900', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-04-17 18:18:43.830437+00:00
