url,information,date_time
https://www.fincaraiz.com.co//casa-en-arriendo-en-sucre-bogota/192750211,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 1.650.000 | $ 269.000.000 | $ 630.000.000 | $ 350.000.000 | $ 220.000.000 | $ 261.171.000 | $ 4.200.000 | $ 7.042.900', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-03-16 12:16:52.917928+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-cedritos-bogota/193477208,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 1.650.000 | $ 269.000.000 | $ 630.000.000 | $ 350.000.000 | $ 220.000.000 | $ 261.171.000 | $ 4.200.000 | $ 7.042.900', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-03-16 12:16:53.052715+00:00
https://www.fincaraiz.com.co//apartaestudio-en-arriendo-en-chapinero-bogota/193345853,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 1.650.000 | $ 269.000.000 | $ 630.000.000 | $ 350.000.000 | $ 220.000.000 | $ 261.171.000 | $ 4.200.000 | $ 7.042.900', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-03-16 12:16:53.102259+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-marsella-bogota/193041039,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 1.650.000 | $ 269.000.000 | $ 630.000.000 | $ 350.000.000 | $ 220.000.000 | $ 261.171.000 | $ 4.200.000 | $ 7.042.900', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-03-16 12:16:53.878625+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-emaus-bogota/193507768,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 1.650.000 | $ 269.000.000 | $ 630.000.000 | $ 350.000.000 | $ 220.000.000 | $ 261.171.000 | $ 4.200.000 | $ 7.042.900', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-03-16 12:16:53.910756+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-chapinero-bogota/193493548,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 1.650.000 | $ 269.000.000 | $ 630.000.000 | $ 350.000.000 | $ 220.000.000 | $ 261.171.000 | $ 4.200.000 | $ 7.042.900', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-03-16 12:16:53.917538+00:00
https://www.fincaraiz.com.co//bodega-en-arriendo-en-montevideo-bogota/193405707,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 1.650.000 | $ 269.000.000 | $ 630.000.000 | $ 350.000.000 | $ 220.000.000 | $ 261.171.000 | $ 4.200.000 | $ 7.042.900', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-03-16 12:16:54.101105+00:00
https://www.fincaraiz.com.co//local-en-arriendo-en-los-martires-bogota/193205754,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 1.650.000 | $ 269.000.000 | $ 630.000.000 | $ 350.000.000 | $ 220.000.000 | $ 261.171.000 | $ 4.200.000 | $ 7.042.900', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-03-16 12:16:54.222453+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-santa-barbara-bogota/193371665,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 1.650.000 | $ 269.000.000 | $ 630.000.000 | $ 350.000.000 | $ 220.000.000 | $ 261.171.000 | $ 4.200.000 | $ 7.042.900', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-03-16 12:16:54.334239+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-boyaca-real-bogota/193459506,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 1.650.000 | $ 269.000.000 | $ 630.000.000 | $ 350.000.000 | $ 220.000.000 | $ 261.171.000 | $ 4.200.000 | $ 7.042.900', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-03-16 12:16:54.512925+00:00
