url,information,date_time
https://www.fincaraiz.com.co//apartaestudio-en-arriendo-en-modelia-bogota/193074721,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 390.000.000 | $ 890.000.000 | $ 1.400.000 | $ 371.000.000 | $ 1.700.000 | $ 2.300.000 | $ 450.000.000 | $ 2.290.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-02-21 06:12:59.837828+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-cedritos-bogota/193397362,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 390.000.000 | $ 890.000.000 | $ 1.400.000 | $ 371.000.000 | $ 1.700.000 | $ 2.300.000 | $ 450.000.000 | $ 2.290.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-02-21 06:12:59.844832+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-lagos-de-torca-bogota/192813390,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 390.000.000 | $ 890.000.000 | $ 1.400.000 | $ 371.000.000 | $ 1.700.000 | $ 2.300.000 | $ 450.000.000 | $ 2.290.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-02-21 06:12:59.872059+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-chico-norte-bogota/192741390,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 390.000.000 | $ 890.000.000 | $ 1.400.000 | $ 371.000.000 | $ 1.700.000 | $ 2.300.000 | $ 450.000.000 | $ 2.290.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-02-21 06:13:00.049307+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-santa-barbara-bogota/193406306,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 390.000.000 | $ 890.000.000 | $ 1.400.000 | $ 371.000.000 | $ 1.700.000 | $ 2.300.000 | $ 450.000.000 | $ 2.290.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-02-21 06:13:00.545744+00:00
https://www.fincaraiz.com.co//apartaestudio-en-arriendo-en-chapinero-bogota/3458644,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 390.000.000 | $ 890.000.000 | $ 1.400.000 | $ 371.000.000 | $ 1.700.000 | $ 2.300.000 | $ 450.000.000 | $ 2.290.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-02-21 06:13:00.564319+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-victoria-norte-bogota/193375951,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 390.000.000 | $ 890.000.000 | $ 1.400.000 | $ 371.000.000 | $ 1.700.000 | $ 2.300.000 | $ 450.000.000 | $ 2.290.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-02-21 06:13:00.716801+00:00
https://www.fincaraiz.com.co//oficina-en-arriendo-en-chico-navarra-bogota/193409317,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 390.000.000 | $ 890.000.000 | $ 1.400.000 | $ 371.000.000 | $ 1.700.000 | $ 2.300.000 | $ 450.000.000 | $ 2.290.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-02-21 06:13:00.728058+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-ciudad-salitre-bogota/193380231,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 390.000.000 | $ 890.000.000 | $ 1.400.000 | $ 371.000.000 | $ 1.700.000 | $ 2.300.000 | $ 450.000.000 | $ 2.290.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-02-21 06:13:00.736175+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-policarpa-salavarreta-bogota/193343399,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 390.000.000 | $ 890.000.000 | $ 1.400.000 | $ 371.000.000 | $ 1.700.000 | $ 2.300.000 | $ 450.000.000 | $ 2.290.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-02-21 06:13:00.771669+00:00
