url,information,date_time
https://www.fincaraiz.com.co//casa-en-arriendo-en-la-serena-bogota/193381072,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 260.000.000 | $ 815.000 | $ 3.300.000 | $ 3.600.000 | $ 750.000 | $ 746.447 | $ 450.000.000 | $ 1.150.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-03-21 00:19:23.170742+00:00
https://www.fincaraiz.com.co//apartaestudio-en-arriendo-en-chapinero-central-bogota/193141540,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 260.000.000 | $ 815.000 | $ 3.300.000 | $ 3.600.000 | $ 750.000 | $ 746.447 | $ 450.000.000 | $ 1.150.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-03-21 00:19:23.211647+00:00
https://www.fincaraiz.com.co//casa-en-arriendo-en-cantalejo-bogota/193396471,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 260.000.000 | $ 815.000 | $ 3.300.000 | $ 3.600.000 | $ 750.000 | $ 746.447 | $ 450.000.000 | $ 1.150.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-03-21 00:19:23.433936+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-la-macarena-bogota/192827261,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 260.000.000 | $ 815.000 | $ 3.300.000 | $ 3.600.000 | $ 750.000 | $ 746.447 | $ 450.000.000 | $ 1.150.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-03-21 00:19:23.495870+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-bosa-bogota/193434434,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 260.000.000 | $ 815.000 | $ 3.300.000 | $ 3.600.000 | $ 750.000 | $ 746.447 | $ 450.000.000 | $ 1.150.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-03-21 00:19:23.903356+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-chico-norte-bogota/10792307,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 260.000.000 | $ 815.000 | $ 3.300.000 | $ 3.600.000 | $ 750.000 | $ 746.447 | $ 450.000.000 | $ 1.150.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-03-21 00:19:23.946733+00:00
https://www.fincaraiz.com.co//apartaestudio-en-arriendo-en-los-monjes-bogota/193452880,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 260.000.000 | $ 815.000 | $ 3.300.000 | $ 3.600.000 | $ 750.000 | $ 746.447 | $ 450.000.000 | $ 1.150.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-03-21 00:19:23.997502+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-santa-barbara-occidental-bogota/192750095,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 260.000.000 | $ 815.000 | $ 3.300.000 | $ 3.600.000 | $ 750.000 | $ 746.447 | $ 450.000.000 | $ 1.150.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-03-21 00:19:24.031595+00:00
https://www.fincaraiz.com.co//bodega-en-arriendo-en-san-fernando-occidental-bogota/193165852,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 260.000.000 | $ 815.000 | $ 3.300.000 | $ 3.600.000 | $ 750.000 | $ 746.447 | $ 450.000.000 | $ 1.150.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-03-21 00:19:24.040892+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-pinar-de-suba-bogota/193463557,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 260.000.000 | $ 815.000 | $ 3.300.000 | $ 3.600.000 | $ 750.000 | $ 746.447 | $ 450.000.000 | $ 1.150.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-03-21 00:19:24.142390+00:00
