url,information,date_time
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-chapinero-central-bogota/193457006,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 280.000.000 | $ 3.000.000 | $ 2.000.000 | $ 2.200.000 | $ 1.590.000.000 | $ 1.690.000 | $ 3.000.000 | $ 3.300.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-03-07 18:06:13.592398+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-fontibon-bogota/193447024,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 280.000.000 | $ 3.000.000 | $ 2.000.000 | $ 2.200.000 | $ 1.590.000.000 | $ 1.690.000 | $ 3.000.000 | $ 3.300.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-03-07 18:06:13.622672+00:00
https://www.fincaraiz.com.co//oficina-en-arriendo-en-usaquen-bogota/10520463,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 280.000.000 | $ 3.000.000 | $ 2.000.000 | $ 2.200.000 | $ 1.590.000.000 | $ 1.690.000 | $ 3.000.000 | $ 3.300.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-03-07 18:06:13.636689+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-balcones-del-salitre-bogota/193444698,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 280.000.000 | $ 3.000.000 | $ 2.000.000 | $ 2.200.000 | $ 1.590.000.000 | $ 1.690.000 | $ 3.000.000 | $ 3.300.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-03-07 18:06:13.814957+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-nuevo-country-bogota/193460052,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 280.000.000 | $ 3.000.000 | $ 2.000.000 | $ 2.200.000 | $ 1.590.000.000 | $ 1.690.000 | $ 3.000.000 | $ 3.300.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-03-07 18:06:13.822575+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-bella-suiza-bogota/193388722,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 280.000.000 | $ 3.000.000 | $ 2.000.000 | $ 2.200.000 | $ 1.590.000.000 | $ 1.690.000 | $ 3.000.000 | $ 3.300.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-03-07 18:06:13.878009+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-la-cabrera-bogota/193475320,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 280.000.000 | $ 3.000.000 | $ 2.000.000 | $ 2.200.000 | $ 1.590.000.000 | $ 1.690.000 | $ 3.000.000 | $ 3.300.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-03-07 18:06:13.888111+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-lagos-de-torca-bogota/192813390,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 280.000.000 | $ 3.000.000 | $ 2.000.000 | $ 2.200.000 | $ 1.590.000.000 | $ 1.690.000 | $ 3.000.000 | $ 3.300.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-03-07 18:06:13.999622+00:00
https://www.fincaraiz.com.co//casa-en-arriendo-en-engativa-bogota/193475832,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 280.000.000 | $ 3.000.000 | $ 2.000.000 | $ 2.200.000 | $ 1.590.000.000 | $ 1.690.000 | $ 3.000.000 | $ 3.300.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-03-07 18:06:14.482844+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-la-macarena-bogota/192827261,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 280.000.000 | $ 3.000.000 | $ 2.000.000 | $ 2.200.000 | $ 1.590.000.000 | $ 1.690.000 | $ 3.000.000 | $ 3.300.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-03-07 18:06:14.547731+00:00
https://www.fincaraiz.com.co//oficina-en-arriendo-en-el-nogal-bogota/192567194,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 280.000.000 | $ 3.000.000 | $ 2.000.000 | $ 2.200.000 | $ 1.590.000.000 | $ 1.690.000 | $ 3.000.000 | $ 3.300.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-03-07 18:06:14.673944+00:00
